,F140,F153,F157,F159,F198,F200,F201,F21,F26,F272,F273,F292,F319,F32,F33,F334,F34,F345,F35,F39,F411,F426,F439,F470,F471,F474,F476,F495,F524,F550,F551,F553,F554,F556,F557,F578,F72
21,0.3067,0.0167,,1001.0,0.863,17.51,5.9,-5434.0,2.0095,28.9209,29.3685,,7.1292,85.3498,8.6397,0.2963,50.6324,4.6444,64.1999,117.674,3.3841,1.7251,56.3006,8.5785,5.985,23.945,16.926,6.5723,5.8732,23.06,1.71,10.8976,0.7116,5.621,2.1258,0.0175,166.6559
22,0.3067,0.0142,,668.0,1.069,16.13,5.81,-5310.25,1.9715,17.1354,29.3685,,6.8796,85.3498,8.6397,0.2906,50.6324,4.9853,64.1999,117.674,3.3841,1.4638,83.3478,10.6502,5.0569,25.8266,25.8499,6.8893,5.451,14.97,1.33,6.9097,0.5707,3.6801,1.775,0.025,175.3178
23,0.1604,0.0149,,5665.0,0.893,16.72,3.34,-2664.25,0.8915,47.7554,25.2088,,6.9612,85.0922,9.2007,0.244,50.1899,5.6482,64.2199,118.2566,3.6059,1.5379,62.4185,8.7833,5.8277,18.9409,36.3944,4.7641,6.8185,15.91,0.91,7.7465,0.4079,3.9718,1.2205,0.0098,153.3345
24,0.1161,0.0037,,5366.0,0.238,11.37,3.32,-2681.75,0.8862,46.0845,25.652,,6.1235,84.0432,8.7487,0.0642,50.2849,2.8688,64.3732,118.7784,3.0582,0.3813,46.4183,2.2761,10.3624,16.1328,11.4665,6.2682,5.5411,20.53,1.66,8.9829,0.7528,5.0015,2.066,0.0288,152.8594
25,0.6241,0.0214,,5913.0,0.385,11.35,4.84,-2706.0,0.8895,54.2649,17.2584,,6.4657,85.0716,8.6942,0.1225,50.5287,4.4406,64.3976,118.0626,2.4411,2.24,38.5714,3.6417,4.8438,19.6543,11.383,7.769,4.4577,20.63,0.56,8.7911,0.2431,5.0121,0.7598,,148.5884
26,0.6241,0.0213,,542.0,0.216,19.84,5.3,-5611.75,2.0137,62.5772,17.2584,,10.1805,84.9052,9.7997,0.0696,50.6596,5.7269,64.2828,118.1188,2.4411,2.2223,68.4783,1.9859,7.1962,23.4105,15.2357,5.925,4.0167,,,,,,,,140.894
27,0.7873,0.0123,,455.0,0.726,13.36,6.52,-5369.0,2.0017,44.5725,20.7635,,5.722,84.3324,8.9336,0.2409,50.5527,4.191,64.2529,116.7828,3.0049,1.2655,34.8178,7.5001,6.4521,35.6874,15.6314,10.5479,8.4235,12.25,0.37,5.289,0.1609,3.0919,0.5048,0.0183,163.9744
28,0.28,0.0214,,724.0,0.866,14.76,6.34,-5217.5,1.802,68.2654,21.5914,,5.6101,84.7166,8.8388,0.2944,50.3916,4.4327,64.1968,111.7128,2.7756,2.2383,35.7579,9.0132,7.2863,27.0808,25.4735,7.182,4.1013,13.05,1.32,6.0228,0.5415,3.2913,1.7557,0.013,170.53
29,0.2041,0.017,,252.0,1.007,9.73,6.59,-5416.0,1.9817,55.1959,24.2952,,6.1586,85.6039,8.7588,0.2772,50.179,4.0324,64.1668,118.6704,3.0729,1.7651,54.2735,9.8157,11.4559,23.6173,15.6131,5.9014,4.752,20.75,0.22,9.239,0.0908,5.1528,0.2987,0.0121,155.0459
30,0.1292,0.019,,535.0,0.361,18.72,8.94,-5500.5,1.9888,70.0541,22.8867,,6.4394,101.9072,23.3453,0.1288,57.6663,6.1833,74.7081,126.5662,2.9065,1.9758,114.8801,3.4838,6.7643,81.9273,20.2372,3.2523,4.937,15.94,0.74,7.6655,0.3153,3.9856,1.0184,0.0209,153.5801
31,0.2041,0.0213,,310.0,0.937,12.78,5.43,-5497.75,1.9773,64.7419,24.2952,,6.6218,83.9737,8.8033,0.2914,50.3329,4.3608,64.485,118.6328,3.0729,2.2207,32.472,9.1041,11.5871,13.0432,11.957,5.676,3.9184,19.71,1.59,9.5441,0.5881,4.909,2.1265,0.0082,155.4569
32,0.0896,0.0117,,671.0,0.236,20.02,8.69,-5507.75,1.9745,17.066,27.2402,,6.6352,86.3472,9.1283,0.0766,50.1869,4.3059,64.0917,122.0886,3.345,1.205,47.012,2.1856,5.2224,33.4064,12.268,5.2824,7.2939,16.39,1.72,8.2534,0.6713,4.0424,2.1444,,143.3614
33,0.0896,0.0124,,5575.0,0.251,13.99,2.4,-2622.5,0.8912,68.2815,27.2402,,6.8639,85.6591,8.8249,0.0838,50.3878,4.5489,64.1536,118.3554,3.345,1.2699,41.3043,2.3479,5.0256,27.4778,11.4741,5.676,7.5934,19.63,1.23,7.637,0.5563,4.902,1.6641,,143.6134
34,0.2772,0.0161,,2058.0,0.938,17.57,7.17,-6010.25,1.7778,41.549,22.4075,,5.8721,84.3324,8.9336,0.3381,50.5527,5.3322,64.2529,116.7828,3.1413,1.668,35.425,9.8176,8.63,29.3666,14.6363,6.7926,4.3199,16.79,0.69,7.0158,0.2824,4.1055,0.9456,0.0268,174.6316
35,0.1292,0.0126,,531.0,0.313,11.75,6.02,-5548.0,2.0092,46.4432,22.8867,,7.133,85.2487,10.0686,0.0874,50.6755,2.3012,64.3085,117.7568,2.9065,1.3012,36.227,2.9163,7.8205,15.4172,11.4604,6.3759,4.8923,15.61,0.66,6.368,0.2877,3.8802,0.9005,,155.4515
36,0.7017,0.0086,,5448.0,0.746,16.75,6.62,-1362.0,0.4407,41.2456,20.2382,,5.7967,85.6039,8.7588,0.2558,50.179,3.9771,64.1668,118.6704,3.0137,0.8767,39.172,7.6636,7.4159,33.3534,15.7751,7.2897,6.4223,16.4,1.67,8.1327,0.6443,3.9831,2.0791,0.029,162.1137
37,0.2834,0.0154,,617.0,1.249,17.24,6.9,-5452.75,1.9728,77.8077,20.1876,,5.8909,85.6039,8.7588,0.3536,50.179,4.9936,64.1668,118.6704,3.0335,1.6027,48.3471,12.1198,11.3992,19.4709,19.67,5.9014,8.4774,20.8,1.63,9.0645,0.6418,5.143,2.0344,0.0104,153.1673
38,0.6531,0.0063,,73.0,0.912,19.62,3.35,-5493.75,2.0135,37.4513,20.7992,,6.4567,84.7569,8.659,0.3398,50.153,5.2866,64.1114,118.6128,3.0504,0.6467,72.8102,9.1568,8.1255,37.7319,32.3644,5.4444,4.4824,90.7,25.47,38.4212,11.16,23.0201,35.5806,0.015,158.7036
39,0.1184,0.0149,,168.0,0.284,25.1,9.39,-5525.5,2.0092,48.1604,20.8461,,6.1395,101.9072,23.3453,0.0736,57.6663,3.4345,74.7081,126.5662,2.7979,1.5383,62.4906,2.6982,5.9709,52.1369,13.8372,12.3156,7.2761,21.98,1.55,10.4138,0.6997,5.4534,1.903,,149.1874
40,0.5138,0.0125,,1848.0,0.796,17.38,3.93,-5085.25,1.9875,34.7118,20.2941,,5.9578,84.6216,9.1585,0.3098,50.3138,3.6842,64.4425,122.4028,3.0429,1.2867,104.7136,8.1671,5.9343,32.0013,20.4473,7.3315,4.8304,19.34,0.89,8.7395,0.3393,4.7138,1.1895,0.0189,159.304
41,0.2041,0.0186,0.1584,72.0,0.402,18.21,6.14,-5626.25,1.987,31.6584,24.2952,0.0448,10.1341,85.0724,8.6074,0.1103,50.5378,3.9363,64.0172,117.8088,3.0729,1.9298,45.1302,3.7213,7.3418,26.2688,15.7423,3.9893,5.2913,,,,,,,0.0219,141.8544
42,0.2041,0.0171,,2867.0,0.192,12.85,4.94,-6033.25,1.97,16.9423,24.2952,,6.8452,85.6626,9.1502,0.0671,50.2288,2.8088,64.1871,119.3708,3.0729,1.7789,70.2063,1.7599,7.9705,19.9216,11.7079,6.3834,4.4178,18.31,0.99,8.0919,0.4719,4.4748,1.2186,0.0173,142.1581
43,0.4845,0.0136,,723.0,0.793,16.06,15.93,-5415.75,2.0063,70.6028,20.4695,,5.915,84.1874,10.6376,0.2551,50.6882,2.7397,64.7132,118.8356,2.7358,1.3993,78.0214,8.3426,5.87,56.7309,21.6098,6.4931,4.0099,19.07,1.88,8.7849,0.6949,4.6847,2.376,0.0365,167.402
44,0.4927,0.0173,,7569.0,0.323,23.16,3.49,-4731.0,1.3322,40.326,18.9326,,10.6642,84.6216,9.1585,0.0986,50.3138,7.5132,64.4425,122.4028,2.4602,1.7925,59.2683,3.0055,7.8156,19.4796,29.2477,3.7725,6.9621,21.2,1.01,9.2965,0.4944,5.2008,1.3801,0.0149,139.1271
45,0.4927,0.0168,,299.0,0.449,21.82,10.53,-5546.5,1.9992,49.3298,18.9326,,10.1112,84.1874,10.6376,0.123,50.6882,8.1616,64.7132,118.8356,2.4602,1.7323,66.6494,4.0825,11.8626,19.0472,26.1277,3.3906,6.9295,20.24,0.7,8.2986,0.3207,5.0054,0.9743,0.0137,132.9324
46,0.4927,0.0129,,7600.0,0.346,21.91,6.81,-3281.0,0.8885,56.5652,18.9326,,11.0873,84.0432,8.7487,0.0923,50.2849,4.9113,64.3732,118.7784,2.4602,1.3234,51.2528,3.2174,7.7587,25.4083,9.78,4.074,6.6657,19.34,1.09,7.845,0.5296,4.7426,1.4605,0.0227,143.179
47,0.4927,0.0213,,7653.0,1.019,18.15,9.47,-4667.25,1.3305,60.986,18.9326,,6.7794,85.0922,9.2007,0.2889,50.1899,7.2145,64.2199,118.2566,2.4602,2.2069,74.359,10.0267,4.7941,49.7653,18.4388,5.1871,4.5069,20.03,1.73,9.8115,0.7807,4.907,2.1793,0.0149,155.7899
48,0.1184,0.0145,,109.0,0.28,21.28,9.5,-5300.25,2.0105,85.0263,20.8461,,5.6056,101.9072,23.3453,0.098,57.6663,5.5701,74.7081,126.5662,2.7979,1.4986,43.75,2.6712,4.1046,69.586,36.8704,4.8295,6.3972,20.23,0.67,8.9451,0.28,5.0414,0.9068,0.0246,155.8521
49,0.4845,0.0148,,760.0,0.288,12.39,6.68,-5553.0,2.0433,45.3961,20.4695,,10.5917,84.3585,8.7495,0.0907,50.4362,6.1598,64.2234,117.7078,2.7358,1.525,93.6073,2.7678,7.4755,34.1144,27.3414,5.3171,4.6927,16.73,1.34,8.2142,0.633,4.0859,1.6419,0.0296,146.2789
50,0.171,0.0159,,157.0,0.373,22.08,5.09,-5394.0,2.0032,64.5401,18.5335,,10.5646,101.9072,23.3453,0.0951,57.6663,5.261,74.7081,126.5662,2.4943,1.6462,63.2258,3.5637,8.9455,37.7838,8.4811,7.0552,7.224,,,,,,,,147.5378
51,0.1266,0.0183,,5391.0,0.407,13.48,5.57,-2575.5,0.892,57.1555,20.1408,,6.5515,84.0432,8.7487,0.1107,50.2849,3.4552,64.3732,118.7784,2.6506,1.8979,40.5356,3.7849,7.164,25.0882,10.2747,5.2589,7.443,19.82,0.66,8.9152,0.2623,4.9037,0.8284,0.0245,143.341
52,0.4927,0.0146,,785.0,0.165,24.07,18.99,-5175.5,2.0,53.6918,18.9326,,5.1302,84.1874,10.6376,0.0528,50.6882,4.982,64.7132,118.8356,2.4602,1.5114,37.2781,1.4896,12.9409,43.0024,53.9517,8.5729,4.5557,19.63,0.92,8.6258,0.3592,4.863,1.2808,0.0358,139.9654
53,0.171,0.0117,,444.0,0.324,8.34,5.62,-5545.0,1.9772,22.0568,18.5335,,6.7101,85.6591,8.8249,0.093,50.3878,3.5459,64.1536,118.3554,2.4943,1.2029,63.0,3.027,7.7033,19.8739,15.2503,6.4246,7.3053,,,,,,,,148.2014
54,0.1266,0.0123,,7657.0,0.313,15.21,9.7,-4520.75,1.3458,59.5037,20.1408,,10.5399,85.1197,9.1784,0.1013,50.2165,3.7022,64.229,118.771,2.6506,1.2708,39.6923,2.9013,8.2032,44.7657,20.0194,6.6804,7.5376,18.5,0.41,7.7125,0.1734,4.62,0.5573,0.0247,141.5786
55,0.4927,0.0196,,540.0,0.338,17.58,9.27,-5683.75,1.9597,68.0487,18.9326,,10.6396,85.1197,9.1784,0.0924,50.2165,9.3454,64.229,118.771,2.4602,2.0277,50.0,3.2193,7.1568,39.1888,13.6513,6.0096,4.4039,23.05,2.05,10.294,0.9567,5.6415,2.5894,0.0097,144.2286
56,0.4694,0.0116,,682.0,0.328,13.79,4.99,-5460.5,2.031,52.3961,23.3248,,6.5963,85.794,8.7599,0.1024,50.3802,3.11,63.9715,117.6882,3.2721,1.1893,73.262,3.0952,4.2375,25.6694,12.7209,4.4944,5.2615,22.89,1.76,10.5738,0.8272,5.5566,2.1222,0.012,147.5579
57,0.8565,0.0165,,5475.0,0.175,26.55,13.67,-1368.75,0.4425,49.0014,20.3731,,10.5768,84.0432,8.7487,0.0556,50.2849,15.1838,64.3732,118.7784,2.5272,1.6997,53.4181,1.587,15.5496,25.4693,26.5792,5.676,5.6104,17.09,0.31,7.5999,0.1324,4.1722,0.4185,0.0201,126.866
58,0.3751,0.0145,,7709.0,1.322,13.73,6.08,-4490.5,1.3438,52.8454,21.3523,,6.2104,85.1197,9.1784,0.3653,50.2165,4.4217,64.229,118.771,3.0623,1.4902,35.7585,13.0074,8.8195,19.135,25.6666,7.1023,4.1913,15.45,0.47,6.2498,0.2144,3.8721,0.6519,0.0207,153.9723
59,0.0896,0.0146,,817.0,0.269,16.31,5.21,-5433.25,2.0187,45.5751,27.2402,,10.4884,84.9052,9.7997,0.0848,50.6596,4.2902,64.2828,118.1188,3.345,1.4987,71.2521,2.5446,7.7944,28.3775,11.4323,6.3872,7.4224,,,,,,,0.0285,146.7279
60,0.4694,0.0095,,571.0,0.278,21.67,8.16,-5493.75,1.9828,74.4596,23.3248,,10.3384,84.1874,10.6376,0.0859,50.6882,6.4855,64.7132,118.8356,3.2721,0.9742,110.4496,2.5436,12.9861,23.841,22.1802,6.8133,5.452,16.78,1.21,8.0448,0.4863,4.1975,1.4828,0.0201,136.2492
61,0.5206,0.0076,,5477.0,0.839,19.73,12.86,-2597.0,0.891,53.8764,16.1845,,5.8927,85.6039,8.7588,0.2402,50.179,4.4861,64.1668,118.6704,2.0355,0.7779,47.4922,8.6976,4.5435,46.9959,17.365,6.6954,6.8878,14.63,0.44,7.0388,0.1665,3.6716,0.6105,0.0183,162.0324
62,0.4694,0.0037,,662.0,0.293,11.61,3.75,-5507.5,1.9905,56.7312,23.3248,,5.727,85.794,8.7599,0.0917,50.3802,4.1377,63.9715,117.6882,3.2721,0.376,68.0747,2.7431,7.5116,15.8463,11.9686,5.2357,4.0078,21.77,2.11,10.192,0.9372,5.3963,2.5656,0.0194,145.6322
63,0.415,0.0169,,1213.0,0.191,19.75,4.28,-5667.5,2.012,72.0968,39.8882,,10.8535,85.8965,9.2405,0.0502,50.157,3.4273,64.0502,119.2274,4.7897,1.7486,52.6129,1.8023,7.7593,23.4308,9.0669,7.7567,8.7073,17.81,1.7,7.9932,0.7387,4.3485,2.0804,0.0296,140.4719
64,0.3901,0.0079,,599.0,0.366,6.73,4.49,-5501.75,2.0062,62.6897,15.1427,,5.1001,84.3585,8.7495,0.1015,50.4362,4.4945,64.2234,117.7078,1.8514,0.8118,59.8039,3.3468,10.0731,9.349,9.6388,7.0497,4.7819,17.56,1.22,8.0411,0.4869,4.2998,1.6967,0.0297,131.1704
65,0.7511,0.0076,,984.0,0.378,14.53,6.08,-5382.5,2.01,41.2671,19.6939,,6.4213,84.3585,8.7495,0.1131,50.4362,4.5547,64.2234,117.7078,2.5605,0.7839,79.9699,3.5232,6.2039,20.8641,12.2365,5.0435,9.0887,,,,,,,0.0343,140.2144
66,0.7511,0.0073,0.0292,148.0,0.368,9.52,3.3,-5659.25,2.0077,47.8409,19.6939,0.0083,5.4362,85.0856,8.6324,0.116,50.0906,2.0647,64.1658,117.802,2.5605,0.7478,37.2955,3.4916,5.4215,14.249,15.1961,4.4374,3.8713,16.27,1.29,6.78,0.5564,3.9443,1.7562,0.0139,147.6201
67,0.7511,0.0107,,489.0,0.188,20.42,7.02,-5349.0,1.9663,50.8324,19.6939,,7.1443,83.8746,9.2658,0.0565,50.2261,11.4179,64.3328,119.104,2.5605,1.1005,14.1206,1.7526,6.2822,26.6698,35.7037,8.6574,9.406,15.78,1.11,7.7092,0.4874,3.868,1.471,,145.164
68,0.415,0.0097,,548.0,0.936,18.45,14.93,-5597.0,1.9752,60.4413,39.8882,,6.1475,83.9737,8.8033,0.325,50.3329,3.8234,64.485,118.6328,4.7897,0.9988,57.3302,9.4569,4.9918,52.8369,10.402,5.1871,7.4778,23.38,1.14,10.2012,0.4889,5.6531,1.4027,0.011,154.2768
69,0.5206,0.0169,,833.0,0.478,15.6,2.39,-5440.5,2.0045,52.244,16.1845,,6.3737,85.794,8.7599,0.1466,50.3802,23.7781,63.9715,117.6882,2.0355,1.7578,102.4309,4.5225,5.24,21.2516,24.9216,5.8405,4.7336,20.81,1.0,9.2279,0.3839,5.0683,1.2588,0.0192,117.3392
70,0.415,0.0183,,594.0,0.345,10.41,3.93,-5614.25,1.9745,69.4497,39.8882,,5.2038,85.324,9.6272,0.1285,50.4945,3.3989,64.1596,117.796,4.7897,1.9036,66.0987,3.2784,6.3911,17.605,11.9669,3.5221,8.7399,20.35,2.41,8.3023,1.0946,5.0554,2.9289,0.0108,154.1445
71,0.6112,0.0087,,308.0,0.333,19.5,4.31,-5534.5,2.018,45.3288,24.1213,,6.4765,85.794,8.7599,0.1019,50.3802,5.0502,63.9715,117.6882,3.2122,0.8943,45.8404,3.1888,6.1553,25.7066,36.503,7.7567,6.321,24.04,0.83,10.9205,0.2982,6.0105,1.1382,,146.5414
72,0.6112,0.0117,,5684.0,0.528,13.24,3.75,-2649.25,0.8882,38.8906,24.1213,,6.0925,84.0432,8.7487,0.1469,50.2849,3.6936,64.3732,118.7784,3.2122,1.1992,42.2364,4.8942,7.2089,23.1843,12.3478,6.4931,3.9075,19.76,0.97,9.3539,0.4014,4.8745,1.1885,0.0354,138.0046
73,0.5206,0.0108,,268.0,0.332,19.73,5.12,-5554.25,2.021,43.6834,16.1845,,10.0825,84.7166,8.8388,0.108,50.3916,4.8974,64.1968,111.7128,2.0355,1.1099,33.5404,3.1065,10.1134,27.9029,8.3426,6.7595,4.5129,17.37,1.29,7.2308,0.6356,4.2314,1.6482,0.0266,152.7358
74,1.0232,0.0153,,663.0,0.488,14.79,5.61,-6566.0,1.8762,42.234,26.9809,,4.3992,85.2575,9.094,0.1498,50.249,,64.235,119.6672,3.5829,1.5858,48.8185,4.6044,5.0228,30.9357,32.3052,5.7871,3.8602,,,,,,,,
75,0.6112,0.0109,,386.0,0.349,10.46,3.32,-5613.75,1.99,55.9162,24.1213,,5.7594,85.6039,8.7588,0.1046,50.179,4.32,64.1668,118.6704,3.2122,1.1157,55.6974,3.2965,8.7825,11.5519,11.7465,4.7924,4.3754,12.49,0.95,5.529,0.443,3.1239,1.326,0.0059,153.8518
76,0.4345,0.0165,,502.0,0.351,9.16,16.39,-6546.5,1.8822,41.9652,17.4657,,4.654,85.2575,9.094,0.1123,50.249,,64.235,119.6672,2.1434,1.7021,47.7348,3.3258,6.3593,75.6008,13.5315,7.5727,7.9544,22.75,0.99,10.2852,0.3951,5.6134,1.3355,,
77,0.6112,0.0154,,423.0,0.988,22.53,15.49,-5652.0,1.9457,46.4238,24.1213,,6.4111,85.1197,9.1784,0.3475,50.2165,8.7534,64.229,118.771,3.2122,1.5905,29.86,10.053,5.7722,58.2841,22.5208,4.505,8.6413,16.73,1.09,7.7201,0.5092,4.1795,1.3441,0.0461,155.4081
78,0.4345,0.0113,,2170.0,0.954,16.41,4.53,-6656.75,1.7797,37.8865,17.4657,,6.0475,84.6216,9.1585,0.2963,50.3138,4.3039,64.4425,122.4028,2.1434,1.1592,108.7701,9.6957,5.6422,19.1428,18.3156,5.5586,3.7429,14.05,1.6,6.6771,0.6613,3.4571,2.0007,0.0155,151.2071
79,0.415,0.0226,,504.0,1.243,11.72,4.27,-5681.5,1.9998,61.908,39.8882,,6.6742,84.3585,8.7495,0.3494,50.4362,8.5863,64.2234,117.7078,4.7897,2.3661,86.6632,11.7693,8.5027,28.8153,23.3872,4.8295,9.2274,20.41,1.54,8.8729,0.6066,5.0012,1.8712,0.0165,145.9794
80,0.4345,0.0093,,311.0,0.847,17.57,16.99,-5537.5,1.9648,51.0084,17.4657,,5.8072,85.1197,9.1784,0.2756,50.2165,7.2005,64.229,118.771,2.1434,0.9558,29.9421,8.6485,7.3866,52.7055,40.8689,9.778,9.2501,24.21,1.95,10.1871,0.8491,5.9677,2.4299,0.0218,159.8718
81,0.415,0.0092,,378.0,1.342,19.08,14.04,-5349.25,2.0063,42.1024,39.8882,,6.0691,84.1874,10.6376,0.3832,50.6882,6.3361,64.7132,118.8356,4.7897,0.9416,42.2941,14.1335,4.0934,53.3957,25.1927,4.654,7.3249,18.06,0.32,7.8946,0.1342,4.508,0.4336,0.018,161.1416
