,Unnamed: 0,F153,F159,F198,F200,F21,F26,F272,F319,F32,F33,F334,F337,F34,F35,F39,F390,F426,F439,F470,F474,F476,F495,F574,F576
18,18.0,0.0142,1036.0,0.44,17.69,-5575.25,1.9803,9.3474,6.9173,85.3498,8.6397,0.1316,1.7522,50.6324,64.1999,117.674,0.9709,1.4616,62.1419,4.3102,25.9254,13.6881,11.2863,2.3022,1.1273
19,19.0,0.0146,906.0,0.89,10.43,-5469.25,2.0157,39.0394,6.7628,84.9105,8.6789,0.2498,1.7887,50.51,64.1125,117.0442,0.7871,1.5012,60.4273,8.6183,34.3784,32.1569,4.4588,2.2358,1.4608
20,20.0,0.017,227.0,0.9,11.21,-5441.0,1.97,28.1733,6.6868,85.7939,8.6572,0.2957,1.5802,50.2073,63.9008,117.2894,1.1235,1.7554,76.7614,9.0538,23.0478,24.9484,9.1465,2.4529,1.2913
21,21.0,0.0167,1001.0,0.863,17.51,-5434.0,2.0095,28.9209,7.1292,85.3498,8.6397,0.2963,1.8395,50.6324,64.1999,117.674,1.1569,1.7251,56.3006,8.5785,23.945,16.926,6.5723,2.8482,1.5279
22,22.0,0.0142,668.0,1.069,16.13,-5310.25,1.9715,17.1354,6.8796,85.3498,8.6397,0.2906,1.8127,50.6324,64.1999,117.674,1.101,1.4638,83.3478,10.6502,25.8266,25.8499,6.8893,2.6843,1.4181
23,23.0,0.0149,5665.0,0.893,16.72,-2664.25,0.8915,47.7554,6.9612,85.0922,9.2007,0.244,0.9001,50.1899,64.2199,118.2566,1.1806,1.5379,62.4185,8.7833,18.9409,36.3944,4.7641,3.1106,1.6343
24,24.0,0.0037,5366.0,0.238,11.37,-2681.75,0.8862,46.0845,6.1235,84.0432,8.7487,0.0642,1.2514,50.2849,64.3732,118.7784,1.0785,0.3813,46.4183,2.2761,16.1328,11.4665,6.2682,2.6206,1.3383
25,25.0,0.0214,5913.0,0.385,11.35,-2706.0,0.8895,54.2649,6.4657,85.0716,8.6942,0.1225,1.4067,50.5287,64.3976,118.0626,0.8916,2.24,38.5714,3.6417,19.6543,11.383,7.769,2.9887,1.7367
26,26.0,0.0213,542.0,0.216,19.84,-5611.75,2.0137,62.5772,10.1805,84.9052,9.7997,0.0696,1.6294,50.6596,64.2828,118.1188,0.6982,2.2223,68.4783,1.9859,23.4105,15.2357,5.925,1.7463,1.018
27,27.0,0.0123,455.0,0.726,13.36,-5369.0,2.0017,44.5725,5.722,84.3324,8.9336,0.2409,2.0018,50.5527,64.2529,116.7828,1.57,1.2655,34.8178,7.5001,35.6874,15.6314,10.5479,3.3671,1.7732
28,28.0,0.0214,724.0,0.866,14.76,-5217.5,1.802,68.2654,5.6101,84.7166,8.8388,0.2944,2.1842,50.3916,64.1968,111.7128,0.6951,2.2383,35.7579,9.0132,27.0808,25.4735,7.182,2.5665,1.4217
29,29.0,0.017,252.0,1.007,9.73,-5416.0,1.9817,55.1959,6.1586,85.6039,8.7588,0.2772,1.6941,50.179,64.1668,118.6704,0.9245,1.7651,54.2735,9.8157,23.6173,15.6131,5.9014,3.1722,1.643
30,30.0,0.019,535.0,0.361,18.72,-5500.5,1.9888,70.0541,6.4394,101.9072,23.3453,0.1288,2.5845,57.6663,74.7081,126.5662,0.9439,1.9758,114.8801,3.4838,81.9273,20.2372,3.2523,2.6984,1.4574
31,31.0,0.0213,310.0,0.937,12.78,-5497.75,1.9773,64.7419,6.6218,83.9737,8.8033,0.2914,1.5435,50.3329,64.485,118.6328,0.7156,2.2207,32.472,9.1041,13.0432,11.957,5.676,2.9829,1.4909
32,32.0,0.0117,671.0,0.236,20.02,-5507.75,1.9745,17.066,6.6352,86.3472,9.1283,0.0766,2.1732,50.1869,64.0917,122.0886,1.4086,1.205,47.012,2.1856,33.4064,12.268,5.2824,3.5623,2.024
33,33.0,0.0124,5575.0,0.251,13.99,-2622.5,0.8912,68.2815,6.8639,85.6591,8.8249,0.0838,0.7509,50.3878,64.1536,118.3554,1.4712,1.2699,41.3043,2.3479,27.4778,11.4741,5.676,4.1245,2.2271
34,34.0,0.0161,2058.0,0.938,17.57,-6010.25,1.7778,41.549,5.8721,84.3324,8.9336,0.3381,2.3754,50.5527,64.2529,116.7828,0.8453,1.668,35.425,9.8176,29.3666,14.6363,6.7926,2.5269,1.5277
35,35.0,0.0126,531.0,0.313,11.75,-5548.0,2.0092,46.4432,7.133,85.2487,10.0686,0.0874,1.8141,50.6755,64.3085,117.7568,0.9273,1.3012,36.227,2.9163,15.4172,11.4604,6.3759,1.8732,0.9783
36,36.0,0.0086,5448.0,0.746,16.75,-1362.0,0.4407,41.2456,5.7967,85.6039,8.7588,0.2558,2.003,50.179,64.1668,118.6704,1.2726,0.8767,39.172,7.6636,33.3534,15.7751,7.2897,3.6701,2.0459
37,37.0,0.0154,617.0,1.249,17.24,-5452.75,1.9728,77.8077,5.8909,85.6039,8.7588,0.3536,1.9675,50.179,64.1668,118.6704,1.5746,1.6027,48.3471,12.1198,19.4709,19.67,5.9014,3.3656,1.939
38,38.0,0.0063,73.0,0.912,19.62,-5493.75,2.0135,37.4513,6.4567,84.7569,8.659,0.3398,1.2445,50.153,64.1114,118.6128,0.9237,0.6467,72.8102,9.1568,37.7319,32.3644,5.4444,2.2791,1.3166
39,39.0,0.0149,168.0,0.284,25.1,-5525.5,2.0092,48.1604,6.1395,101.9072,23.3453,0.0736,2.708,57.6663,74.7081,126.5662,1.4139,1.5383,62.4906,2.6982,52.1369,13.8372,12.3156,2.3065,1.1708
40,40.0,0.0125,1848.0,0.796,17.38,-5085.25,1.9875,34.7118,5.9578,84.6216,9.1585,0.3098,1.2764,50.3138,64.4425,122.4028,0.7928,1.2867,104.7136,8.1671,32.0013,20.4473,7.3315,4.2202,2.2711
41,41.0,0.0186,72.0,0.402,18.21,-5626.25,1.987,31.6584,10.1341,85.0724,8.6074,0.1103,1.8877,50.5378,64.0172,117.8088,0.9938,1.9298,45.1302,3.7213,26.2688,15.7423,3.9893,2.2226,1.2402
42,42.0,0.0171,2867.0,0.192,12.85,-6033.25,1.97,16.9423,6.8452,85.6626,9.1502,0.0671,1.5529,50.2288,64.1871,119.3708,0.8391,1.7789,70.2063,1.7599,19.9216,11.7079,6.3834,3.5751,1.9574
43,43.0,0.0136,723.0,0.793,16.06,-5415.75,2.0063,70.6028,5.915,84.1874,10.6376,0.2551,4.4892,50.6882,64.7132,118.8356,0.6849,1.3993,78.0214,8.3426,56.7309,21.6098,6.4931,3.8966,2.3094
44,44.0,0.0173,7569.0,0.323,23.16,-4731.0,1.3322,40.326,10.6642,84.6216,9.1585,0.0986,1.2495,50.3138,64.4425,122.4028,1.1358,1.7925,59.2683,3.0055,19.4796,29.2477,3.7725,3.7648,2.1694
45,45.0,0.0168,299.0,0.449,21.82,-5546.5,1.9992,49.3298,10.1112,84.1874,10.6376,0.123,3.3789,50.6882,64.7132,118.8356,1.13,1.7323,66.6494,4.0825,19.0472,26.1277,3.3906,2.9727,1.6406
46,46.0,0.0129,7600.0,0.346,21.91,-3281.0,0.8885,56.5652,11.0873,84.0432,8.7487,0.0923,1.8839,50.2849,64.3732,118.7784,1.0959,1.3234,51.2528,3.2174,25.4083,9.78,4.074,4.0631,2.3209
47,47.0,0.0213,7653.0,1.019,18.15,-4667.25,1.3305,60.986,6.7794,85.0922,9.2007,0.2889,2.6361,50.1899,64.2199,118.2566,0.7632,2.2069,74.359,10.0267,49.7653,18.4388,5.1871,3.6023,1.9319
48,48.0,0.0145,109.0,0.28,21.28,-5300.25,2.0105,85.0263,5.6056,101.9072,23.3453,0.098,2.6724,57.6663,74.7081,126.5662,1.2535,1.4986,43.75,2.6712,69.586,36.8704,4.8295,2.5312,1.3616
49,49.0,0.0148,760.0,0.288,12.39,-5553.0,2.0433,45.3961,10.5917,84.3585,8.7495,0.0907,1.6202,50.4362,64.2234,117.7078,0.8285,1.525,93.6073,2.7678,34.1144,27.3414,5.3171,2.3127,1.2057
50,50.0,0.0159,157.0,0.373,22.08,-5394.0,2.0032,64.5401,10.5646,101.9072,23.3453,0.0951,1.4343,57.6663,74.7081,126.5662,1.3943,1.6462,63.2258,3.5637,37.7838,8.4811,7.0552,2.3055,1.2361
51,51.0,0.0183,5391.0,0.407,13.48,-2575.5,0.892,57.1555,6.5515,84.0432,8.7487,0.1107,1.7117,50.2849,64.3732,118.7784,1.4339,1.8979,40.5356,3.7849,25.0882,10.2747,5.2589,3.2968,1.7389
52,52.0,0.0146,785.0,0.165,24.07,-5175.5,2.0,53.6918,5.1302,84.1874,10.6376,0.0528,5.665,50.6882,64.7132,118.8356,0.7748,1.5114,37.2781,1.4896,43.0024,53.9517,8.5729,2.5006,1.3186
53,53.0,0.0117,444.0,0.324,8.34,-5545.0,1.9772,22.0568,6.7101,85.6591,8.8249,0.093,1.7168,50.3878,64.1536,118.3554,1.4348,1.2029,63.0,3.027,19.8739,15.2503,6.4246,3.1643,1.6412
54,54.0,0.0123,7657.0,0.313,15.21,-4520.75,1.3458,59.5037,10.5399,85.1197,9.1784,0.1013,2.6478,50.2165,64.229,118.771,1.4645,1.2708,39.6923,2.9013,44.7657,20.0194,6.6804,2.7718,1.547
55,55.0,0.0196,540.0,0.338,17.58,-5683.75,1.9597,68.0487,10.6396,85.1197,9.1784,0.0924,2.3331,50.2165,64.229,118.771,0.7634,2.0277,50.0,3.2193,39.1888,13.6513,6.0096,2.9084,1.5067
56,56.0,0.0116,682.0,0.328,13.79,-5460.5,2.031,52.3961,6.5963,85.794,8.7599,0.1024,1.6657,50.3802,63.9715,117.6882,1.0252,1.1893,73.262,3.0952,25.6694,12.7209,4.4944,2.7639,1.728
57,57.0,0.0165,5475.0,0.175,26.55,-1368.75,0.4425,49.0014,10.5768,84.0432,8.7487,0.0556,3.4954,50.2849,64.3732,118.7784,1.0293,1.6997,53.4181,1.587,25.4693,26.5792,5.676,3.0902,1.7412
58,58.0,0.0145,7709.0,1.322,13.73,-4490.5,1.3438,52.8454,6.2104,85.1197,9.1784,0.3653,1.7173,50.2165,64.229,118.771,0.773,1.4902,35.7585,13.0074,19.135,25.6666,7.1023,2.8877,1.54
59,59.0,0.0146,817.0,0.269,16.31,-5433.25,2.0187,45.5751,10.4884,84.9052,9.7997,0.0848,1.7462,50.6596,64.2828,118.1188,1.4307,1.4987,71.2521,2.5446,28.3775,11.4323,6.3872,2.1994,1.3661
60,60.0,0.0095,571.0,0.278,21.67,-5493.75,1.9828,74.4596,10.3384,84.1874,10.6376,0.0859,2.5091,50.6882,64.7132,118.8356,1.0754,0.9742,110.4496,2.5436,23.841,22.1802,6.8133,2.6533,1.6135
61,61.0,0.0076,5477.0,0.839,19.73,-2597.0,0.891,53.8764,5.8927,85.6039,8.7588,0.2402,3.8408,50.179,64.1668,118.6704,1.1833,0.7779,47.4922,8.6976,46.9959,17.365,6.6954,3.6728,1.9897
62,62.0,0.0037,662.0,0.293,11.61,-5507.5,1.9905,56.7312,5.727,85.794,8.7599,0.0917,1.1841,50.3802,63.9715,117.6882,0.6924,0.376,68.0747,2.7431,15.8463,11.9686,5.2357,2.3288,1.3792
63,63.0,0.0169,1213.0,0.191,19.75,-5667.5,2.012,72.0968,10.8535,85.8965,9.2405,0.0502,1.2412,50.157,64.0502,119.2274,1.6298,1.7486,52.6129,1.8023,23.4308,9.0669,7.7567,2.3507,1.1625
64,64.0,0.0079,599.0,0.366,6.73,-5501.75,2.0062,62.6897,5.1001,84.3585,8.7495,0.1015,1.4645,50.4362,64.2234,117.7078,0.8564,0.8118,59.8039,3.3468,9.349,9.6388,7.0497,3.2033,1.8338
65,65.0,0.0076,984.0,0.378,14.53,-5382.5,2.01,41.2671,6.4213,84.3585,8.7495,0.1131,1.9212,50.4362,64.2234,117.7078,1.688,0.7839,79.9699,3.5232,20.8641,12.2365,5.0435,2.0163,1.1501
66,66.0,0.0073,148.0,0.368,9.52,-5659.25,2.0077,47.8409,5.4362,85.0856,8.6324,0.116,1.1285,50.0906,64.1658,117.802,0.6475,0.7478,37.2955,3.4916,14.249,15.1961,4.4374,2.1543,1.2991
67,67.0,0.0107,489.0,0.188,20.42,-5349.0,1.9663,50.8324,7.1443,83.8746,9.2658,0.0565,2.0921,50.2261,64.3328,119.104,1.825,1.1005,14.1206,1.7526,26.6698,35.7037,8.6574,3.522,1.9251
68,68.0,0.0097,548.0,0.936,18.45,-5597.0,1.9752,60.4413,6.1475,83.9737,8.8033,0.325,3.9486,50.3329,64.485,118.6328,1.4633,0.9988,57.3302,9.4569,52.8369,10.402,5.1871,2.8332,1.4795
69,69.0,0.0169,833.0,0.478,15.6,-5440.5,2.0045,52.244,6.3737,85.794,8.7599,0.1466,0.6846,50.3802,63.9715,117.6882,0.9685,1.7578,102.4309,4.5225,21.2516,24.9216,5.8405,3.8913,2.3373
70,70.0,0.0183,594.0,0.345,10.41,-5614.25,1.9745,69.4497,5.2038,85.324,9.6272,0.1285,1.0663,50.4945,64.1596,117.796,1.6445,1.9036,66.0987,3.2784,17.605,11.9669,3.5221,2.4106,1.219
71,71.0,0.0087,308.0,0.333,19.5,-5534.5,2.018,45.3288,6.4765,85.794,8.7599,0.1019,1.619,50.3802,63.9715,117.6882,1.1946,0.8943,45.8404,3.1888,25.7066,36.503,7.7567,2.6025,1.4101
72,72.0,0.0117,5684.0,0.528,13.24,-2649.25,0.8882,38.8906,6.0925,84.0432,8.7487,0.1469,1.4111,50.2849,64.3732,118.7784,0.7542,1.1992,42.2364,4.8942,23.1843,12.3478,6.4931,3.4964,1.9775
73,73.0,0.0108,268.0,0.332,19.73,-5554.25,2.021,43.6834,10.0825,84.7166,8.8388,0.108,1.641,50.3916,64.1968,111.7128,0.8585,1.1099,33.5404,3.1065,27.9029,8.3426,6.7595,1.7611,1.0306
74,74.0,0.0153,663.0,0.488,14.79,-6566.0,1.8762,42.234,4.3992,85.2575,9.094,0.1498,1.9468,50.249,64.235,119.6672,0.7249,1.5858,48.8185,4.6044,30.9357,32.3052,5.7871,2.0122,1.1886
75,75.0,0.0109,386.0,0.349,10.46,-5613.75,1.99,55.9162,5.7594,85.6039,8.7588,0.1046,1.1834,50.179,64.1668,118.6704,0.8512,1.1157,55.6974,3.2965,11.5519,11.7465,4.7924,3.3993,1.7897
76,76.0,0.0165,502.0,0.351,9.16,-6546.5,1.8822,41.9652,4.654,85.2575,9.094,0.1123,4.2174,50.249,64.235,119.6672,1.3372,1.7021,47.7348,3.3258,75.6008,13.5315,7.5727,3.7784,2.0097
77,77.0,0.0154,423.0,0.988,22.53,-5652.0,1.9457,46.4238,6.4111,85.1197,9.1784,0.3475,4.4704,50.2165,64.229,118.771,1.6253,1.5905,29.86,10.053,58.2841,22.5208,4.505,2.5902,1.4763
78,78.0,0.0113,2170.0,0.954,16.41,-6656.75,1.7797,37.8865,6.0475,84.6216,9.1585,0.2963,1.6118,50.3138,64.4425,122.4028,0.6655,1.1592,108.7701,9.6957,19.1428,18.3156,5.5586,3.5456,1.9009
79,79.0,0.0226,504.0,1.243,11.72,-5681.5,1.9998,61.908,6.6742,84.3585,8.7495,0.3494,1.1386,50.4362,64.2234,117.7078,1.7277,2.3661,86.6632,11.7693,28.8153,23.3872,4.8295,3.6913,1.9836
80,80.0,0.0093,311.0,0.847,17.57,-5537.5,1.9648,51.0084,5.8072,85.1197,9.1784,0.2756,4.9906,50.2165,64.229,118.771,1.8039,0.9558,29.9421,8.6485,52.7055,40.8689,9.778,3.6866,2.0783
81,81.0,0.0092,378.0,1.342,19.08,-5349.25,2.0063,42.1024,6.0691,84.1874,10.6376,0.3832,3.8986,50.6882,64.7132,118.8356,1.4529,0.9416,42.2941,14.1335,53.3957,25.1927,4.654,2.3189,1.1479
82,82.0,0.0122,424.0,0.256,22.69,-5495.75,1.9688,52.1789,9.9304,83.8746,9.2658,0.074,2.4745,50.2261,64.3328,119.104,0.7591,1.2543,55.1506,2.3519,25.3071,18.9788,9.1197,4.5061,2.5874
83,83.0,0.011,527.0,0.406,17.17,-6518.25,1.8967,35.9635,4.7173,85.4579,8.6667,0.1284,2.1606,50.2987,64.2122,117.955,1.2749,1.129,58.6517,3.9708,49.0923,33.5899,5.0921,2.913,1.7943
84,84.0,0.0245,7791.0,0.506,14.89,-4556.0,1.3362,46.4735,5.9844,85.1197,9.1784,0.1762,1.6166,50.2165,64.229,118.771,1.6373,2.5063,21.4286,5.0212,20.2083,15.8872,5.836,2.5261,1.3983
85,85.0,0.0161,530.0,0.666,8.71,-5432.5,2.0345,13.3636,5.4033,84.3324,8.9336,0.1831,1.2551,50.5527,64.2529,116.7828,0.6683,1.659,31.8341,6.2146,23.6945,7.348,5.5013,137.833,85.9341
86,86.0,0.0202,745.0,0.197,12.45,-5677.75,1.9985,18.604,4.9523,84.8723,8.755,0.0626,2.607,50.3957,64.0838,117.326,0.6605,2.0999,57.9592,1.8058,25.6771,14.5221,4.4588,137.833,85.9341
87,87.0,0.0122,1657.0,0.986,5.07,-6174.5,1.881,11.3213,2.4657,84.8178,8.7947,0.3105,2.5621,50.2004,63.9947,118.7708,0.9795,1.2446,54.0,9.5157,72.3139,15.2609,7.3331,3.6157,1.8624
88,88.0,0.0137,296.0,1.149,4.94,-5367.75,2.0093,10.0285,1.8788,84.8178,8.7947,0.3223,1.6273,50.2004,63.9947,118.7708,0.6707,1.4003,31.8998,11.1861,40.5349,18.3601,2.8928,3.6182,1.9239
89,89.0,0.0133,531.0,0.45,7.12,-5393.25,1.9872,29.6075,5.171,85.6591,8.8249,0.1278,1.9896,50.3878,64.1536,118.3554,0.6926,1.3796,56.3177,4.142,13.8468,13.502,5.166,137.833,85.9341
90,90.0,0.0133,578.0,1.048,7.13,-5594.25,1.8807,36.2012,1.6574,85.4507,9.3851,0.3008,1.9083,50.4554,63.8228,118.528,0.6514,1.3617,38.9892,10.3196,33.6344,14.6237,7.7547,2.3605,1.3144
91,91.0,0.0142,5703.0,0.461,15.91,-2665.5,0.8912,28.6872,6.6879,85.0716,8.6942,0.1365,0.8654,50.5287,64.3976,118.0626,1.4617,1.4659,54.1997,4.4261,19.3648,11.5465,7.0844,4.1245,2.2271
92,92.0,0.0135,527.0,0.429,17.45,-5527.0,1.984,13.0903,10.4385,85.6626,9.1502,0.1132,2.7903,50.2288,64.1871,119.3708,0.8311,1.3959,40.5579,4.0658,55.4771,6.0868,6.3834,4.1245,2.2271
93,93.0,0.0134,7716.0,0.266,13.22,-4695.25,1.3355,47.1104,5.1677,84.7166,8.8388,0.0733,2.9081,50.3916,64.1968,111.7128,0.9737,1.3778,39.1304,2.4099,26.5079,8.7293,6.7595,3.4939,1.8387
94,94.0,0.0167,663.0,0.437,7.29,-5491.5,1.9898,27.6841,5.2074,85.0716,8.6942,0.1232,2.2382,50.5287,64.3976,118.0626,1.2159,1.7213,93.0118,4.0185,16.3471,7.8537,4.4944,137.833,85.9341
95,95.0,0.0187,619.0,0.245,9.5,-5463.25,2.0063,21.3097,4.8712,84.9052,9.7997,0.0794,2.5358,50.6596,64.2828,118.1188,0.644,1.9383,66.8984,2.2287,21.7283,11.4258,5.3832,2.9696,1.5497
96,96.0,0.0122,5480.0,1.033,15.66,-2609.25,0.8925,55.5934,5.9438,85.6039,8.7588,0.3593,2.1534,50.179,64.1668,118.6704,0.6917,1.2508,49.2847,10.569,31.2499,36.4566,5.9014,3.3384,1.7362
97,97.0,0.0143,167.0,0.454,4.01,-5497.75,2.0083,30.3511,1.7279,84.8178,8.7947,0.1433,2.6515,50.2004,63.9947,118.7708,0.8183,1.4744,62.9255,4.4178,66.6321,39.095,10.8578,3.5301,1.9298
98,98.0,0.0141,592.0,0.392,9.74,-5522.25,1.87,69.6508,2.0899,85.4507,9.3851,0.1287,2.9291,50.4554,63.8228,118.528,0.6784,1.4541,27.2727,3.7659,58.2981,20.4777,7.7547,2.8864,1.548
99,99.0,0.0049,6011.0,0.328,30.17,-1502.75,0.4368,61.8203,6.3227,85.0922,9.2007,0.0862,5.4961,50.1899,64.2199,118.2566,0.9371,0.5029,53.411,2.9706,45.3306,43.7804,5.8405,4.089,2.2188
100,100.0,0.0142,352.0,0.882,3.57,-5443.0,1.9935,17.873,2.5953,84.8178,8.7947,0.2519,3.064,50.2004,63.9947,118.7708,0.7406,1.458,38.8052,8.6167,51.9971,28.6441,2.8928,4.32,2.3592
101,101.0,0.0267,336.0,0.505,4.26,-5668.0,1.853,38.8917,2.3025,85.4507,9.3851,0.1506,2.5224,50.4554,63.8228,118.528,1.0464,2.7999,40.4557,4.8772,74.713,13.3243,8.4971,2.4933,1.4934
102,102.0,0.0216,168.0,0.415,14.48,-6274.75,1.8835,41.299,5.2036,85.4138,10.9634,0.1445,1.3302,50.3803,64.2949,118.8972,1.1213,2.2588,46.6321,3.9783,22.3427,9.8885,8.4413,116.2324,76.326
103,103.0,0.0138,552.0,0.851,6.07,-5609.5,1.8678,42.0662,1.8371,85.4507,9.3851,0.2712,2.4092,50.4554,63.8228,118.528,0.7927,1.4215,41.4859,8.3126,36.3482,11.5089,7.6193,2.9717,1.8119
104,104.0,0.0122,302.0,0.505,13.2,-6487.25,1.8753,42.0083,5.1015,85.2575,9.094,0.1478,2.378,50.249,64.235,119.6672,1.4345,1.2562,42.364,4.9785,52.1988,49.8401,8.151,2.8505,1.521
105,105.0,0.022,623.0,0.881,15.55,-6361.5,1.8895,60.7583,4.9924,85.4138,10.9634,0.2588,1.3332,50.3803,64.2949,118.8972,0.8745,2.3024,43.9627,8.4746,26.8126,21.0087,5.6251,2.8582,1.5539
106,106.0,0.0123,392.0,0.271,20.52,-6514.0,1.882,47.0601,6.6302,84.5407,9.1638,0.1009,1.9875,50.1709,64.2232,119.7114,0.8706,1.2645,36.9981,2.6114,37.6059,7.2774,8.151,3.349,1.8173
107,107.0,0.0194,532.0,0.315,16.04,-6541.25,1.8858,54.4456,4.3593,85.2575,9.094,0.0952,1.4501,50.249,64.235,119.6672,0.9873,2.0198,38.9498,2.9504,18.0467,10.1317,5.2669,2.4813,1.321
108,108.0,0.0129,1270.0,0.382,16.17,-5147.25,1.983,42.8075,4.2394,85.2575,9.094,0.1033,1.8705,50.249,64.235,119.6672,0.7758,1.331,80.8511,3.6777,42.5125,40.7596,3.5013,2.7748,1.5082
109,109.0,0.0195,385.0,0.57,15.9,-6485.5,1.888,42.2246,6.0052,84.5407,9.1638,0.1915,2.111,50.1709,64.2232,119.7114,9.6618,2.0322,41.9152,5.589,31.5931,21.7446,8.9716,2.6985,1.4113
110,110.0,0.0111,702.0,0.333,17.18,-5409.0,1.9937,53.6418,10.5455,84.3324,8.9336,0.1029,2.6225,50.5527,64.2529,116.7828,0.7245,1.1393,47.3464,3.167,39.7404,8.8018,6.7926,1.9274,1.1494
111,111.0,0.0109,389.0,0.363,11.99,-6463.0,1.8718,25.4458,4.4095,85.4579,8.6667,0.0924,2.1414,50.2987,64.2122,117.955,0.9748,1.1213,42.9748,3.5214,60.8267,36.3109,10.2288,2.9137,1.5168
112,112.0,0.0175,259.0,0.327,21.71,-5301.0,1.9775,52.3545,10.0152,83.8746,9.2658,0.1047,2.0661,50.2261,64.3328,119.104,1.1508,1.8212,45.0,3.0719,30.1132,21.928,3.5013,2.983,1.5742
