,Unnamed: 0,F152,F16,F185,F187,F206,F209,F252,F287,F321,F342,F347,F390,F425,F457,F459,F46,F478,F524,F574,F576,F577,F74
30,30.0,0.3989,9.8631,5.18,16.59,0.0,0.0,2.9025,0.1221,1.6487,0.0,0.0,0.9439,4.0441,3.663,2.6381,723.714,0.0,4.937,2.6984,1.4574,12.0275,0.0
31,31.0,0.446,9.75,7.96,15.68,0.0,0.0,2.1927,0.1336,2.4309,0.0,0.0,0.7156,4.5748,5.8911,2.4867,739.5598,0.0,3.9184,2.9829,1.4909,9.6586,0.0
32,32.0,1.4992,9.7447,6.49,15.65,0.0,0.0,4.2653,0.4608,1.7739,0.0,0.0,1.4086,15.3844,4.4997,2.4771,726.2285,0.0,7.2939,3.5623,2.024,11.551,0.0
33,33.0,2.8455,9.672,7.55,16.98,0.0,0.0,4.441,0.9118,2.1524,0.0,0.0,1.4712,29.4205,5.146,2.6937,720.9909,0.0,7.5934,4.1245,2.2271,13.4859,0.0
34,34.0,1.2511,9.6398,5.61,10.35,0.0,0.0,2.4406,0.4032,1.8478,0.0,0.0,0.8453,12.9785,4.1247,1.5944,760.2925,0.0,4.3199,2.5269,1.5277,16.6904,0.0
35,35.0,0.2675,10.4472,4.66,16.98,0.0,0.0,2.8954,0.0826,1.6215,0.0,0.0,0.9273,2.5606,3.2619,2.6435,742.0584,0.0,4.8923,1.8732,0.9783,15.1794,0.0
36,36.0,4.0045,10.499,3.17,13.55,0.0,0.0,3.6863,1.2261,0.9763,0.0,0.0,1.2726,38.142,2.3678,2.1092,754.1593,0.0,6.4223,3.6701,2.0459,11.6384,0.0
37,37.0,4.2234,9.4864,8.17,16.57,0.0,0.0,4.9502,1.1949,2.4952,0.0,0.0,1.5746,44.5204,6.0304,2.6271,738.7487,0.0,8.4774,3.3656,1.939,11.8467,0.0
38,38.0,1.0515,9.7739,4.36,13.74,0.0,0.0,2.6639,0.3218,1.4851,0.0,0.0,0.9237,10.758,3.1685,2.1532,740.5161,0.0,4.4824,2.2791,1.3166,15.6351,0.0
39,39.0,0.6573,9.8035,5.5,14.45,0.0,0.0,4.2471,0.2061,1.705,0.0,0.0,1.4139,6.7043,3.7973,2.2871,726.7451,0.0,7.2761,2.3065,1.1708,12.147,0.0
40,40.0,5.2486,9.5543,5.63,17.18,0.0,0.0,2.7806,1.596,1.798,0.0,0.0,0.7928,54.9343,4.2055,2.672,755.293,0.0,4.8304,4.2202,2.2711,9.4847,0.0
41,41.0,0.361,10.0255,6.45,23.38,0.0,0.0,3.1004,0.1038,2.0617,0.0,0.0,0.9938,3.601,4.4698,3.7467,719.8578,0.0,5.2913,2.2226,1.2402,17.0149,0.0
42,42.0,0.3301,10.0005,5.87,18.51,0.0,0.0,2.5999,0.0966,1.7461,0.0,0.0,0.8391,3.3008,4.0222,2.9432,721.6429,0.0,4.4178,3.5751,1.9574,12.9236,0.0
43,43.0,0.5256,10.194,4.81,13.62,0.0,0.0,2.3474,0.1824,1.4975,0.0,0.0,0.6849,5.1562,3.5655,2.1143,755.4825,0.0,4.0099,3.8966,2.3094,12.0422,0.0
44,44.0,0.3377,10.1081,6.86,20.2,0.0,0.0,4.0153,0.1023,2.4251,0.0,0.0,1.1358,3.3407,4.7771,3.2035,729.1235,0.0,6.9621,3.7648,2.1694,8.2142,0.0
45,45.0,0.3856,10.0934,5.0,22.24,0.0,0.0,3.976,0.1107,1.7826,0.0,0.0,1.13,3.8203,3.5139,3.582,718.1845,0.0,6.9295,2.9727,1.6406,26.5739,0.0
46,46.0,0.4858,10.6454,3.68,23.87,0.0,0.0,3.8427,0.1418,1.103,0.0,0.0,1.0959,4.5631,2.582,3.8009,726.5571,0.0,6.6657,4.0631,2.3209,14.3755,0.0
47,47.0,2.1687,9.7465,7.52,17.82,0.0,0.0,2.6422,0.5958,2.674,0.0,0.0,0.7632,22.2512,5.5184,2.8335,732.7769,0.0,4.5069,3.6023,1.9319,27.0589,0.0
48,48.0,0.7397,9.7807,4.23,13.19,0.0,0.0,3.7145,0.2253,1.3072,0.0,0.0,1.2535,7.5628,3.003,2.0991,722.9962,0.0,6.3972,2.5312,1.3616,17.0935,0.0
49,49.0,0.5254,10.2702,4.53,22.73,0.0,0.0,2.7385,0.1512,1.4141,0.0,0.0,0.8285,5.1159,3.2283,3.6637,720.0985,0.0,4.6927,2.3127,1.2057,7.9429,0.0
50,50.0,0.3621,10.0409,7.58,21.39,0.0,0.0,4.2139,0.1051,2.0483,0.0,0.0,1.3943,3.6058,5.2861,3.425,721.845,0.0,7.224,2.3055,1.2361,25.4953,0.0
51,51.0,0.4435,10.2057,3.73,12.71,0.0,0.0,4.3934,0.1302,1.2308,0.0,0.0,1.4339,4.3457,2.5873,2.0155,725.3556,0.0,7.443,3.2968,1.7389,15.9673,0.0
52,52.0,0.3739,10.7124,5.13,14.03,0.0,0.0,2.6724,0.119,1.6207,0.0,0.0,0.7748,3.4904,3.6079,2.2007,734.3141,0.0,4.5557,2.5006,1.3186,18.8331,0.0
53,53.0,0.4566,10.6441,5.8,15.53,0.0,0.0,4.2871,0.1314,1.6395,0.0,0.0,1.4348,4.2893,3.9746,2.454,724.3436,0.0,7.3053,3.1643,1.6412,16.3088,0.0
54,54.0,4.5487,10.3876,7.07,19.75,0.0,0.0,4.4631,1.3404,2.3431,0.0,0.0,1.4645,43.7898,5.0955,3.188,719.1008,0.0,7.5376,2.7718,1.547,13.3972,0.0
55,55.0,0.4471,10.2718,5.89,23.65,0.0,0.0,2.5649,0.1304,1.6443,0.0,0.0,0.7634,4.3527,4.1214,3.7983,719.2135,0.0,4.4039,2.9084,1.5067,6.5522,0.0
56,56.0,0.3681,10.68,5.6,13.4,0.0,0.0,3.1095,0.1136,1.8583,0.0,0.0,1.0252,3.447,4.0483,2.1413,723.7783,0.0,5.2615,2.7639,1.728,14.4755,0.0
57,57.0,0.704,9.9522,8.03,18.78,0.0,0.0,3.2904,0.2117,2.3281,0.0,0.0,1.0293,7.0742,5.3855,2.9855,720.7304,0.0,5.6104,3.0902,1.7412,14.0012,0.0
58,58.0,4.5412,11.0203,5.88,14.12,0.0,0.0,2.3459,1.3642,1.867,0.0,0.0,0.773,41.2075,4.406,2.2457,736.5657,0.0,4.1913,2.8877,1.54,12.0404,0.0
59,59.0,0.3814,10.6095,4.65,22.84,0.0,0.0,4.3243,0.1156,1.7155,0.0,0.0,1.4307,3.5953,3.2196,3.6394,724.2424,0.0,7.4224,2.1994,1.3661,14.2828,0.0
60,60.0,0.5429,9.932,7.3,21.65,0.0,0.0,3.2252,0.1582,2.1986,0.0,0.0,1.0754,5.4662,5.1431,3.4844,719.0067,0.0,5.452,2.6533,1.6135,9.8604,0.0
61,61.0,0.4134,9.1397,5.46,10.23,0.0,0.0,4.1038,0.1337,1.4898,0.0,0.0,1.1833,4.523,4.0862,1.5811,761.9285,0.0,6.8878,3.6728,1.9897,15.0879,0.0
62,62.0,0.4882,9.1557,5.02,15.29,0.0,0.0,2.3288,0.1533,1.5558,0.0,0.0,0.6924,5.3318,3.5149,2.3984,733.3332,0.0,4.0078,2.3288,1.3792,17.0532,0.0
63,63.0,0.3262,8.8833,6.41,22.01,0.0,0.0,4.9963,0.1108,2.0266,0.0,0.0,1.6298,3.6722,4.494,3.5046,725.9134,0.0,8.7073,2.3507,1.1625,21.2281,0.0
64,64.0,0.4198,9.1136,5.55,9.72,0.0,0.0,2.6554,0.1345,1.8775,0.0,0.0,0.8564,4.6062,3.9653,1.5482,725.1731,0.0,4.7819,3.2033,1.8338,16.3616,0.0
65,65.0,0.8201,9.708,5.86,15.86,0.0,0.0,5.2175,0.2252,2.047,0.0,0.0,1.688,8.4479,4.1087,2.5107,728.2242,0.0,9.0887,2.0163,1.1501,18.4846,0.0
66,66.0,0.454,9.0959,5.58,13.2,0.0,0.0,2.2402,0.1424,1.8826,0.0,0.0,0.6475,4.9912,3.9183,2.0746,732.4176,0.0,3.8713,2.1543,1.2991,11.3646,0.0
67,67.0,0.4519,9.118,4.24,15.62,0.0,0.0,5.5617,0.1434,1.3999,0.0,0.0,1.825,4.9557,2.8985,2.4698,724.3708,0.0,9.406,3.522,1.9251,21.8407,0.0
68,68.0,1.075,9.7637,6.35,12.9,0.0,0.0,4.4487,0.2911,1.8868,0.0,0.0,1.4633,11.0098,4.7598,2.0117,753.9997,0.0,7.4778,2.8332,1.4795,5.0986,0.0
69,69.0,0.8146,9.3711,4.39,11.2,0.0,0.0,2.8423,0.2232,1.5201,0.0,0.0,0.9685,8.6922,3.0832,1.7831,723.8999,0.0,4.7336,3.8913,2.3373,13.8172,0.0
70,70.0,0.8034,9.3955,7.38,11.51,0.0,0.0,5.0317,0.2232,2.4225,0.0,0.0,1.6445,8.5513,5.3579,1.8195,731.7208,0.0,8.7399,2.4106,1.219,15.93,0.0
71,71.0,0.4479,9.8426,5.69,11.87,0.0,0.0,3.5801,0.1325,1.6452,0.0,0.0,1.1946,4.5505,4.1227,1.9058,720.422,0.0,6.321,2.6025,1.4101,11.2549,0.0
72,72.0,0.5063,10.1235,5.55,12.65,0.0,0.0,2.267,0.1482,1.7957,0.0,0.0,0.7542,5.0012,4.015,2.0234,723.0058,0.0,3.9075,3.4964,1.9775,18.2114,0.0
73,73.0,0.392,10.5025,6.4,19.97,0.0,0.0,2.6624,0.1258,1.9705,0.0,0.0,0.8585,3.7328,4.3721,3.1853,721.4974,0.0,4.5129,1.7611,1.0306,15.4085,0.0
74,74.0,0.3626,9.902,5.06,7.96,0.0,0.0,2.2436,0.1089,1.6184,0.0,0.0,0.7249,3.6614,3.4275,1.271,714.6868,0.0,3.8602,2.0122,1.1886,13.1929,0.0
75,75.0,0.4602,10.1394,6.18,11.9,0.0,0.0,2.6264,0.1349,1.987,0.0,0.0,0.8512,4.539,4.2839,1.8562,736.1872,0.0,4.3754,3.3993,1.7897,11.0317,0.0
76,76.0,1.0185,9.946,14.54,11.99,0.0,0.0,4.4574,0.2785,3.9252,0.0,0.0,1.3372,10.2404,10.1194,1.9095,721.1447,0.0,7.9544,3.7784,2.0097,15.0254,0.0
77,77.0,1.1306,9.9707,5.44,14.79,0.0,0.0,4.949,0.3087,1.3788,0.0,0.0,1.6253,11.3391,4.1217,2.3135,751.7251,0.0,8.6413,2.5902,1.4763,13.3002,0.0
78,78.0,0.3272,10.0926,4.55,11.51,0.0,0.0,2.2309,0.0975,1.273,0.0,0.0,0.6655,3.2422,3.4129,1.7875,757.4796,0.0,3.7429,3.5456,1.9009,17.0931,0.0
79,79.0,0.8696,9.4946,4.4,10.82,0.0,0.0,5.3135,0.2381,1.485,0.0,0.0,1.7277,9.1586,3.1215,1.7402,716.994,0.0,9.2274,3.6913,1.9836,15.2498,0.0
80,80.0,0.3444,10.3558,4.93,12.11,0.0,0.0,5.4718,0.103,1.4689,0.0,0.0,1.8039,3.3253,3.6928,1.879,758.3614,0.0,9.2501,3.6866,2.0783,15.3708,0.0
81,81.0,1.3942,8.8623,5.71,14.15,0.0,0.0,4.3467,0.4016,1.8229,0.0,0.0,1.4529,15.7316,4.2333,2.1999,754.4896,0.0,7.3249,2.3189,1.1479,14.459,0.0
82,82.0,0.8039,9.6496,7.75,16.99,0.0,0.0,2.5844,0.2159,2.1588,0.0,0.0,0.7591,8.3304,5.2767,2.7122,719.4658,0.0,4.4725,4.5061,2.5874,8.9008,0.0
83,83.0,1.2515,8.9623,6.9,8.59,0.0,0.0,4.1884,0.361,2.3005,0.0,0.0,1.2749,13.9641,4.7891,1.3603,724.0375,0.0,7.4388,2.913,1.7943,10.2491,0.0
84,84.0,0.2087,10.204,6.07,12.94,0.0,0.0,4.9641,0.078,1.6419,0.0,0.0,1.6373,2.0452,4.5406,2.0156,754.5563,0.0,8.6617,2.5261,1.3983,8.3962,0.0
85,85.0,0.8935,9.9919,5.19,13.25,0.0,0.0,2.2533,0.2407,1.4215,0.0,0.0,0.6683,8.9422,3.7429,2.1101,726.3228,0.0,3.8701,137.833,85.9341,69.196,0.0
86,86.0,0.3131,10.3618,5.91,11.91,0.0,0.0,2.179,0.0986,1.9358,0.0,0.0,0.6605,3.0213,4.1594,1.8906,724.4909,0.0,3.7779,137.833,85.9341,69.196,0.0
87,87.0,1.0527,10.1496,7.44,8.21,0.0,0.0,3.3278,0.3018,2.3852,0.0,0.0,0.9795,10.3721,5.3412,1.3187,718.941,0.0,5.7451,3.6157,1.8624,9.5334,0.0
88,88.0,1.0689,10.17,6.27,9.27,0.0,0.0,2.0419,0.3052,2.0103,0.0,0.0,0.6707,10.5106,4.5068,1.4909,718.9079,0.0,3.4952,3.6182,1.9239,5.7214,0.0
89,89.0,0.8855,9.4636,5.68,13.68,0.0,0.0,2.1536,0.2387,1.7286,0.0,0.0,0.6926,9.3572,4.0594,2.1794,724.8342,0.0,3.7336,137.833,85.9341,69.196,0.0
90,90.0,1.0301,10.1361,5.15,7.02,0.0,0.0,2.2055,0.2972,1.6932,0.0,0.0,0.6514,10.163,3.6301,1.0984,736.0885,0.0,3.767,2.3605,1.3144,15.4001,0.0
91,91.0,0.8702,10.0685,4.5,15.87,0.0,0.0,4.3757,0.2385,1.5639,0.0,0.0,1.4617,8.6433,3.1372,2.524,722.101,0.0,7.4077,4.1245,2.2271,13.4859,0.0
92,92.0,0.4489,9.9865,7.25,19.77,0.0,0.0,2.4838,0.1318,2.432,0.0,0.0,0.8311,4.4947,4.8883,3.1485,720.1594,0.0,4.2343,4.1245,2.2271,13.4859,0.0
93,93.0,0.8286,9.3991,4.98,10.71,0.0,0.0,2.8538,0.2232,1.601,0.0,0.0,0.9737,8.8156,3.4713,1.7067,721.2181,0.0,4.8872,3.4939,1.8387,12.4093,0.0
94,94.0,0.408,10.1871,6.55,10.7,0.0,0.0,4.3197,0.1268,1.9939,0.0,0.0,1.2159,4.0049,4.575,1.6955,724.7882,0.0,7.4813,137.833,85.9341,69.196,0.0
95,95.0,0.7349,10.0165,6.42,10.67,0.0,0.0,2.1928,0.1984,1.9237,0.0,0.0,0.644,7.337,4.5407,1.6982,723.2811,0.0,3.794,2.9696,1.5497,13.5286,0.0
96,96.0,0.4659,10.1679,5.89,13.04,0.0,0.0,2.0666,0.1337,1.9145,0.0,0.0,0.6917,4.5822,4.3225,2.0211,755.794,0.0,3.5701,3.3384,1.7362,17.9666,0.0
97,97.0,0.578,10.3122,6.45,6.87,0.0,0.0,2.701,0.168,2.2578,0.0,0.0,0.8183,5.6052,4.4949,1.0936,721.6081,0.0,4.6515,3.5301,1.9298,14.8871,0.0
98,98.0,0.6039,10.3165,6.63,7.01,0.0,0.0,2.1089,0.1764,1.8999,0.0,0.0,0.6784,5.8536,4.7757,1.1292,717.2746,0.0,3.6173,2.8864,1.548,12.3938,0.0
99,99.0,0.3485,9.1935,5.15,15.3,0.0,0.0,3.1925,0.1118,1.5021,0.0,0.0,0.9371,3.7911,3.708,2.4499,722.2621,0.0,5.5214,4.089,2.2188,20.7877,0.0
100,100.0,0.5181,10.2777,10.6,12.69,0.0,0.0,2.2831,0.1492,2.8189,0.0,0.0,0.7406,5.0414,7.7206,2.0332,724.4752,0.0,3.8734,4.32,2.3592,10.9671,0.0
101,101.0,1.0108,9.5313,13.65,7.35,0.0,0.0,3.2082,0.2913,3.7494,0.0,0.0,1.0464,10.605,9.8576,1.1861,717.4775,0.0,5.4589,2.4933,1.4934,6.5484,0.0
102,102.0,0.9699,9.5094,4.97,10.99,0.0,0.0,3.8545,0.2785,1.5865,0.0,0.0,1.1213,10.1992,3.4666,1.7374,728.4936,0.0,6.6506,116.2324,76.326,66.455,0.0
103,103.0,0.5897,10.3441,7.3,7.12,0.0,0.0,2.3694,0.1709,1.8985,0.0,0.0,0.7927,5.7004,5.1448,1.1307,724.9507,0.0,4.0307,2.9717,1.8119,15.0423,0.0
104,104.0,0.2618,9.4655,5.64,11.42,0.0,0.0,4.2815,0.0932,1.8784,0.0,0.0,1.4345,2.7661,3.9831,1.8142,725.682,0.0,7.2571,2.8505,1.521,15.3228,0.0
105,105.0,0.3543,10.3933,3.85,10.95,0.0,0.0,2.8887,0.1103,1.273,0.0,0.0,0.8745,3.4092,2.6689,1.7571,715.1313,0.0,4.9618,2.8582,1.5539,14.4851,0.0
106,106.0,0.2641,9.4541,6.78,15.66,0.0,0.0,2.6602,0.0945,2.1173,0.0,0.0,0.8706,2.7939,4.9274,2.4865,729.5193,0.0,4.5041,3.349,1.8173,14.2763,0.0
107,107.0,0.2872,9.8652,5.27,9.84,0.0,0.0,2.9365,0.0851,1.9151,0.0,0.0,0.9873,2.9116,3.6619,1.5716,718.1612,0.0,5.012,2.4813,1.321,15.7964,0.0
108,108.0,0.2697,9.4543,3.48,9.49,0.0,0.0,2.4444,0.0924,1.2255,0.0,0.0,0.7758,2.853,2.3747,1.513,718.251,0.0,4.1837,2.7748,1.5082,12.0111,0.0
109,109.0,0.2608,10.3001,3.69,15.37,0.0,0.0,31.7855,0.0854,1.3289,0.0,0.0,9.6618,2.5319,2.6663,2.4149,737.5661,0.0,56.7734,2.6985,1.4113,14.1369,0.0
110,110.0,4.964,10.7339,6.69,23.14,0.0,0.0,2.4227,1.7788,2.2327,0.0,0.0,0.7245,46.2461,4.7247,3.7092,722.7813,0.0,4.1902,1.9274,1.1494,13.3049,0.0
111,111.0,4.5787,10.077,4.86,10.03,0.0,0.0,3.2859,1.5697,1.6491,0.0,0.0,0.9748,45.4373,3.3546,1.6041,717.193,0.0,5.6305,2.9137,1.5168,12.64,0.0
112,112.0,1.0247,9.4815,6.15,19.98,0.0,0.0,4.0029,0.2971,1.7978,0.0,0.0,1.1508,10.8073,4.1105,3.1761,720.7486,0.0,6.8926,2.983,1.5742,11.2414,0.0
113,113.0,0.3833,10.2926,5.78,17.32,0.0,0.0,2.5798,0.1122,1.7839,0.0,0.0,0.8331,3.7241,4.2988,2.7243,738.7691,0.0,4.3461,3.4224,1.802,7.1763,0.0
114,114.0,0.2235,10.2747,7.56,11.64,0.0,0.0,2.8646,0.0764,2.2102,0.0,0.0,0.9145,2.1751,5.5141,1.8599,722.6056,0.0,4.8337,2.9867,1.561,15.5013,0.0
115,115.0,0.9413,9.4372,6.13,11.67,0.0,0.0,2.664,0.2736,1.8027,0.0,0.0,0.769,9.9739,4.5505,1.8093,757.4377,0.0,4.4952,4.1584,2.1797,12.8759,0.0
116,116.0,0.2947,10.286,8.29,15.37,0.0,0.0,2.3568,0.0885,2.6831,0.0,0.0,0.7311,2.8651,5.9449,2.4286,730.2308,0.0,3.9829,3.4589,1.8132,9.8559,0.0
117,117.0,0.4607,10.4161,5.24,8.31,0.0,0.0,2.0821,0.1348,1.6542,0.0,0.0,0.6881,4.4233,3.6175,1.3193,722.3498,0.0,3.5963,2.7984,1.4504,13.663,0.0
118,118.0,0.377,10.3131,2.24,11.37,0.0,0.0,2.2854,0.1134,0.7474,0.0,0.0,0.6862,3.6558,1.5827,1.798,728.3413,0.0,3.8732,4.0972,2.1597,16.0474,0.0
119,119.0,0.3267,9.1952,6.91,12.8,0.0,0.0,2.3293,0.1116,2.143,0.0,0.0,0.709,3.553,5.1031,1.9841,756.1597,0.0,3.9418,1.9688,1.1157,17.5068,0.0
120,120.0,0.2312,10.3346,5.23,12.28,0.0,0.0,4.9052,0.0786,1.5603,0.0,0.0,1.434,2.2371,3.7424,1.9577,723.9348,0.0,8.788,3.7078,1.9369,10.1049,0.0
121,121.0,0.326,10.2041,5.29,12.16,0.0,0.0,2.899,0.0916,1.6546,0.0,0.0,0.9334,3.1943,3.9654,1.8894,757.4636,0.0,5.0099,2.7725,1.684,8.6565,0.0
122,122.0,0.8435,10.786,5.13,15.0,0.0,0.0,5.1939,0.2397,1.559,0.0,0.0,1.704,7.8207,3.7329,2.3685,734.619,0.0,9.026,3.1054,2.0369,15.2143,0.0
123,123.0,0.4253,10.3635,5.93,14.27,0.0,0.0,4.9091,0.1218,2.0332,0.0,0.0,1.4158,4.1033,4.217,2.243,734.6738,0.0,8.8862,3.3143,1.7913,8.6062,0.0
124,124.0,4.2943,9.5521,9.31,24.98,0.0,0.0,1.8931,1.3493,2.8645,0.0,0.0,0.6511,44.9567,6.6792,3.8958,745.7312,0.0,3.3146,2.9183,1.5902,18.6118,0.0
125,125.0,0.3601,10.1442,6.9,14.72,0.0,0.0,2.9052,0.1198,2.0871,0.0,0.0,0.9797,3.5503,4.904,2.3392,724.8805,0.0,4.9266,3.6026,1.9128,15.4743,0.0
126,126.0,0.321,9.1855,7.04,11.85,0.0,0.0,5.2692,0.1051,1.962,0.0,0.0,1.7077,3.4952,5.4787,1.8562,755.7444,0.0,9.1305,3.3063,1.692,13.0895,0.0
127,127.0,0.3355,10.5682,10.9,23.6,0.0,0.0,1.9704,0.1249,3.3941,0.0,0.0,0.688,3.1751,7.7698,3.6757,746.4299,0.0,3.3972,2.8702,1.6306,11.7957,0.0
128,128.0,0.3854,9.6527,6.6,22.27,0.0,0.0,2.1781,0.1116,2.1069,0.0,0.0,0.6441,3.993,4.6926,3.5788,721.5494,0.0,3.6522,3.0246,1.6184,14.5906,0.0
129,129.0,1.4245,9.6506,6.1,11.53,0.0,0.0,2.1255,0.4261,2.1435,0.0,0.0,0.7269,14.7607,4.2694,1.8018,735.1052,0.0,3.8037,3.1047,1.7921,12.1324,0.0
