,Unnamed: 0,F153,F159,F198,F200,F201,F21,F26,F272,F319,F32,F33,F334,F34,F35,F39,F426,F439,F470,F471,F474,F476,F495,F524
35,35.0,0.0126,531.0,0.313,11.75,6.02,-5548.0,2.0092,46.4432,7.133,85.2487,10.0686,0.0874,50.6755,64.3085,117.7568,1.3012,36.227,2.9163,7.8205,15.4172,11.4604,6.3759,4.8923
36,36.0,0.0086,5448.0,0.746,16.75,6.62,-1362.0,0.4407,41.2456,5.7967,85.6039,8.7588,0.2558,50.179,64.1668,118.6704,0.8767,39.172,7.6636,7.4159,33.3534,15.7751,7.2897,6.4223
37,37.0,0.0154,617.0,1.249,17.24,6.9,-5452.75,1.9728,77.8077,5.8909,85.6039,8.7588,0.3536,50.179,64.1668,118.6704,1.6027,48.3471,12.1198,11.3992,19.4709,19.67,5.9014,8.4774
38,38.0,0.0063,73.0,0.912,19.62,3.35,-5493.75,2.0135,37.4513,6.4567,84.7569,8.659,0.3398,50.153,64.1114,118.6128,0.6467,72.8102,9.1568,8.1255,37.7319,32.3644,5.4444,4.4824
39,39.0,0.0149,168.0,0.284,25.1,9.39,-5525.5,2.0092,48.1604,6.1395,101.9072,23.3453,0.0736,57.6663,74.7081,126.5662,1.5383,62.4906,2.6982,5.9709,52.1369,13.8372,12.3156,7.2761
40,40.0,0.0125,1848.0,0.796,17.38,3.93,-5085.25,1.9875,34.7118,5.9578,84.6216,9.1585,0.3098,50.3138,64.4425,122.4028,1.2867,104.7136,8.1671,5.9343,32.0013,20.4473,7.3315,4.8304
41,41.0,0.0186,72.0,0.402,18.21,6.14,-5626.25,1.987,31.6584,10.1341,85.0724,8.6074,0.1103,50.5378,64.0172,117.8088,1.9298,45.1302,3.7213,7.3418,26.2688,15.7423,3.9893,5.2913
42,42.0,0.0171,2867.0,0.192,12.85,4.94,-6033.25,1.97,16.9423,6.8452,85.6626,9.1502,0.0671,50.2288,64.1871,119.3708,1.7789,70.2063,1.7599,7.9705,19.9216,11.7079,6.3834,4.4178
43,43.0,0.0136,723.0,0.793,16.06,15.93,-5415.75,2.0063,70.6028,5.915,84.1874,10.6376,0.2551,50.6882,64.7132,118.8356,1.3993,78.0214,8.3426,5.87,56.7309,21.6098,6.4931,4.0099
44,44.0,0.0173,7569.0,0.323,23.16,3.49,-4731.0,1.3322,40.326,10.6642,84.6216,9.1585,0.0986,50.3138,64.4425,122.4028,1.7925,59.2683,3.0055,7.8156,19.4796,29.2477,3.7725,6.9621
45,45.0,0.0168,299.0,0.449,21.82,10.53,-5546.5,1.9992,49.3298,10.1112,84.1874,10.6376,0.123,50.6882,64.7132,118.8356,1.7323,66.6494,4.0825,11.8626,19.0472,26.1277,3.3906,6.9295
46,46.0,0.0129,7600.0,0.346,21.91,6.81,-3281.0,0.8885,56.5652,11.0873,84.0432,8.7487,0.0923,50.2849,64.3732,118.7784,1.3234,51.2528,3.2174,7.7587,25.4083,9.78,4.074,6.6657
47,47.0,0.0213,7653.0,1.019,18.15,9.47,-4667.25,1.3305,60.986,6.7794,85.0922,9.2007,0.2889,50.1899,64.2199,118.2566,2.2069,74.359,10.0267,4.7941,49.7653,18.4388,5.1871,4.5069
48,48.0,0.0145,109.0,0.28,21.28,9.5,-5300.25,2.0105,85.0263,5.6056,101.9072,23.3453,0.098,57.6663,74.7081,126.5662,1.4986,43.75,2.6712,4.1046,69.586,36.8704,4.8295,6.3972
49,49.0,0.0148,760.0,0.288,12.39,6.68,-5553.0,2.0433,45.3961,10.5917,84.3585,8.7495,0.0907,50.4362,64.2234,117.7078,1.525,93.6073,2.7678,7.4755,34.1144,27.3414,5.3171,4.6927
50,50.0,0.0159,157.0,0.373,22.08,5.09,-5394.0,2.0032,64.5401,10.5646,101.9072,23.3453,0.0951,57.6663,74.7081,126.5662,1.6462,63.2258,3.5637,8.9455,37.7838,8.4811,7.0552,7.224
51,51.0,0.0183,5391.0,0.407,13.48,5.57,-2575.5,0.892,57.1555,6.5515,84.0432,8.7487,0.1107,50.2849,64.3732,118.7784,1.8979,40.5356,3.7849,7.164,25.0882,10.2747,5.2589,7.443
52,52.0,0.0146,785.0,0.165,24.07,18.99,-5175.5,2.0,53.6918,5.1302,84.1874,10.6376,0.0528,50.6882,64.7132,118.8356,1.5114,37.2781,1.4896,12.9409,43.0024,53.9517,8.5729,4.5557
53,53.0,0.0117,444.0,0.324,8.34,5.62,-5545.0,1.9772,22.0568,6.7101,85.6591,8.8249,0.093,50.3878,64.1536,118.3554,1.2029,63.0,3.027,7.7033,19.8739,15.2503,6.4246,7.3053
54,54.0,0.0123,7657.0,0.313,15.21,9.7,-4520.75,1.3458,59.5037,10.5399,85.1197,9.1784,0.1013,50.2165,64.229,118.771,1.2708,39.6923,2.9013,8.2032,44.7657,20.0194,6.6804,7.5376
55,55.0,0.0196,540.0,0.338,17.58,9.27,-5683.75,1.9597,68.0487,10.6396,85.1197,9.1784,0.0924,50.2165,64.229,118.771,2.0277,50.0,3.2193,7.1568,39.1888,13.6513,6.0096,4.4039
56,56.0,0.0116,682.0,0.328,13.79,4.99,-5460.5,2.031,52.3961,6.5963,85.794,8.7599,0.1024,50.3802,63.9715,117.6882,1.1893,73.262,3.0952,4.2375,25.6694,12.7209,4.4944,5.2615
57,57.0,0.0165,5475.0,0.175,26.55,13.67,-1368.75,0.4425,49.0014,10.5768,84.0432,8.7487,0.0556,50.2849,64.3732,118.7784,1.6997,53.4181,1.587,15.5496,25.4693,26.5792,5.676,5.6104
58,58.0,0.0145,7709.0,1.322,13.73,6.08,-4490.5,1.3438,52.8454,6.2104,85.1197,9.1784,0.3653,50.2165,64.229,118.771,1.4902,35.7585,13.0074,8.8195,19.135,25.6666,7.1023,4.1913
59,59.0,0.0146,817.0,0.269,16.31,5.21,-5433.25,2.0187,45.5751,10.4884,84.9052,9.7997,0.0848,50.6596,64.2828,118.1188,1.4987,71.2521,2.5446,7.7944,28.3775,11.4323,6.3872,7.4224
60,60.0,0.0095,571.0,0.278,21.67,8.16,-5493.75,1.9828,74.4596,10.3384,84.1874,10.6376,0.0859,50.6882,64.7132,118.8356,0.9742,110.4496,2.5436,12.9861,23.841,22.1802,6.8133,5.452
61,61.0,0.0076,5477.0,0.839,19.73,12.86,-2597.0,0.891,53.8764,5.8927,85.6039,8.7588,0.2402,50.179,64.1668,118.6704,0.7779,47.4922,8.6976,4.5435,46.9959,17.365,6.6954,6.8878
62,62.0,0.0037,662.0,0.293,11.61,3.75,-5507.5,1.9905,56.7312,5.727,85.794,8.7599,0.0917,50.3802,63.9715,117.6882,0.376,68.0747,2.7431,7.5116,15.8463,11.9686,5.2357,4.0078
63,63.0,0.0169,1213.0,0.191,19.75,4.28,-5667.5,2.012,72.0968,10.8535,85.8965,9.2405,0.0502,50.157,64.0502,119.2274,1.7486,52.6129,1.8023,7.7593,23.4308,9.0669,7.7567,8.7073
64,64.0,0.0079,599.0,0.366,6.73,4.49,-5501.75,2.0062,62.6897,5.1001,84.3585,8.7495,0.1015,50.4362,64.2234,117.7078,0.8118,59.8039,3.3468,10.0731,9.349,9.6388,7.0497,4.7819
65,65.0,0.0076,984.0,0.378,14.53,6.08,-5382.5,2.01,41.2671,6.4213,84.3585,8.7495,0.1131,50.4362,64.2234,117.7078,0.7839,79.9699,3.5232,6.2039,20.8641,12.2365,5.0435,9.0887
66,66.0,0.0073,148.0,0.368,9.52,3.3,-5659.25,2.0077,47.8409,5.4362,85.0856,8.6324,0.116,50.0906,64.1658,117.802,0.7478,37.2955,3.4916,5.4215,14.249,15.1961,4.4374,3.8713
67,67.0,0.0107,489.0,0.188,20.42,7.02,-5349.0,1.9663,50.8324,7.1443,83.8746,9.2658,0.0565,50.2261,64.3328,119.104,1.1005,14.1206,1.7526,6.2822,26.6698,35.7037,8.6574,9.406
68,68.0,0.0097,548.0,0.936,18.45,14.93,-5597.0,1.9752,60.4413,6.1475,83.9737,8.8033,0.325,50.3329,64.485,118.6328,0.9988,57.3302,9.4569,4.9918,52.8369,10.402,5.1871,7.4778
69,69.0,0.0169,833.0,0.478,15.6,2.39,-5440.5,2.0045,52.244,6.3737,85.794,8.7599,0.1466,50.3802,63.9715,117.6882,1.7578,102.4309,4.5225,5.24,21.2516,24.9216,5.8405,4.7336
70,70.0,0.0183,594.0,0.345,10.41,3.93,-5614.25,1.9745,69.4497,5.2038,85.324,9.6272,0.1285,50.4945,64.1596,117.796,1.9036,66.0987,3.2784,6.3911,17.605,11.9669,3.5221,8.7399
71,71.0,0.0087,308.0,0.333,19.5,4.31,-5534.5,2.018,45.3288,6.4765,85.794,8.7599,0.1019,50.3802,63.9715,117.6882,0.8943,45.8404,3.1888,6.1553,25.7066,36.503,7.7567,6.321
72,72.0,0.0117,5684.0,0.528,13.24,3.75,-2649.25,0.8882,38.8906,6.0925,84.0432,8.7487,0.1469,50.2849,64.3732,118.7784,1.1992,42.2364,4.8942,7.2089,23.1843,12.3478,6.4931,3.9075
73,73.0,0.0108,268.0,0.332,19.73,5.12,-5554.25,2.021,43.6834,10.0825,84.7166,8.8388,0.108,50.3916,64.1968,111.7128,1.1099,33.5404,3.1065,10.1134,27.9029,8.3426,6.7595,4.5129
74,74.0,0.0153,663.0,0.488,14.79,5.61,-6566.0,1.8762,42.234,4.3992,85.2575,9.094,0.1498,50.249,64.235,119.6672,1.5858,48.8185,4.6044,5.0228,30.9357,32.3052,5.7871,3.8602
75,75.0,0.0109,386.0,0.349,10.46,3.32,-5613.75,1.99,55.9162,5.7594,85.6039,8.7588,0.1046,50.179,64.1668,118.6704,1.1157,55.6974,3.2965,8.7825,11.5519,11.7465,4.7924,4.3754
76,76.0,0.0165,502.0,0.351,9.16,16.39,-6546.5,1.8822,41.9652,4.654,85.2575,9.094,0.1123,50.249,64.235,119.6672,1.7021,47.7348,3.3258,6.3593,75.6008,13.5315,7.5727,7.9544
77,77.0,0.0154,423.0,0.988,22.53,15.49,-5652.0,1.9457,46.4238,6.4111,85.1197,9.1784,0.3475,50.2165,64.229,118.771,1.5905,29.86,10.053,5.7722,58.2841,22.5208,4.505,8.6413
78,78.0,0.0113,2170.0,0.954,16.41,4.53,-6656.75,1.7797,37.8865,6.0475,84.6216,9.1585,0.2963,50.3138,64.4425,122.4028,1.1592,108.7701,9.6957,5.6422,19.1428,18.3156,5.5586,3.7429
79,79.0,0.0226,504.0,1.243,11.72,4.27,-5681.5,1.9998,61.908,6.6742,84.3585,8.7495,0.3494,50.4362,64.2234,117.7078,2.3661,86.6632,11.7693,8.5027,28.8153,23.3872,4.8295,9.2274
80,80.0,0.0093,311.0,0.847,17.57,16.99,-5537.5,1.9648,51.0084,5.8072,85.1197,9.1784,0.2756,50.2165,64.229,118.771,0.9558,29.9421,8.6485,7.3866,52.7055,40.8689,9.778,9.2501
81,81.0,0.0092,378.0,1.342,19.08,14.04,-5349.25,2.0063,42.1024,6.0691,84.1874,10.6376,0.3832,50.6882,64.7132,118.8356,0.9416,42.2941,14.1335,4.0934,53.3957,25.1927,4.654,7.3249
82,82.0,0.0122,424.0,0.256,22.69,7.5,-5495.75,1.9688,52.1789,9.9304,83.8746,9.2658,0.074,50.2261,64.3328,119.104,1.2543,55.1506,2.3519,9.2721,25.3071,18.9788,9.1197,4.4725
83,83.0,0.011,527.0,0.406,17.17,7.31,-6518.25,1.8967,35.9635,4.7173,85.4579,8.6667,0.1284,50.2987,64.2122,117.955,1.129,58.6517,3.9708,3.1065,49.0923,33.5899,5.0921,7.4388
84,84.0,0.0245,7791.0,0.506,14.89,5.94,-4556.0,1.3362,46.4735,5.9844,85.1197,9.1784,0.1762,50.2165,64.229,118.771,2.5063,21.4286,5.0212,6.3465,20.2083,15.8872,5.836,8.6617
85,85.0,0.0161,530.0,0.666,8.71,4.62,-5432.5,2.0345,13.3636,5.4033,84.3324,8.9336,0.1831,50.5527,64.2529,116.7828,1.659,31.8341,6.2146,9.9812,23.6945,7.348,5.5013,3.8701
86,86.0,0.0202,745.0,0.197,12.45,9.16,-5677.75,1.9985,18.604,4.9523,84.8723,8.755,0.0626,50.3957,64.0838,117.326,2.0999,57.9592,1.8058,7.1093,25.6771,14.5221,4.4588,3.7779
87,87.0,0.0122,1657.0,0.986,5.07,9.36,-6174.5,1.881,11.3213,2.4657,84.8178,8.7947,0.3105,50.2004,63.9947,118.7708,1.2446,54.0,9.5157,12.0556,72.3139,15.2609,7.3331,5.7451
88,88.0,0.0137,296.0,1.149,4.94,5.49,-5367.75,2.0093,10.0285,1.8788,84.8178,8.7947,0.3223,50.2004,63.9947,118.7708,1.4003,31.8998,11.1861,12.2571,40.5349,18.3601,2.8928,3.4952
89,89.0,0.0133,531.0,0.45,7.12,5.86,-5393.25,1.9872,29.6075,5.171,85.6591,8.8249,0.1278,50.3878,64.1536,118.3554,1.3796,56.3177,4.142,11.9746,13.8468,13.502,5.166,3.7336
90,90.0,0.0133,578.0,1.048,7.13,5.44,-5594.25,1.8807,36.2012,1.6574,85.4507,9.3851,0.3008,50.4554,63.8228,118.528,1.3617,38.9892,10.3196,12.9399,33.6344,14.6237,7.7547,3.767
91,91.0,0.0142,5703.0,0.461,15.91,2.88,-2665.5,0.8912,28.6872,6.6879,85.0716,8.6942,0.1365,50.5287,64.3976,118.0626,1.4659,54.1997,4.4261,5.1356,19.3648,11.5465,7.0844,7.4077
92,92.0,0.0135,527.0,0.429,17.45,10.24,-5527.0,1.984,13.0903,10.4385,85.6626,9.1502,0.1132,50.2288,64.1871,119.3708,1.3959,40.5579,4.0658,8.5949,55.4771,6.0868,6.3834,4.2343
93,93.0,0.0134,7716.0,0.266,13.22,9.81,-4695.25,1.3355,47.1104,5.1677,84.7166,8.8388,0.0733,50.3916,64.1968,111.7128,1.3778,39.1304,2.4099,8.1614,26.5079,8.7293,6.7595,4.8872
94,94.0,0.0167,663.0,0.437,7.29,6.67,-5491.5,1.9898,27.6841,5.2074,85.0716,8.6942,0.1232,50.5287,64.3976,118.0626,1.7213,93.0118,4.0185,13.5601,16.3471,7.8537,4.4944,7.4813
95,95.0,0.0187,619.0,0.245,9.5,7.81,-5463.25,2.0063,21.3097,4.8712,84.9052,9.7997,0.0794,50.6596,64.2828,118.1188,1.9383,66.8984,2.2287,8.7713,21.7283,11.4258,5.3832,3.794
96,96.0,0.0122,5480.0,1.033,15.66,7.92,-2609.25,0.8925,55.5934,5.9438,85.6039,8.7588,0.3593,50.179,64.1668,118.6704,1.2508,49.2847,10.569,4.5481,31.2499,36.4566,5.9014,3.5701
97,97.0,0.0143,167.0,0.454,4.01,9.33,-5497.75,2.0083,30.3511,1.7279,84.8178,8.7947,0.1433,50.2004,63.9947,118.7708,1.4744,62.9255,4.4178,9.0952,66.6321,39.095,10.8578,4.6515
98,98.0,0.0141,592.0,0.392,9.74,9.79,-5522.25,1.87,69.6508,2.0899,85.4507,9.3851,0.1287,50.4554,63.8228,118.528,1.4541,27.2727,3.7659,10.4369,58.2981,20.4777,7.7547,3.6173
99,99.0,0.0049,6011.0,0.328,30.17,20.6,-1502.75,0.4368,61.8203,6.3227,85.0922,9.2007,0.0862,50.1899,64.2199,118.2566,0.5029,53.411,2.9706,17.2001,45.3306,43.7804,5.8405,5.5214
100,100.0,0.0142,352.0,0.882,3.57,10.66,-5443.0,1.9935,17.873,2.5953,84.8178,8.7947,0.2519,50.2004,63.9947,118.7708,1.458,38.8052,8.6167,9.9532,51.9971,28.6441,2.8928,3.8734
101,101.0,0.0267,336.0,0.505,4.26,8.18,-5668.0,1.853,38.8917,2.3025,85.4507,9.3851,0.1506,50.4554,63.8228,118.528,2.7999,40.4557,4.8772,11.6262,74.713,13.3243,8.4971,5.4589
102,102.0,0.0216,168.0,0.415,14.48,4.22,-6274.75,1.8835,41.299,5.2036,85.4138,10.9634,0.1445,50.3803,64.2949,118.8972,2.2588,46.6321,3.9783,6.9812,22.3427,9.8885,8.4413,6.6506
103,103.0,0.0138,552.0,0.851,6.07,7.61,-5609.5,1.8678,42.0662,1.8371,85.4507,9.3851,0.2712,50.4554,63.8228,118.528,1.4215,41.4859,8.3126,11.7576,36.3482,11.5089,7.6193,4.0307
104,104.0,0.0122,302.0,0.505,13.2,7.93,-6487.25,1.8753,42.0083,5.1015,85.2575,9.094,0.1478,50.249,64.235,119.6672,1.2562,42.364,4.9785,3.6042,52.1988,49.8401,8.151,7.2571
105,105.0,0.022,623.0,0.881,15.55,4.24,-6361.5,1.8895,60.7583,4.9924,85.4138,10.9634,0.2588,50.3803,64.2949,118.8972,2.3024,43.9627,8.4746,8.4532,26.8126,21.0087,5.6251,4.9618
106,106.0,0.0123,392.0,0.271,20.52,6.69,-6514.0,1.882,47.0601,6.6302,84.5407,9.1638,0.1009,50.1709,64.2232,119.7114,1.2645,36.9981,2.6114,3.5491,37.6059,7.2774,8.151,4.5041
107,107.0,0.0194,532.0,0.315,16.04,4.77,-6541.25,1.8858,54.4456,4.3593,85.2575,9.094,0.0952,50.249,64.235,119.6672,2.0198,38.9498,2.9504,8.2759,18.0467,10.1317,5.2669,5.012
108,108.0,0.0129,1270.0,0.382,16.17,6.78,-5147.25,1.983,42.8075,4.2394,85.2575,9.094,0.1033,50.249,64.235,119.6672,1.331,80.8511,3.6777,3.6091,42.5125,40.7596,3.5013,4.1837
109,109.0,0.0195,385.0,0.57,15.9,7.62,-6485.5,1.888,42.2246,6.0052,84.5407,9.1638,0.1915,50.1709,64.2232,119.7114,2.0322,41.9152,5.589,4.2878,31.5931,21.7446,8.9716,56.7734
110,110.0,0.0111,702.0,0.333,17.18,9.69,-5409.0,1.9937,53.6418,10.5455,84.3324,8.9336,0.1029,50.5527,64.2529,116.7828,1.1393,47.3464,3.167,7.5951,39.7404,8.8018,6.7926,4.1902
111,111.0,0.0109,389.0,0.363,11.99,7.72,-6463.0,1.8718,25.4458,4.4095,85.4579,8.6667,0.0924,50.2987,64.2122,117.955,1.1213,42.9748,3.5214,2.8048,60.8267,36.3109,10.2288,5.6305
112,112.0,0.0175,259.0,0.327,21.71,7.53,-5301.0,1.9775,52.3545,10.0152,83.8746,9.2658,0.1047,50.2261,64.3328,119.104,1.8212,45.0,3.0719,7.8631,30.1132,21.928,3.5013,6.8926
113,113.0,0.1879,203.0,0.244,16.99,8.53,-5401.75,2.019,41.1768,6.2614,84.3585,8.7495,0.0797,50.4362,64.2234,117.7078,19.7458,63.8165,2.3444,4.3325,25.9043,10.1527,5.166,4.3461
114,114.0,0.0068,674.0,0.42,15.24,5.19,-6470.75,1.8893,52.8754,4.7975,85.4138,10.9634,0.1377,50.3803,64.2949,118.8972,0.6964,41.8058,4.0454,8.9105,23.6427,46.3803,9.0966,4.8337
115,115.0,0.0122,692.0,1.127,17.62,11.59,-5432.75,1.9748,54.3442,6.1942,85.8965,9.2405,0.3187,50.157,64.0502,119.2274,1.2543,42.8223,11.506,5.7471,60.3792,26.6958,7.0552,4.4952
116,116.0,0.0193,3597.0,0.569,14.62,5.32,-5856.75,1.8845,79.1147,5.6058,84.5407,9.1638,0.1734,50.1709,64.2232,119.7114,2.0111,24.878,5.5471,5.0632,36.4654,7.7077,7.6599,3.9829
117,117.0,0.0203,793.0,0.739,13.73,7.87,-5657.75,1.97,23.2658,4.6159,85.2575,9.094,0.2019,50.249,64.235,119.6672,2.1082,40.412,7.151,2.454,47.0653,15.4779,6.9956,3.5963
118,118.0,0.0245,717.0,0.501,11.37,7.67,-5560.75,1.9817,58.0494,4.893,83.8746,9.2658,0.1461,50.2261,64.3328,119.104,2.5645,42.8354,4.8603,4.6301,30.6754,10.5064,5.4376,3.8732
