,Unnamed: 0,F140,F152,F153,F159,F16,F185,F187,F198,F200,F201,F206,F209,F21,F252,F26,F272,F273,F287,F319,F32,F321,F33,F334,F337,F34,F342,F347,F35,F39,F390,F411,F413,F425,F426,F439,F457,F459,F46,F470,F471,F474,F476,F478,F495,F524,F574,F576,F577,F74
10,10.0,0.1151,0.4291,0.0183,5655.0,10.2918,3.04,18.95,0.477,17.24,4.07,0.0,0.0,-2727.5,2.6472,0.8847,50.6152,18.0919,0.1211,6.2918,84.7569,0.8803,8.659,0.1202,1.0726,50.153,0.0,0.0,64.1114,118.6128,0.8859,2.419,8.7145,4.1698,1.8942,70.0671,2.2007,3.0341,723.2513,4.4961,9.4525,39.6661,24.5336,0.0,3.9271,4.5221,3.3618,1.7983,14.5507,0.0
11,11.0,0.2773,0.4533,0.0167,2352.0,10.113,7.17,23.08,0.746,13.78,2.08,0.0,0.0,-6097.75,3.064,1.7695,50.3528,16.6372,0.1335,10.6289,85.4274,1.7992,9.6234,0.2879,0.6579,50.4893,0.0,0.0,63.9315,117.419,0.9904,2.3541,27.8475,4.4827,1.725,34.9272,5.2408,3.5979,749.2445,7.6268,11.0886,31.0008,51.7796,0.0,6.3993,5.1428,2.8659,1.4501,12.8058,0.0
12,12.0,0.1151,0.5815,0.0186,971.0,9.5007,8.33,13.64,0.747,17.96,7.11,0.0,0.0,-5521.25,3.4391,2.0107,24.8685,18.0919,0.1709,6.8271,84.9105,2.3822,8.6789,0.2175,1.9911,50.51,0.0,0.0,64.1125,117.0442,1.1623,2.419,8.7145,6.1204,1.9245,49.9301,6.0288,2.136,740.1569,7.6114,7.7847,45.2117,24.1399,0.0,3.7725,5.8568,2.6544,1.8767,6.5577,0.0
13,13.0,0.1355,0.3514,0.0341,2413.0,10.4109,5.02,14.76,0.279,12.63,3.57,0.0,0.0,-6069.75,3.179,1.7822,24.3169,17.5461,0.1035,6.2531,83.7998,1.309,8.7977,0.0816,1.1474,50.4285,0.0,0.0,64.202,116.536,0.9906,2.4171,9.2374,3.3751,3.5863,62.2874,3.638,2.3752,723.0309,2.645,9.5918,13.9898,6.6225,0.0,7.5967,5.3373,3.441,1.8622,12.4598,0.0
14,14.0,0.1782,0.8038,0.014,5726.0,9.7825,9.59,19.25,0.491,17.34,3.91,0.0,0.0,-1431.5,3.8517,0.439,65.5491,22.6271,0.2881,6.6228,85.0922,2.8768,9.2007,0.1525,1.2491,50.1899,0.0,0.0,64.2199,118.2566,1.0806,2.8814,13.7861,8.2173,1.4406,54.2108,6.9999,3.0576,732.4237,4.699,6.1078,22.3212,15.768,0.0,8.5372,6.8096,3.7724,2.144,16.1875,0.0
15,15.0,0.1782,0.6427,0.0105,5803.0,9.5917,5.36,18.32,0.613,10.4,3.1,0.0,0.0,-2694.75,4.8847,0.8882,50.9188,22.6271,0.2181,6.8385,85.0922,2.0794,9.2007,0.1685,1.0242,50.1899,0.0,0.0,64.2199,118.2566,1.4037,2.8814,13.7861,6.7005,1.0833,60.9836,3.9388,2.9078,734.8382,6.0357,6.137,23.2655,21.0437,0.0,7.8485,8.5439,2.8829,1.5911,13.1895,0.0
16,16.0,0.6265,0.3917,0.0137,601.0,9.1999,6.87,17.15,1.183,15.7,2.59,0.0,0.0,-5757.25,2.7255,2.0055,35.7726,17.4686,0.1247,7.0729,86.3472,1.7471,9.1283,0.356,0.6749,50.1869,0.0,0.0,64.0917,122.0886,0.8207,2.1143,44.9094,4.2581,1.4197,48.6739,4.9191,2.644,755.3431,11.5505,7.5067,13.101,20.9306,0.0,10.5708,4.6061,2.766,1.5675,11.1971,0.0
17,17.0,0.6265,0.455,0.0126,1653.0,9.4147,3.21,15.2,1.148,11.45,4.9,0.0,0.0,-5612.5,2.9492,1.7835,55.7701,17.4686,0.1376,7.2303,85.0465,1.0938,8.5762,0.3114,1.4931,50.0595,0.0,0.0,63.8294,117.7632,0.8995,2.1143,44.9094,4.8332,1.3003,53.6558,2.2909,2.3405,756.6351,11.4517,6.2616,14.7892,10.2185,0.0,6.7594,5.0285,3.5183,1.9291,22.148,0.0
18,18.0,0.3067,0.4062,0.0142,1036.0,9.847,4.14,16.88,0.44,17.69,5.3,0.0,0.0,-5575.25,2.793,1.9803,9.3474,29.3685,0.1433,6.9173,85.3498,1.4088,8.6397,0.1316,1.7522,50.6324,0.0,0.0,64.1999,117.674,0.9709,3.3841,25.4663,4.1254,1.4616,62.1419,2.9207,2.6103,749.7516,4.3102,7.2194,25.9254,13.6881,0.0,11.2863,4.6954,2.3022,1.1273,13.7941,0.0
19,19.0,0.4712,0.3257,0.0146,906.0,10.1924,6.66,13.16,0.89,10.43,6.25,0.0,0.0,-5469.25,2.3663,2.0157,39.0394,18.0418,0.0976,6.7628,84.9105,1.8735,8.6789,0.2498,1.7887,50.51,0.0,0.0,64.1125,117.0442,0.7871,2.1369,30.3788,3.1952,1.5012,60.4273,4.9429,2.0796,734.4697,8.6183,7.952,34.3784,32.1569,0.0,4.4588,4.0018,2.2358,1.4608,13.6183,0.0
20,20.0,-55.693120049561,0.4476,0.017,227.0,9.7659,6.88,16.41,0.9,11.21,4.46,0.0,0.0,-5441.0,3.36,1.97,28.1733,20.91898262458414,0.1466,6.6868,85.7939,2.5039,8.6572,0.2957,1.5802,50.2073,0.0,0.0,63.9008,117.2894,1.1235,2.7800072735497547,21.44821696223815,4.583,1.7554,76.7614,5.0545,2.5459,753.9565,9.0538,6.2285,23.0478,24.9484,0.0,9.1465,5.7122,2.4529,1.2913,13.5856,0.0
21,21.0,0.3067,0.3507,0.0167,1001.0,10.3503,6.16,15.4,0.863,17.51,5.9,0.0,0.0,-5434.0,3.447,2.0095,28.9209,29.3685,0.1078,7.1292,85.3498,2.0232,8.6397,0.2963,1.8395,50.6324,0.0,0.0,64.1999,117.674,1.1569,3.3841,25.4663,3.3881,1.7251,56.3006,4.5117,2.3859,755.3269,8.5785,5.985,23.945,16.926,0.0,6.5723,5.8732,2.8482,1.5279,9.9804,0.0
22,22.0,0.3067,0.2777,0.0142,668.0,10.3647,6.37,17.45,1.069,16.13,5.81,0.0,0.0,-5310.25,3.2127,1.9715,17.1354,29.3685,0.0829,6.8796,85.3498,1.7676,8.6397,0.2906,1.8127,50.6324,0.0,0.0,64.1999,117.674,1.101,3.3841,25.4663,2.6793,1.4638,83.3478,4.4208,2.6806,754.3495,10.6502,5.0569,25.8266,25.8499,0.0,6.8893,5.451,2.6843,1.4181,12.6981,0.0
23,23.0,0.1604,2.0334,0.0149,5665.0,8.8407,4.54,16.0,0.893,16.72,3.34,0.0,0.0,-2664.25,3.8766,0.8915,47.7554,25.2088,0.5969,6.9612,85.0922,1.5733,9.2007,0.244,0.9001,50.1899,0.0,0.0,64.2199,118.2566,1.1806,3.6059,11.4366,23.0001,1.5379,62.4185,3.3049,2.5232,737.734,8.7833,5.8277,18.9409,36.3944,0.0,4.7641,6.8185,3.1106,1.6343,8.4505,0.0
24,24.0,0.1161,0.5142,0.0037,5366.0,9.5066,6.21,15.55,0.238,11.37,3.32,0.0,0.0,-2681.75,3.2675,0.8862,46.0845,25.652,0.1881,6.1235,84.0432,1.614,8.7487,0.0642,1.2514,50.2849,0.0,0.0,64.3732,118.7784,1.0785,3.0582,9.1854,5.4093,0.3813,46.4183,4.4525,2.4512,736.8018,2.2761,10.3624,16.1328,11.4665,0.0,6.2682,5.5411,2.6206,1.3383,18.8142,0.0
25,25.0,0.6241,0.3428,0.0214,5913.0,9.747,6.39,12.16,0.385,11.35,4.84,0.0,0.0,-2706.0,2.6365,0.8895,54.2649,17.2584,0.1019,6.4657,85.0716,1.9739,8.6942,0.1225,1.4067,50.5287,0.0,0.0,64.3976,118.0626,0.8916,2.4411,41.8356,3.5169,2.24,38.5714,4.3949,1.9197,726.0669,3.6417,4.8438,19.6543,11.383,0.0,7.769,4.4577,2.9887,1.7367,12.4036,0.0
26,26.0,0.6241,0.388,0.0213,542.0,9.8198,3.7,25.5,0.216,19.84,5.3,0.0,0.0,-5611.75,2.3593,2.0137,62.5772,17.2584,0.1158,10.1805,84.9052,1.1113,9.7997,0.0696,1.6294,50.6596,0.0,0.0,64.2828,118.1188,0.6982,2.4411,41.8356,3.9517,2.2223,68.4783,2.5787,4.0898,720.3336,1.9859,7.1962,23.4105,15.2357,0.0,5.925,4.0167,1.7463,1.018,18.2982,0.0
27,27.0,0.7873,3.4114,0.0123,455.0,10.215,5.92,16.31,0.726,13.36,6.52,0.0,0.0,-5369.0,4.9397,2.0017,44.5725,20.7635,1.2112,5.722,84.3324,1.9211,8.9336,0.2409,2.0018,50.5527,0.0,0.0,64.2529,116.7828,1.57,3.0049,58.1134,33.3963,1.2655,34.8178,4.4485,2.5505,751.0793,7.5001,6.4521,35.6874,15.6314,0.0,10.5479,8.4235,3.3671,1.7732,10.2289,0.0
28,28.0,0.28,0.4089,0.0214,724.0,9.7745,6.21,13.77,0.866,14.76,6.34,0.0,0.0,-5217.5,2.381,1.802,68.2654,21.5914,0.1208,5.6101,84.7166,1.5014,8.8388,0.2944,2.1842,50.3916,0.0,0.0,64.1968,111.7128,0.6951,2.7756,32.5015,4.1837,2.2383,35.7579,4.6463,2.1406,755.6347,9.0132,7.2863,27.0808,25.4735,0.0,7.182,4.1013,2.5665,1.4217,19.4047,0.0
29,29.0,0.2041,0.9961,0.017,252.0,8.6625,7.22,17.27,1.007,9.73,6.59,0.0,0.0,-5416.0,2.6898,1.9817,55.1959,24.2952,0.3014,6.1586,85.6039,2.3151,8.7588,0.2772,1.6941,50.179,0.0,0.0,64.1668,118.6704,0.9245,3.0729,15.6991,11.4986,1.7651,54.2735,5.4124,2.7445,739.2852,9.8157,11.4559,23.6173,15.6131,0.0,5.9014,4.752,3.1722,1.643,18.1292,0.0
30,30.0,0.1292,0.3989,0.019,535.0,9.8631,5.18,16.59,0.361,18.72,8.94,0.0,0.0,-5500.5,2.9025,1.9888,70.0541,22.8867,0.1221,6.4394,101.9072,1.6487,23.3453,0.1288,2.5845,57.6663,0.0,0.0,74.7081,126.5662,0.9439,2.9065,10.2758,4.0441,1.9758,114.8801,3.663,2.6381,723.714,3.4838,6.7643,81.9273,20.2372,0.0,3.2523,4.937,2.6984,1.4574,12.0275,0.0
31,31.0,0.2041,0.446,0.0213,310.0,9.75,7.96,15.68,0.937,12.78,5.43,0.0,0.0,-5497.75,2.1927,1.9773,64.7419,24.2952,0.1336,6.6218,83.9737,2.4309,8.8033,0.2914,1.5435,50.3329,0.0,0.0,64.485,118.6328,0.7156,3.0729,15.6991,4.5748,2.2207,32.472,5.8911,2.4867,739.5598,9.1041,11.5871,13.0432,11.957,0.0,5.676,3.9184,2.9829,1.4909,9.6586,0.0
32,32.0,0.0896,1.4992,0.0117,671.0,9.7447,6.49,15.65,0.236,20.02,8.69,0.0,0.0,-5507.75,4.2653,1.9745,17.066,27.2402,0.4608,6.6352,86.3472,1.7739,9.1283,0.0766,2.1732,50.1869,0.0,0.0,64.0917,122.0886,1.4086,3.345,6.881,15.3844,1.205,47.012,4.4997,2.4771,726.2285,2.1856,5.2224,33.4064,12.268,0.0,5.2824,7.2939,3.5623,2.024,11.551,0.0
33,33.0,0.0896,2.8455,0.0124,5575.0,9.672,7.55,16.98,0.251,13.99,2.4,0.0,0.0,-2622.5,4.441,0.8912,68.2815,27.2402,0.9118,6.8639,85.6591,2.1524,8.8249,0.0838,0.7509,50.3878,0.0,0.0,64.1536,118.3554,1.4712,3.345,6.881,29.4205,1.2699,41.3043,5.146,2.6937,720.9909,2.3479,5.0256,27.4778,11.4741,0.0,5.676,7.5934,4.1245,2.2271,13.4859,0.0
34,34.0,0.2772,1.2511,0.0161,2058.0,9.6398,5.61,10.35,0.938,17.57,7.17,0.0,0.0,-6010.25,2.4406,1.7778,41.549,22.4075,0.4032,5.8721,84.3324,1.8478,8.9336,0.3381,2.3754,50.5527,0.0,0.0,64.2529,116.7828,0.8453,3.1413,22.3298,12.9785,1.668,35.425,4.1247,1.5944,760.2925,9.8176,8.63,29.3666,14.6363,0.0,6.7926,4.3199,2.5269,1.5277,16.6904,0.0
35,35.0,0.1292,0.2675,0.0126,531.0,10.4472,4.66,16.98,0.313,11.75,6.02,0.0,0.0,-5548.0,2.8954,2.0092,46.4432,22.8867,0.0826,7.133,85.2487,1.6215,10.0686,0.0874,1.8141,50.6755,0.0,0.0,64.3085,117.7568,0.9273,2.9065,10.2758,2.5606,1.3012,36.227,3.2619,2.6435,742.0584,2.9163,7.8205,15.4172,11.4604,0.0,6.3759,4.8923,1.8732,0.9783,15.1794,0.0
36,36.0,0.7017,4.0045,0.0086,5448.0,10.499,3.17,13.55,0.746,16.75,6.62,0.0,0.0,-1362.0,3.6863,0.4407,41.2456,20.2382,1.2261,5.7967,85.6039,0.9763,8.7588,0.2558,2.003,50.179,0.0,0.0,64.1668,118.6704,1.2726,3.0137,58.5671,38.142,0.8767,39.172,2.3678,2.1092,754.1593,7.6636,7.4159,33.3534,15.7751,0.0,7.2897,6.4223,3.6701,2.0459,11.6384,0.0
37,37.0,0.2834,4.2234,0.0154,617.0,9.4864,8.17,16.57,1.249,17.24,6.9,0.0,0.0,-5452.75,4.9502,1.9728,77.8077,20.1876,1.1949,5.8909,85.6039,2.4952,8.7588,0.3536,1.9675,50.179,0.0,0.0,64.1668,118.6704,1.5746,3.0335,24.1036,44.5204,1.6027,48.3471,6.0304,2.6271,738.7487,12.1198,11.3992,19.4709,19.67,0.0,5.9014,8.4774,3.3656,1.939,11.8467,0.0
38,38.0,0.6531,1.0515,0.0063,73.0,9.7739,4.36,13.74,0.912,19.62,3.35,0.0,0.0,-5493.75,2.6639,2.0135,37.4513,20.7992,0.3218,6.4567,84.7569,1.4851,8.659,0.3398,1.2445,50.153,0.0,0.0,64.1114,118.6128,0.9237,3.0504,45.2554,10.758,0.6467,72.8102,3.1685,2.1532,740.5161,9.1568,8.1255,37.7319,32.3644,0.0,5.4444,4.4824,2.2791,1.3166,15.6351,0.0
39,39.0,0.1184,0.6573,0.0149,168.0,9.8035,5.5,14.45,0.284,25.1,9.39,0.0,0.0,-5525.5,4.2471,2.0092,48.1604,20.8461,0.2061,6.1395,101.9072,1.705,23.3453,0.0736,2.708,57.6663,0.0,0.0,74.7081,126.5662,1.4139,2.7979,9.5426,6.7043,1.5383,62.4906,3.7973,2.2871,726.7451,2.6982,5.9709,52.1369,13.8372,0.0,12.3156,7.2761,2.3065,1.1708,12.147,0.0
40,40.0,0.5138,5.2486,0.0125,1848.0,9.5543,5.63,17.18,0.796,17.38,3.93,0.0,0.0,-5085.25,2.7806,1.9875,34.7118,20.2941,1.596,5.9578,84.6216,1.798,9.1585,0.3098,1.2764,50.3138,0.0,0.0,64.4425,122.4028,0.7928,3.0429,43.2564,54.9343,1.2867,104.7136,4.2055,2.672,755.293,8.1671,5.9343,32.0013,20.4473,0.0,7.3315,4.8304,4.2202,2.2711,9.4847,0.0
41,41.0,0.2041,0.361,0.0186,72.0,10.0255,6.45,23.38,0.402,18.21,6.14,0.0,0.0,-5626.25,3.1004,1.987,31.6584,24.2952,0.1038,10.1341,85.0724,2.0617,8.6074,0.1103,1.8877,50.5378,0.0,0.0,64.0172,117.8088,0.9938,3.0729,15.6991,3.601,1.9298,45.1302,4.4698,3.7467,719.8578,3.7213,7.3418,26.2688,15.7423,0.0,3.9893,5.2913,2.2226,1.2402,17.0149,0.0
42,42.0,0.2041,0.3301,0.0171,2867.0,10.0005,5.87,18.51,0.192,12.85,4.94,0.0,0.0,-6033.25,2.5999,1.97,16.9423,24.2952,0.0966,6.8452,85.6626,1.7461,9.1502,0.0671,1.5529,50.2288,0.0,0.0,64.1871,119.3708,0.8391,3.0729,15.6991,3.3008,1.7789,70.2063,4.0222,2.9432,721.6429,1.7599,7.9705,19.9216,11.7079,0.0,6.3834,4.4178,3.5751,1.9574,12.9236,0.0
43,43.0,0.4845,0.5256,0.0136,723.0,10.194,4.81,13.62,0.793,16.06,15.93,0.0,0.0,-5415.75,2.3474,2.0063,70.6028,20.4695,0.1824,5.915,84.1874,1.4975,10.6376,0.2551,4.4892,50.6882,0.0,0.0,64.7132,118.8356,0.6849,2.7358,46.3425,5.1562,1.3993,78.0214,3.5655,2.1143,755.4825,8.3426,5.87,56.7309,21.6098,0.0,6.4931,4.0099,3.8966,2.3094,12.0422,0.0
44,44.0,0.4927,0.3377,0.0173,7569.0,10.1081,6.86,20.2,0.323,23.16,3.49,0.0,0.0,-4731.0,4.0153,1.3322,40.326,18.9326,0.1023,10.6642,84.6216,2.4251,9.1585,0.0986,1.2495,50.3138,0.0,0.0,64.4425,122.4028,1.1358,2.4602,46.276,3.3407,1.7925,59.2683,4.7771,3.2035,729.1235,3.0055,7.8156,19.4796,29.2477,0.0,3.7725,6.9621,3.7648,2.1694,8.2142,0.0
45,45.0,0.4927,0.3856,0.0168,299.0,10.0934,5.0,22.24,0.449,21.82,10.53,0.0,0.0,-5546.5,3.976,1.9992,49.3298,18.9326,0.1107,10.1112,84.1874,1.7826,10.6376,0.123,3.3789,50.6882,0.0,0.0,64.7132,118.8356,1.13,2.4602,46.276,3.8203,1.7323,66.6494,3.5139,3.582,718.1845,4.0825,11.8626,19.0472,26.1277,0.0,3.3906,6.9295,2.9727,1.6406,26.5739,0.0
46,46.0,0.4927,0.4858,0.0129,7600.0,10.6454,3.68,23.87,0.346,21.91,6.81,0.0,0.0,-3281.0,3.8427,0.8885,56.5652,18.9326,0.1418,11.0873,84.0432,1.103,8.7487,0.0923,1.8839,50.2849,0.0,0.0,64.3732,118.7784,1.0959,2.4602,46.276,4.5631,1.3234,51.2528,2.582,3.8009,726.5571,3.2174,7.7587,25.4083,9.78,0.0,4.074,6.6657,4.0631,2.3209,14.3755,0.0
47,47.0,0.4927,2.1687,0.0213,7653.0,9.7465,7.52,17.82,1.019,18.15,9.47,0.0,0.0,-4667.25,2.6422,1.3305,60.986,18.9326,0.5958,6.7794,85.0922,2.674,9.2007,0.2889,2.6361,50.1899,0.0,0.0,64.2199,118.2566,0.7632,2.4602,46.276,22.2512,2.2069,74.359,5.5184,2.8335,732.7769,10.0267,4.7941,49.7653,18.4388,0.0,5.1871,4.5069,3.6023,1.9319,27.0589,0.0
48,48.0,0.1184,0.7397,0.0145,109.0,9.7807,4.23,13.19,0.28,21.28,9.5,0.0,0.0,-5300.25,3.7145,2.0105,85.0263,20.8461,0.2253,5.6056,101.9072,1.3072,23.3453,0.098,2.6724,57.6663,0.0,0.0,74.7081,126.5662,1.2535,2.7979,9.5426,7.5628,1.4986,43.75,3.003,2.0991,722.9962,2.6712,4.1046,69.586,36.8704,0.0,4.8295,6.3972,2.5312,1.3616,17.0935,0.0
49,49.0,0.4845,0.5254,0.0148,760.0,10.2702,4.53,22.73,0.288,12.39,6.68,0.0,0.0,-5553.0,2.7385,2.0433,45.3961,20.4695,0.1512,10.5917,84.3585,1.4141,8.7495,0.0907,1.6202,50.4362,0.0,0.0,64.2234,117.7078,0.8285,2.7358,46.3425,5.1159,1.525,93.6073,3.2283,3.6637,720.0985,2.7678,7.4755,34.1144,27.3414,0.0,5.3171,4.6927,2.3127,1.2057,7.9429,0.0
50,50.0,0.171,0.3621,0.0159,157.0,10.0409,7.58,21.39,0.373,22.08,5.09,0.0,0.0,-5394.0,4.2139,2.0032,64.5401,18.5335,0.1051,10.5646,101.9072,2.0483,23.3453,0.0951,1.4343,57.6663,0.0,0.0,74.7081,126.5662,1.3943,2.4943,12.5191,3.6058,1.6462,63.2258,5.2861,3.425,721.845,3.5637,8.9455,37.7838,8.4811,0.0,7.0552,7.224,2.3055,1.2361,25.4953,0.0
51,51.0,0.1266,0.4435,0.0183,5391.0,10.2057,3.73,12.71,0.407,13.48,5.57,0.0,0.0,-2575.5,4.3934,0.892,57.1555,20.1408,0.1302,6.5515,84.0432,1.2308,8.7487,0.1107,1.7117,50.2849,0.0,0.0,64.3732,118.7784,1.4339,2.6506,8.9819,4.3457,1.8979,40.5356,2.5873,2.0155,725.3556,3.7849,7.164,25.0882,10.2747,0.0,5.2589,7.443,3.2968,1.7389,15.9673,0.0
52,52.0,0.4927,0.3739,0.0146,785.0,10.7124,5.13,14.03,0.165,24.07,18.99,0.0,0.0,-5175.5,2.6724,2.0,53.6918,18.9326,0.119,5.1302,84.1874,1.6207,10.6376,0.0528,5.665,50.6882,0.0,0.0,64.7132,118.8356,0.7748,2.4602,46.276,3.4904,1.5114,37.2781,3.6079,2.2007,734.3141,1.4896,12.9409,43.0024,53.9517,0.0,8.5729,4.5557,2.5006,1.3186,18.8331,0.0
53,53.0,0.171,0.4566,0.0117,444.0,10.6441,5.8,15.53,0.324,8.34,5.62,0.0,0.0,-5545.0,4.2871,1.9772,22.0568,18.5335,0.1314,6.7101,85.6591,1.6395,8.8249,0.093,1.7168,50.3878,0.0,0.0,64.1536,118.3554,1.4348,2.4943,12.5191,4.2893,1.2029,63.0,3.9746,2.454,724.3436,3.027,7.7033,19.8739,15.2503,0.0,6.4246,7.3053,3.1643,1.6412,16.3088,0.0
54,54.0,0.1266,4.5487,0.0123,7657.0,10.3876,7.07,19.75,0.313,15.21,9.7,0.0,0.0,-4520.75,4.4631,1.3458,59.5037,20.1408,1.3404,10.5399,85.1197,2.3431,9.1784,0.1013,2.6478,50.2165,0.0,0.0,64.229,118.771,1.4645,2.6506,8.9819,43.7898,1.2708,39.6923,5.0955,3.188,719.1008,2.9013,8.2032,44.7657,20.0194,0.0,6.6804,7.5376,2.7718,1.547,13.3972,0.0
55,55.0,0.4927,0.4471,0.0196,540.0,10.2718,5.89,23.65,0.338,17.58,9.27,0.0,0.0,-5683.75,2.5649,1.9597,68.0487,18.9326,0.1304,10.6396,85.1197,1.6443,9.1784,0.0924,2.3331,50.2165,0.0,0.0,64.229,118.771,0.7634,2.4602,46.276,4.3527,2.0277,50.0,4.1214,3.7983,719.2135,3.2193,7.1568,39.1888,13.6513,0.0,6.0096,4.4039,2.9084,1.5067,6.5522,0.0
56,56.0,0.4694,0.3681,0.0116,682.0,10.68,5.6,13.4,0.328,13.79,4.99,0.0,0.0,-5460.5,3.1095,2.031,52.3961,23.3248,0.1136,6.5963,85.794,1.8583,8.7599,0.1024,1.6657,50.3802,0.0,0.0,63.9715,117.6882,1.0252,3.2721,36.9824,3.447,1.1893,73.262,4.0483,2.1413,723.7783,3.0952,4.2375,25.6694,12.7209,0.0,4.4944,5.2615,2.7639,1.728,14.4755,0.0
