,F152,F153,F157,F159,F16,F185,F187,F198,F200,F201,F206,F209,F21,F244,F245,F246,F252,F26,F273,F287,F292,F319,F32,F321,F33,F334,F337,F34,F342,F345,F347,F35,F382,F383,F384,F39,F4,F407,F411,F413,F425,F426,F457,F459,F46,F470,F471,F474,F476,F478,F516,F517,F518,F524,F525,F550,F551,F553,F554,F556,F557,F569,F572,F573,F574,F576,F577,F578,F72,F74
28,0.4089,0.0214,,724.0,9.7745,6.21,13.77,0.866,14.76,6.34,0.0,0.0,-5217.5,,,,2.381,1.802,21.5914,0.1208,,5.6101,84.7166,1.5014,8.8388,0.2944,2.1842,50.3916,0.0,4.4327,0.0,64.1968,,,,111.7128,0.8614,0.9718,2.7756,32.5015,4.1837,2.2383,4.6463,2.1406,755.6347,9.0132,7.2863,27.0808,25.4735,0.0,,,,4.1013,5.8989,13.05,1.32,6.0228,0.5415,3.2913,1.7557,16.4792,7.41,0.4414,2.5665,1.4217,19.4047,0.013,170.53,0.0
29,0.9961,0.017,,252.0,8.6625,7.22,17.27,1.007,9.73,6.59,0.0,0.0,-5416.0,,,,2.6898,1.9817,24.2952,0.3014,,6.1586,85.6039,2.3151,8.7588,0.2772,1.6941,50.179,0.0,4.0324,0.0,64.1668,,,,118.6704,1.2998,1.131,3.0729,15.6991,11.4986,1.7651,5.4124,2.7445,739.2852,9.8157,11.4559,23.6173,15.6131,0.0,,,,4.752,6.9965,20.75,0.22,9.239,0.0908,5.1528,0.2987,15.6756,8.78,0.4072,3.1722,1.643,18.1292,0.0121,155.0459,0.0
30,0.3989,0.019,,535.0,9.8631,5.18,16.59,0.361,18.72,8.94,0.0,0.0,-5500.5,,,,2.9025,1.9888,22.8867,0.1221,,6.4394,101.9072,1.6487,23.3453,0.1288,2.5845,57.6663,0.0,6.1833,0.0,74.7081,,,,126.5662,1.2569,1.5844,2.9065,10.2758,4.0441,1.9758,3.663,2.6381,723.714,3.4838,6.7643,81.9273,20.2372,0.0,,,,4.937,5.6058,15.94,0.74,7.6655,0.3153,3.9856,1.0184,,7.73,0.2625,2.6984,1.4574,12.0275,0.0209,153.5801,0.0
31,0.446,0.0213,,310.0,9.75,7.96,15.68,0.937,12.78,5.43,0.0,0.0,-5497.75,,,,2.1927,1.9773,24.2952,0.1336,,6.6218,83.9737,2.4309,8.8033,0.2914,1.5435,50.3329,0.0,4.3608,0.0,64.485,,,,118.6328,1.2998,0.9718,3.0729,15.6991,4.5748,2.2207,5.8911,2.4867,739.5598,9.1041,11.5871,13.0432,11.957,0.0,,,,3.9184,10.9319,19.71,1.59,9.5441,0.5881,4.909,2.1265,23.2076,7.95,0.219,2.9829,1.4909,9.6586,0.0082,155.4569,0.0
32,1.4992,0.0117,,671.0,9.7447,6.49,15.65,0.236,20.02,8.69,0.0,0.0,-5507.75,,,,4.2653,1.9745,27.2402,0.4608,,6.6352,86.3472,1.7739,9.1283,0.0766,2.1732,50.1869,0.0,4.3059,0.0,64.0917,,,,122.0886,1.3015,1.0398,3.345,6.881,15.3844,1.205,4.4997,2.4771,726.2285,2.1856,5.2224,33.4064,12.268,0.0,,,,7.2939,3.9022,16.39,1.72,8.2534,0.6713,4.0424,2.1444,22.9553,10.86,0.2539,3.5623,2.024,11.551,,143.3614,0.0
33,2.8455,0.0124,,5575.0,9.672,7.55,16.98,0.251,13.99,2.4,0.0,0.0,-2622.5,,,,4.441,0.8912,27.2402,0.9118,,6.8639,85.6591,2.1524,8.8249,0.0838,0.7509,50.3878,0.0,4.5489,0.0,64.1536,,,,118.3554,1.3015,1.0398,3.345,6.881,29.4205,1.2699,5.146,2.6937,720.9909,2.3479,5.0256,27.4778,11.4741,0.0,,,,7.5934,4.827,19.63,1.23,7.637,0.5563,4.902,1.6641,33.2372,11.79,0.2879,4.1245,2.2271,13.4859,,143.6134,0.0
34,1.2511,0.0161,,2058.0,9.6398,5.61,10.35,0.938,17.57,7.17,0.0,0.0,-6010.25,,,,2.4406,1.7778,22.4075,0.4032,,5.8721,84.3324,1.8478,8.9336,0.3381,2.3754,50.5527,0.0,5.3322,0.0,64.2529,,,,116.7828,1.2414,1.131,3.1413,22.3298,12.9785,1.668,4.1247,1.5944,760.2925,9.8176,8.63,29.3666,14.6363,0.0,,,,4.3199,5.3308,16.79,0.69,7.0158,0.2824,4.1055,0.9456,17.3403,8.09,0.3806,2.5269,1.5277,16.6904,0.0268,174.6316,0.0
35,0.2675,0.0126,,531.0,10.4472,4.66,16.98,0.313,11.75,6.02,0.0,0.0,-5548.0,,,,2.8954,2.0092,22.8867,0.0826,,7.133,85.2487,1.6215,10.0686,0.0874,1.8141,50.6755,0.0,2.3012,0.0,64.3085,,,,117.7568,1.2569,1.0398,2.9065,10.2758,2.5606,1.3012,3.2619,2.6435,742.0584,2.9163,7.8205,15.4172,11.4604,0.0,,,,4.8923,6.879,15.61,0.66,6.368,0.2877,3.8802,0.9005,37.6321,5.2,0.3427,1.8732,0.9783,15.1794,,155.4515,0.0
36,4.0045,0.0086,,5448.0,10.499,3.17,13.55,0.746,16.75,6.62,0.0,0.0,-1362.0,,,,3.6863,0.4407,20.2382,1.2261,,5.7967,85.6039,0.9763,8.7588,0.2558,2.003,50.179,0.0,3.9771,0.0,64.1668,,,,118.6704,1.1981,1.131,3.0137,58.5671,38.142,0.8767,2.3678,2.1092,754.1593,7.6636,7.4159,33.3534,15.7751,0.0,,,,6.4223,3.8254,16.4,1.67,8.1327,0.6443,3.9831,2.0791,,10.9,0.2799,3.6701,2.0459,11.6384,0.029,162.1137,0.0
37,4.2234,0.0154,,617.0,9.4864,8.17,16.57,1.249,17.24,6.9,0.0,0.0,-5452.75,,,,4.9502,1.9728,20.1876,1.1949,,5.8909,85.6039,2.4952,8.7588,0.3536,1.9675,50.179,0.0,4.9936,0.0,64.1668,,,,118.6704,1.1758,1.131,3.0335,24.1036,44.5204,1.6027,6.0304,2.6271,738.7487,12.1198,11.3992,19.4709,19.67,0.0,,,,8.4774,4.5281,20.8,1.63,9.0645,0.6418,5.143,2.0344,13.8959,10.35,0.2681,3.3656,1.939,11.8467,0.0104,153.1673,0.0
38,1.0515,0.0063,,73.0,9.7739,4.36,13.74,0.912,19.62,3.35,0.0,0.0,-5493.75,,,,2.6639,2.0135,20.7992,0.3218,,6.4567,84.7569,1.4851,8.659,0.3398,1.2445,50.153,0.0,5.2866,0.0,64.1114,,,,118.6128,1.4431,1.131,3.0504,45.2554,10.758,0.6467,3.1685,2.1532,740.5161,9.1568,8.1255,37.7319,32.3644,0.0,,,,4.4824,6.4687,90.7,25.47,38.4212,11.16,23.0201,35.5806,,7.03,0.2962,2.2791,1.3166,15.6351,0.015,158.7036,0.0
39,0.6573,0.0149,,168.0,9.8035,5.5,14.45,0.284,25.1,9.39,0.0,0.0,-5525.5,,,,4.2471,2.0092,20.8461,0.2061,,6.1395,101.9072,1.705,23.3453,0.0736,2.708,57.6663,0.0,3.4345,0.0,74.7081,,,,126.5662,1.2412,0.8497,2.7979,9.5426,6.7043,1.5383,3.7973,2.2871,726.7451,2.6982,5.9709,52.1369,13.8372,0.0,,,,7.2761,6.253,21.98,1.55,10.4138,0.6997,5.4534,1.903,,6.23,0.2696,2.3065,1.1708,12.147,,149.1874,0.0
40,5.2486,0.0125,,1848.0,9.5543,5.63,17.18,0.796,17.38,3.93,0.0,0.0,-5085.25,,,,2.7806,1.9875,20.2941,1.596,,5.9578,84.6216,1.798,9.1585,0.3098,1.2764,50.3138,0.0,3.6842,0.0,64.4425,,,,122.4028,1.1878,1.131,3.0429,43.2564,54.9343,1.2867,4.2055,2.672,755.293,8.1671,5.9343,32.0013,20.4473,0.0,,,,4.8304,4.7899,19.34,0.89,8.7395,0.3393,4.7138,1.1895,27.8426,12.21,0.2089,4.2202,2.2711,9.4847,0.0189,159.304,0.0
41,0.361,0.0186,0.1584,72.0,10.0255,6.45,23.38,0.402,18.21,6.14,0.0,0.0,-5626.25,,,,3.1004,1.987,24.2952,0.1038,0.0448,10.1341,85.0724,2.0617,8.6074,0.1103,1.8877,50.5378,0.0,3.9363,0.0,64.0172,,,,117.8088,1.2998,1.0398,3.0729,15.6991,3.601,1.9298,4.4698,3.7467,719.8578,3.7213,7.3418,26.2688,15.7423,0.0,,,,5.2913,10.6766,,,,,,,25.7179,6.59,0.4211,2.2226,1.2402,17.0149,0.0219,141.8544,0.0
42,0.3301,0.0171,,2867.0,10.0005,5.87,18.51,0.192,12.85,4.94,0.0,0.0,-6033.25,,,,2.5999,1.97,24.2952,0.0966,,6.8452,85.6626,1.7461,9.1502,0.0671,1.5529,50.2288,0.0,2.8088,0.0,64.1871,,,,119.3708,1.2998,1.0398,3.0729,15.6991,3.3008,1.7789,4.0222,2.9432,721.6429,1.7599,7.9705,19.9216,11.7079,0.0,,,,4.4178,3.8558,18.31,0.99,8.0919,0.4719,4.4748,1.2186,16.997,10.43,0.2991,3.5751,1.9574,12.9236,0.0173,142.1581,0.0
43,0.5256,0.0136,,723.0,10.194,4.81,13.62,0.793,16.06,15.93,0.0,0.0,-5415.75,,,,2.3474,2.0063,20.4695,0.1824,,5.915,84.1874,1.4975,10.6376,0.2551,4.4892,50.6882,0.0,2.7397,0.0,64.7132,,,,118.8356,1.0455,0.424,2.7358,46.3425,5.1562,1.3993,3.5655,2.1143,755.4825,8.3426,5.87,56.7309,21.6098,0.0,,,,4.0099,11.2823,19.07,1.88,8.7849,0.6949,4.6847,2.376,,12.19,0.2601,3.8966,2.3094,12.0422,0.0365,167.402,0.0
44,0.3377,0.0173,,7569.0,10.1081,6.86,20.2,0.323,23.16,3.49,0.0,0.0,-4731.0,,,,4.0153,1.3322,18.9326,0.1023,,10.6642,84.6216,2.4251,9.1585,0.0986,1.2495,50.3138,0.0,7.5132,0.0,64.4425,,,,122.4028,1.0647,0.8501,2.4602,46.276,3.3407,1.7925,4.7771,3.2035,729.1235,3.0055,7.8156,19.4796,29.2477,0.0,,,,6.9621,7.1237,21.2,1.01,9.2965,0.4944,5.2008,1.3801,,11.62,0.1839,3.7648,2.1694,8.2142,0.0149,139.1271,0.0
45,0.3856,0.0168,,299.0,10.0934,5.0,22.24,0.449,21.82,10.53,0.0,0.0,-5546.5,,,,3.976,1.9992,18.9326,0.1107,,10.1112,84.1874,1.7826,10.6376,0.123,3.3789,50.6882,0.0,8.1616,0.0,64.7132,,,,118.8356,1.0647,0.8501,2.4602,46.276,3.8203,1.7323,3.5139,3.582,718.1845,4.0825,11.8626,19.0472,26.1277,0.0,,,,6.9295,4.7717,20.24,0.7,8.2986,0.3207,5.0054,0.9743,20.0533,8.67,0.5747,2.9727,1.6406,26.5739,0.0137,132.9324,0.0
46,0.4858,0.0129,,7600.0,10.6454,3.68,23.87,0.346,21.91,6.81,0.0,0.0,-3281.0,,,,3.8427,0.8885,18.9326,0.1418,,11.0873,84.0432,1.103,8.7487,0.0923,1.8839,50.2849,0.0,4.9113,0.0,64.3732,,,,118.7784,1.0647,0.7601,2.4602,46.276,4.5631,1.3234,2.582,3.8009,726.5571,3.2174,7.7587,25.4083,9.78,0.0,,,,6.6657,8.82,19.34,1.09,7.845,0.5296,4.7426,1.4605,,12.3,0.3127,4.0631,2.3209,14.3755,0.0227,143.179,0.0
