,F152,F16,F185,F187,F206,F209,F244,F245,F246,F252,F287,F321,F342,F347,F382,F383,F384,F4,F413,F425,F457,F459,F46,F478,F516,F517,F518,F524,F572,F573,F574,F576,F577,F74
11,0.4533,10.113,7.17,23.08,0.0,0.0,,,,3.064,0.1335,1.7992,0.0,0.0,,,,0.9959,27.8475,4.4827,5.2408,3.5979,749.2445,0.0,,,,5.1428,7.74,0.28,2.8659,1.4501,12.8058,0.0
12,0.5815,9.5007,8.33,13.64,0.0,0.0,,,,3.4391,0.1709,2.3822,0.0,0.0,,,,1.3204,8.7145,6.1204,6.0288,2.136,740.1569,0.0,,,,5.8568,9.95,0.1291,2.6544,1.8767,6.5577,0.0
13,0.3514,10.4109,5.02,14.76,0.0,0.0,,,,3.179,0.1035,1.309,0.0,0.0,,,,1.4668,9.2374,3.3751,3.638,2.3752,723.0309,0.0,,,,5.3373,9.93,0.2785,3.441,1.8622,12.4598,0.0
14,0.8038,9.7825,9.59,19.25,0.0,0.0,,,,3.8517,0.2881,2.8768,0.0,0.0,,,,1.2924,13.7861,8.2173,6.9999,3.0576,732.4237,0.0,,,,6.8096,11.42,0.3692,3.7724,2.144,16.1875,0.0
15,0.6427,9.5917,5.36,18.32,0.0,0.0,,,,4.8847,0.2181,2.0794,0.0,0.0,,,,1.2924,13.7861,6.7005,3.9388,2.9078,734.8382,0.0,,,,8.5439,8.53,0.3049,2.8829,1.5911,13.1895,0.0
16,0.3917,9.1999,6.87,17.15,0.0,0.0,,,,2.7255,0.1247,1.7471,0.0,0.0,,,,1.395,44.9094,4.2581,4.9191,2.644,755.3431,0.0,,,,4.6061,8.43,0.2364,2.766,1.5675,11.1971,0.0
17,0.455,9.4147,3.21,15.2,0.0,0.0,,,,2.9492,0.1376,1.0938,0.0,0.0,,,,1.395,44.9094,4.8332,2.2909,2.3405,756.6351,0.0,,,,5.0285,10.26,0.4839,3.5183,1.9291,22.148,0.0
18,0.4062,9.847,4.14,16.88,0.0,0.0,,,,2.793,0.1433,1.4088,0.0,0.0,,,,1.2043,25.4663,4.1254,2.9207,2.6103,749.7516,0.0,,,,4.6954,6.0,0.3148,2.3022,1.1273,13.7941,0.0
19,0.3257,10.1924,6.66,13.16,0.0,0.0,,,,2.3663,0.0976,1.8735,0.0,0.0,,,,1.5509,30.3788,3.1952,4.9429,2.0796,734.4697,0.0,,,,4.0018,7.81,0.2811,2.2358,1.4608,13.6183,0.0
20,0.4476,9.7659,6.88,16.41,0.0,0.0,,,,3.36,0.1466,2.5039,0.0,0.0,,,,,,4.583,5.0545,2.5459,753.9565,0.0,,,,5.7122,6.86,0.3007,2.4529,1.2913,13.5856,0.0
21,0.3507,10.3503,6.16,15.4,0.0,0.0,,,,3.447,0.1078,2.0232,0.0,0.0,,,,1.2043,25.4663,3.3881,4.5117,2.3859,755.3269,0.0,,,,5.8732,8.1,0.206,2.8482,1.5279,9.9804,0.0
22,0.2777,10.3647,6.37,17.45,0.0,0.0,,,,3.2127,0.0829,1.7676,0.0,0.0,,,,1.2043,25.4663,2.6793,4.4208,2.6806,754.3495,0.0,,,,5.451,7.49,0.2964,2.6843,1.4181,12.6981,0.0
23,2.0334,8.8407,4.54,16.0,0.0,0.0,,,,3.8766,0.5969,1.5733,0.0,0.0,,,,1.4022,11.4366,23.0001,3.3049,2.5232,737.734,0.0,,,,6.8185,8.76,0.1682,3.1106,1.6343,8.4505,0.0
24,0.5142,9.5066,6.21,15.55,0.0,0.0,,,,3.2675,0.1881,1.614,0.0,0.0,,,,1.2639,9.1854,5.4093,4.4525,2.4512,736.8018,0.0,,,,5.5411,7.17,0.4183,2.6206,1.3383,18.8142,0.0
25,0.3428,9.747,6.39,12.16,0.0,0.0,,,,2.6365,0.1019,1.9739,0.0,0.0,,,,1.4918,41.8356,3.5169,4.3949,1.9197,726.0669,0.0,,,,4.4577,9.25,0.2794,2.9887,1.7367,12.4036,0.0
26,0.388,9.8198,3.7,25.5,0.0,0.0,,,,2.3593,0.1158,1.1113,0.0,0.0,,,,1.4918,41.8356,3.9517,2.5787,4.0898,720.3336,0.0,,,,4.0167,5.4,0.4222,1.7463,1.018,18.2982,0.0
27,3.4114,10.215,5.92,16.31,0.0,0.0,,,,4.9397,1.2112,1.9211,0.0,0.0,,,,1.3548,58.1134,33.3963,4.4485,2.5505,751.0793,0.0,,,,8.4235,9.37,0.238,3.3671,1.7732,10.2289,0.0
28,0.4089,9.7745,6.21,13.77,0.0,0.0,,,,2.381,0.1208,1.5014,0.0,0.0,,,,0.8614,32.5015,4.1837,4.6463,2.1406,755.6347,0.0,,,,4.1013,7.41,0.4414,2.5665,1.4217,19.4047,0.0
29,0.9961,8.6625,7.22,17.27,0.0,0.0,,,,2.6898,0.3014,2.3151,0.0,0.0,,,,1.2998,15.6991,11.4986,5.4124,2.7445,739.2852,0.0,,,,4.752,8.78,0.4072,3.1722,1.643,18.1292,0.0
30,0.3989,9.8631,5.18,16.59,0.0,0.0,,,,2.9025,0.1221,1.6487,0.0,0.0,,,,1.2569,10.2758,4.0441,3.663,2.6381,723.714,0.0,,,,4.937,7.73,0.2625,2.6984,1.4574,12.0275,0.0
31,0.446,9.75,7.96,15.68,0.0,0.0,,,,2.1927,0.1336,2.4309,0.0,0.0,,,,1.2998,15.6991,4.5748,5.8911,2.4867,739.5598,0.0,,,,3.9184,7.95,0.219,2.9829,1.4909,9.6586,0.0
32,1.4992,9.7447,6.49,15.65,0.0,0.0,,,,4.2653,0.4608,1.7739,0.0,0.0,,,,1.3015,6.881,15.3844,4.4997,2.4771,726.2285,0.0,,,,7.2939,10.86,0.2539,3.5623,2.024,11.551,0.0
33,2.8455,9.672,7.55,16.98,0.0,0.0,,,,4.441,0.9118,2.1524,0.0,0.0,,,,1.3015,6.881,29.4205,5.146,2.6937,720.9909,0.0,,,,7.5934,11.79,0.2879,4.1245,2.2271,13.4859,0.0
34,1.2511,9.6398,5.61,10.35,0.0,0.0,,,,2.4406,0.4032,1.8478,0.0,0.0,,,,1.2414,22.3298,12.9785,4.1247,1.5944,760.2925,0.0,,,,4.3199,8.09,0.3806,2.5269,1.5277,16.6904,0.0
35,0.2675,10.4472,4.66,16.98,0.0,0.0,,,,2.8954,0.0826,1.6215,0.0,0.0,,,,1.2569,10.2758,2.5606,3.2619,2.6435,742.0584,0.0,,,,4.8923,5.2,0.3427,1.8732,0.9783,15.1794,0.0
36,4.0045,10.499,3.17,13.55,0.0,0.0,,,,3.6863,1.2261,0.9763,0.0,0.0,,,,1.1981,58.5671,38.142,2.3678,2.1092,754.1593,0.0,,,,6.4223,10.9,0.2799,3.6701,2.0459,11.6384,0.0
37,4.2234,9.4864,8.17,16.57,0.0,0.0,,,,4.9502,1.1949,2.4952,0.0,0.0,,,,1.1758,24.1036,44.5204,6.0304,2.6271,738.7487,0.0,,,,8.4774,10.35,0.2681,3.3656,1.939,11.8467,0.0
38,1.0515,9.7739,4.36,13.74,0.0,0.0,,,,2.6639,0.3218,1.4851,0.0,0.0,,,,1.4431,45.2554,10.758,3.1685,2.1532,740.5161,0.0,,,,4.4824,7.03,0.2962,2.2791,1.3166,15.6351,0.0
39,0.6573,9.8035,5.5,14.45,0.0,0.0,,,,4.2471,0.2061,1.705,0.0,0.0,,,,1.2412,9.5426,6.7043,3.7973,2.2871,726.7451,0.0,,,,7.2761,6.23,0.2696,2.3065,1.1708,12.147,0.0
40,5.2486,9.5543,5.63,17.18,0.0,0.0,,,,2.7806,1.596,1.798,0.0,0.0,,,,1.1878,43.2564,54.9343,4.2055,2.672,755.293,0.0,,,,4.8304,12.21,0.2089,4.2202,2.2711,9.4847,0.0
41,0.361,10.0255,6.45,23.38,0.0,0.0,,,,3.1004,0.1038,2.0617,0.0,0.0,,,,1.2998,15.6991,3.601,4.4698,3.7467,719.8578,0.0,,,,5.2913,6.59,0.4211,2.2226,1.2402,17.0149,0.0
42,0.3301,10.0005,5.87,18.51,0.0,0.0,,,,2.5999,0.0966,1.7461,0.0,0.0,,,,1.2998,15.6991,3.3008,4.0222,2.9432,721.6429,0.0,,,,4.4178,10.43,0.2991,3.5751,1.9574,12.9236,0.0
43,0.5256,10.194,4.81,13.62,0.0,0.0,,,,2.3474,0.1824,1.4975,0.0,0.0,,,,1.0455,46.3425,5.1562,3.5655,2.1143,755.4825,0.0,,,,4.0099,12.19,0.2601,3.8966,2.3094,12.0422,0.0
44,0.3377,10.1081,6.86,20.2,0.0,0.0,,,,4.0153,0.1023,2.4251,0.0,0.0,,,,1.0647,46.276,3.3407,4.7771,3.2035,729.1235,0.0,,,,6.9621,11.62,0.1839,3.7648,2.1694,8.2142,0.0
45,0.3856,10.0934,5.0,22.24,0.0,0.0,,,,3.976,0.1107,1.7826,0.0,0.0,,,,1.0647,46.276,3.8203,3.5139,3.582,718.1845,0.0,,,,6.9295,8.67,0.5747,2.9727,1.6406,26.5739,0.0
46,0.4858,10.6454,3.68,23.87,0.0,0.0,,,,3.8427,0.1418,1.103,0.0,0.0,,,,1.0647,46.276,4.5631,2.582,3.8009,726.5571,0.0,,,,6.6657,12.3,0.3127,4.0631,2.3209,14.3755,0.0
47,2.1687,9.7465,7.52,17.82,0.0,0.0,,,,2.6422,0.5958,2.674,0.0,0.0,,,,1.0647,46.276,22.2512,5.5184,2.8335,732.7769,0.0,,,,4.5069,10.31,0.5791,3.6023,1.9319,27.0589,0.0
48,0.7397,9.7807,4.23,13.19,0.0,0.0,,,,3.7145,0.2253,1.3072,0.0,0.0,,,,1.2412,9.5426,7.5628,3.003,2.0991,722.9962,0.0,,,,6.3972,7.23,0.3743,2.5312,1.3616,17.0935,0.0
49,0.5254,10.2702,4.53,22.73,0.0,0.0,,,,2.7385,0.1512,1.4141,0.0,0.0,,,,1.0455,46.3425,5.1159,3.2283,3.6637,720.0985,0.0,,,,4.6927,6.43,0.1643,2.3127,1.2057,7.9429,0.0
50,0.3621,10.0409,7.58,21.39,0.0,0.0,,,,4.2139,0.1051,2.0483,0.0,0.0,,,,1.3658,12.5191,3.6058,5.2861,3.425,721.845,0.0,,,,7.224,6.59,0.5991,2.3055,1.2361,25.4953,0.0
51,0.4435,10.2057,3.73,12.71,0.0,0.0,,,,4.3934,0.1302,1.2308,0.0,0.0,,,,1.4095,8.9819,4.3457,2.5873,2.0155,725.3556,0.0,,,,7.443,9.29,0.4009,3.2968,1.7389,15.9673,0.0
52,0.3739,10.7124,5.13,14.03,0.0,0.0,,,,2.6724,0.119,1.6207,0.0,0.0,,,,1.0647,46.276,3.4904,3.6079,2.2007,734.3141,0.0,,,,4.5557,7.0,0.4128,2.5006,1.3186,18.8331,0.0
53,0.4566,10.6441,5.8,15.53,0.0,0.0,,,,4.2871,0.1314,1.6395,0.0,0.0,,,,1.3658,12.5191,4.2893,3.9746,2.454,724.3436,0.0,,,,7.3053,8.74,0.35,3.1643,1.6412,16.3088,0.0
54,4.5487,10.3876,7.07,19.75,0.0,0.0,,,,4.4631,1.3404,2.3431,0.0,0.0,,,,1.4095,8.9819,43.7898,5.0955,3.188,719.1008,0.0,,,,7.5376,8.28,0.3146,2.7718,1.547,13.3972,0.0
55,0.4471,10.2718,5.89,23.65,0.0,0.0,,,,2.5649,0.1304,1.6443,0.0,0.0,,,,1.0647,46.276,4.3527,4.1214,3.7983,719.2135,0.0,,,,4.4039,8.0699,0.1547,2.9084,1.5067,6.5522,0.0
56,0.3681,10.68,5.6,13.4,0.0,0.0,,,,3.1095,0.1136,1.8583,0.0,0.0,,,,1.2691,36.9824,3.447,4.0483,2.1413,723.7783,0.0,,,,5.2615,9.27,0.2912,2.7639,1.728,14.4755,0.0
57,0.704,9.9522,8.03,18.78,0.0,0.0,,,,3.2904,0.2117,2.3281,0.0,0.0,,,,0.9799,87.4031,7.0742,5.3855,2.9855,720.7304,0.0,,,,5.6104,9.32,0.3201,3.0902,1.7412,14.0012,0.0
58,4.5412,11.0203,5.88,14.12,0.0,0.0,,,,2.3459,1.3642,1.867,0.0,0.0,,,,1.1705,32.0435,41.2075,4.406,2.2457,736.5657,0.0,,,,4.1913,8.22,0.2701,2.8877,1.54,12.0404,0.0
59,0.3814,10.6095,4.65,22.84,0.0,0.0,,,,4.3243,0.1156,1.7155,0.0,0.0,,,,1.3015,6.881,3.5953,3.2196,3.6394,724.2424,0.0,,,,7.4224,7.24,0.3292,2.1994,1.3661,14.2828,0.0
60,0.5429,9.932,7.3,21.65,0.0,0.0,,,,3.2252,0.1582,2.1986,0.0,0.0,,,,1.2691,36.9824,5.4662,5.1431,3.4844,719.0067,0.0,,,,5.452,8.58,0.2182,2.6533,1.6135,9.8604,0.0
61,0.4134,9.1397,5.46,10.23,0.0,0.0,,,,4.1038,0.1337,1.4898,0.0,0.0,,,,1.3872,37.5303,4.523,4.0862,1.5811,761.9285,0.0,,,,6.8878,10.66,0.3075,3.6728,1.9897,15.0879,0.0
62,0.4882,9.1557,5.02,15.29,0.0,0.0,,,,2.3288,0.1533,1.5558,0.0,0.0,,,,1.2691,36.9824,5.3318,3.5149,2.3984,733.3332,0.0,,,,4.0078,7.39,0.3366,2.3288,1.3792,17.0532,0.0
63,0.3262,8.8833,6.41,22.01,0.0,0.0,,,,4.9963,0.1108,2.0266,0.0,0.0,,,,1.0997,37.7415,3.6722,4.494,3.5046,725.9134,0.0,,,,8.7073,6.24,0.4772,2.3507,1.1625,21.2281,0.0
64,0.4198,9.1136,5.55,9.72,0.0,0.0,,,,2.6554,0.1345,1.8775,0.0,0.0,,,,1.4503,26.8972,4.6062,3.9653,1.5482,725.1731,0.0,,,,4.7819,9.7599,0.3866,3.2033,1.8338,16.3616,0.0
65,0.8201,9.708,5.86,15.86,0.0,0.0,,,,5.2175,0.2252,2.047,0.0,0.0,,,,1.0032,74.8659,8.4479,4.1087,2.5107,728.2242,0.0,,,,9.0887,6.14,0.4319,2.0163,1.1501,18.4846,0.0
66,0.454,9.0959,5.58,13.2,0.0,0.0,,,,2.2402,0.1424,1.8826,0.0,0.0,,,,1.0032,74.8659,4.9912,3.9183,2.0746,732.4176,0.0,,,,3.8713,6.98,0.2294,2.1543,1.2991,11.3646,0.0
67,0.4519,9.118,4.24,15.62,0.0,0.0,,,,5.5617,0.1434,1.3999,0.0,0.0,,,,1.0032,74.8659,4.9557,2.8985,2.4698,724.3708,0.0,,,,9.406,10.3,0.4444,3.522,1.9251,21.8407,0.0
68,1.075,9.7637,6.35,12.9,0.0,0.0,,,,4.4487,0.2911,1.8868,0.0,0.0,,,,1.0997,37.7415,11.0098,4.7598,2.0117,753.9997,0.0,,,,7.4778,7.91,0.1254,2.8332,1.4795,5.0986,0.0
69,0.8146,9.3711,4.39,11.2,0.0,0.0,,,,2.8423,0.2232,1.5201,0.0,0.0,,,,1.3872,37.5303,8.6922,3.0832,1.7831,723.8999,0.0,,,,4.7336,12.54,0.2766,3.8913,2.3373,13.8172,0.0
70,0.8034,9.3955,7.38,11.51,0.0,0.0,,,,5.0317,0.2232,2.4225,0.0,0.0,,,,1.0997,37.7415,8.5513,5.3579,1.8195,731.7208,0.0,,,,8.7399,6.49,0.4057,2.4106,1.219,15.93,0.0
71,0.4479,9.8426,5.69,11.87,0.0,0.0,,,,3.5801,0.1325,1.6452,0.0,0.0,,,,1.3529,45.1768,4.5505,4.1227,1.9058,720.422,0.0,,,,6.321,7.55,0.2272,2.6025,1.4101,11.2549,0.0
72,0.5063,10.1235,5.55,12.65,0.0,0.0,,,,2.267,0.1482,1.7957,0.0,0.0,,,,1.3529,45.1768,5.0012,4.015,2.0234,723.0058,0.0,,,,3.9075,10.57,0.4373,3.4964,1.9775,18.2114,0.0
73,0.392,10.5025,6.4,19.97,0.0,0.0,,,,2.6624,0.1258,1.9705,0.0,0.0,,,,1.3872,37.5303,3.7328,4.3721,3.1853,721.4974,0.0,,,,4.5129,5.39,0.3599,1.7611,1.0306,15.4085,0.0
74,0.3626,9.902,5.06,7.96,0.0,0.0,,,,2.2436,0.1089,1.6184,0.0,0.0,,,,1.2414,82.42,3.6614,3.4275,1.271,714.6868,0.0,,,,3.8602,6.39,0.2326,2.0122,1.1886,13.1929,0.0
75,0.4602,10.1394,6.18,11.9,0.0,0.0,,,,2.6264,0.1349,1.987,0.0,0.0,,,,1.3529,45.1768,4.539,4.2839,1.8562,736.1872,0.0,,,,4.3754,9.6,0.2247,3.3993,1.7897,11.0317,0.0
76,1.0185,9.946,14.54,11.99,0.0,0.0,,,,4.4574,0.2785,3.9252,0.0,0.0,,,,1.3601,31.9464,10.2404,10.1194,1.9095,721.1447,0.0,,,,7.9544,10.75,0.3656,3.7784,2.0097,15.0254,0.0
77,1.1306,9.9707,5.44,14.79,0.0,0.0,,,,4.949,0.3087,1.3788,0.0,0.0,,,,1.3529,45.1768,11.3391,4.1217,2.3135,751.7251,0.0,,,,8.6413,7.93,0.2848,2.5902,1.4763,13.3002,0.0
78,0.3272,10.0926,4.55,11.51,0.0,0.0,,,,2.2309,0.0975,1.273,0.0,0.0,,,,1.3601,31.9464,3.2422,3.4129,1.7875,757.4796,0.0,,,,3.7429,10.22,0.3876,3.5456,1.9009,17.0931,0.0
79,0.8696,9.4946,4.4,10.82,0.0,0.0,,,,5.3135,0.2381,1.485,0.0,0.0,,,,1.0997,37.7415,9.1586,3.1215,1.7402,716.994,0.0,,,,9.2274,10.5,0.3571,3.6913,1.9836,15.2498,0.0
80,0.3444,10.3558,4.93,12.11,0.0,0.0,,,,5.4718,0.103,1.4689,0.0,0.0,,,,1.3601,31.9464,3.3253,3.6928,1.879,758.3614,0.0,,,,9.2501,11.09,0.3184,3.6866,2.0783,15.3708,0.0
81,1.3942,8.8623,5.71,14.15,0.0,0.0,,,,4.3467,0.4016,1.8229,0.0,0.0,,,,1.0997,37.7415,15.7316,4.2333,2.1999,754.4896,0.0,,,,7.3249,6.15,0.2806,2.3189,1.1479,14.459,0.0
82,0.8039,9.6496,7.75,16.99,0.0,0.0,,,,2.5844,0.2159,2.1588,0.0,0.0,,,,1.2479,13.5951,8.3304,5.2767,2.7122,719.4658,0.0,,,,4.4725,13.76,0.1968,4.5061,2.5874,8.9008,0.0
83,1.2515,8.9623,6.9,8.59,0.0,0.0,,,,4.1884,0.361,2.3005,0.0,0.0,,,,1.0032,74.8659,13.9641,4.7891,1.3603,724.0375,0.0,,,,7.4388,9.53,0.2307,2.913,1.7943,10.2491,0.0
84,0.2087,10.204,6.07,12.94,0.0,0.0,,,,4.9641,0.078,1.6419,0.0,0.0,,,,1.0997,37.7415,2.0452,4.5406,2.0156,754.5563,0.0,,,,8.6617,7.54,0.181,2.5261,1.3983,8.3962,0.0
85,0.8935,9.9919,5.19,13.25,0.0,0.0,,,,2.2533,0.2407,1.4215,0.0,0.0,,,,1.2414,82.42,8.9422,3.7429,2.1101,726.3228,0.0,,,,3.8701,439.05,1.2098,137.833,85.9341,69.196,0.0
86,0.3131,10.3618,5.91,11.91,0.0,0.0,,,,2.179,0.0986,1.9358,0.0,0.0,,,,1.2414,82.42,3.0213,4.1594,1.8906,724.4909,0.0,,,,3.7779,439.05,1.2098,137.833,85.9341,69.196,0.0
87,1.0527,10.1496,7.44,8.21,0.0,0.0,,,,3.3278,0.3018,2.3852,0.0,0.0,,,,1.1048,54.0784,10.3721,5.3412,1.3187,718.941,0.0,,,,5.7451,9.93,0.2199,3.6157,1.8624,9.5334,0.0
88,1.0689,10.17,6.27,9.27,0.0,0.0,,,,2.0419,0.3052,2.0103,0.0,0.0,,,,1.4715,28.5952,10.5106,4.5068,1.4909,718.9079,0.0,,,,3.4952,10.27,0.1299,3.6182,1.9239,5.7214,0.0
89,0.8855,9.4636,5.68,13.68,0.0,0.0,,,,2.1536,0.2387,1.7286,0.0,0.0,,,,1.5291,34.8193,9.3572,4.0594,2.1794,724.8342,0.0,,,,3.7336,439.05,1.2098,137.833,85.9341,69.196,0.0
90,1.0301,10.1361,5.15,7.02,0.0,0.0,,,,2.2055,0.2972,1.6932,0.0,0.0,,,,1.4715,28.5952,10.163,3.6301,1.0984,736.0885,0.0,,,,3.767,7.01,0.3682,2.3605,1.3144,15.4001,0.0
91,0.8702,10.0685,4.5,15.87,0.0,0.0,,,,4.3757,0.2385,1.5639,0.0,0.0,,,,1.0455,46.3425,8.6433,3.1372,2.524,722.101,0.0,,,,7.4077,11.79,0.2879,4.1245,2.2271,13.4859,0.0
92,0.4489,9.9865,7.25,19.77,0.0,0.0,,,,2.4838,0.1318,2.432,0.0,0.0,,,,1.0997,37.7415,4.4947,4.8883,3.1485,720.1594,0.0,,,,4.2343,11.79,0.2879,4.1245,2.2271,13.4859,0.0
93,0.8286,9.3991,4.98,10.71,0.0,0.0,,,,2.8538,0.2232,1.601,0.0,0.0,,,,1.2752,10.1822,8.8156,3.4713,1.7067,721.2181,0.0,,,,4.8872,9.84,0.3066,3.4939,1.8387,12.4093,0.0
94,0.408,10.1871,6.55,10.7,0.0,0.0,,,,4.3197,0.1268,1.9939,0.0,0.0,,,,1.3622,31.4696,4.0049,4.575,1.6955,724.7882,0.0,,,,7.4813,439.05,1.2098,137.833,85.9341,69.196,0.0
95,0.7349,10.0165,6.42,10.67,0.0,0.0,,,,2.1928,0.1984,1.9237,0.0,0.0,,,,1.2579,136.3601,7.337,4.5407,1.6982,723.2811,0.0,,,,3.794,8.29,0.2435,2.9696,1.5497,13.5286,0.0
96,0.4659,10.1679,5.89,13.04,0.0,0.0,,,,2.0666,0.1337,1.9145,0.0,0.0,,,,1.3529,45.1768,4.5822,4.3225,2.0211,755.794,0.0,,,,3.5701,9.27,0.4407,3.3384,1.7362,17.9666,0.0
97,0.578,10.3122,6.45,6.87,0.0,0.0,,,,2.701,0.168,2.2578,0.0,0.0,,,,1.4715,28.5952,5.6052,4.4949,1.0936,721.6081,0.0,,,,4.6515,10.26,0.3566,3.5301,1.9298,14.8871,0.0
98,0.6039,10.3165,6.63,7.01,0.0,0.0,,,,2.1089,0.1764,1.8999,0.0,0.0,,,,1.1048,54.0784,5.8536,4.7757,1.1292,717.2746,0.0,,,,3.6173,8.19,0.2909,2.8864,1.548,12.3938,0.0
99,0.3485,9.1935,5.15,15.3,0.0,0.0,,,,3.1925,0.1118,1.5021,0.0,0.0,,,,1.67,30.8039,3.7911,3.708,2.4499,722.2621,0.0,,,,5.5214,11.78,0.4565,4.089,2.2188,20.7877,0.0
100,0.5181,10.2777,10.6,12.69,0.0,0.0,,,,2.2831,0.1492,2.8189,0.0,0.0,,,,1.4715,28.5952,5.0414,7.7206,2.0332,724.4752,0.0,,,,3.8734,12.5,0.2525,4.32,2.3592,10.9671,0.0
101,1.0108,9.5313,13.65,7.35,0.0,0.0,,,,3.2082,0.2913,3.7494,0.0,0.0,,,,1.3918,33.1559,10.605,9.8576,1.1861,717.4775,0.0,,,,5.4589,7.93,0.1562,2.4933,1.4934,6.5484,0.0
102,0.9699,9.5094,4.97,10.99,0.0,0.0,,,,3.8545,0.2785,1.5865,0.0,0.0,,,,1.0685,22.2135,10.1992,3.4666,1.7374,728.4936,0.0,,,,6.6506,420.24,1.4316,116.2324,76.326,66.455,0.0
103,0.5897,10.3441,7.3,7.12,0.0,0.0,,,,2.3694,0.1709,1.8985,0.0,0.0,,,,1.4715,28.5952,5.7004,5.1448,1.1307,724.9507,0.0,,,,4.0307,9.6,0.3488,2.9717,1.8119,15.0423,0.0
104,0.2618,9.4655,5.64,11.42,0.0,0.0,,,,4.2815,0.0932,1.8784,0.0,0.0,,,,1.5291,34.8193,2.7661,3.9831,1.8142,725.682,0.0,,,,7.2571,8.14,0.3811,2.8505,1.521,15.3228,0.0
105,0.3543,10.3933,3.85,10.95,0.0,0.0,,,,2.8887,0.1103,1.273,0.0,0.0,,,,0.9747,43.4704,3.4092,2.6689,1.7571,715.1313,0.0,,,,4.9618,8.3,0.2425,2.8582,1.5539,14.4851,0.0
106,0.2641,9.4541,6.78,15.66,0.0,0.0,,,,2.6602,0.0945,2.1173,0.0,0.0,,,,1.3811,29.0909,2.7939,4.9274,2.4865,729.5193,0.0,,,,4.5041,9.7,0.3356,3.349,1.8173,14.2763,0.0
107,0.2872,9.8652,5.27,9.84,0.0,0.0,,,,2.9365,0.0851,1.9151,0.0,0.0,,,,1.3622,31.4696,2.9116,3.6619,1.5716,718.1612,0.0,,,,5.012,7.09,0.3834,2.4813,1.321,15.7964,0.0
108,0.2697,9.4543,3.48,9.49,0.0,0.0,,,,2.4444,0.0924,1.2255,0.0,0.0,,,,1.3811,29.0909,2.853,2.3747,1.513,718.251,0.0,,,,4.1837,8.1,0.2206,2.7748,1.5082,12.0111,0.0
109,0.2608,10.3001,3.69,15.37,0.0,0.0,,,,31.7855,0.0854,1.3289,0.0,0.0,,,,1.3811,29.0909,2.5319,2.6663,2.4149,737.5661,0.0,,,,56.7734,7.57,0.3447,2.6985,1.4113,14.1369,0.0
