,F152,F16,F185,F187,F252,F287,F321,F425,F457,F459,F46,F524,F572,F573,F574,F576,F577
39,0.6573,9.8035,5.5,14.45,4.2471,0.2061,1.705,6.7043,3.7973,2.2871,726.7451,7.2761,6.23,0.2696,2.3065,1.1708,12.147
40,5.2486,9.5543,5.63,17.18,2.7806,1.596,1.798,54.9343,4.2055,2.672,755.293,4.8304,12.21,0.2089,4.2202,2.2711,9.4847
41,0.361,10.0255,6.45,23.38,3.1004,0.1038,2.0617,3.601,4.4698,3.7467,719.8578,5.2913,6.59,0.4211,2.2226,1.2402,17.0149
42,0.3301,10.0005,5.87,18.51,2.5999,0.0966,1.7461,3.3008,4.0222,2.9432,721.6429,4.4178,10.43,0.2991,3.5751,1.9574,12.9236
43,0.5256,10.194,4.81,13.62,2.3474,0.1824,1.4975,5.1562,3.5655,2.1143,755.4825,4.0099,12.19,0.2601,3.8966,2.3094,12.0422
44,0.3377,10.1081,6.86,20.2,4.0153,0.1023,2.4251,3.3407,4.7771,3.2035,729.1235,6.9621,11.62,0.1839,3.7648,2.1694,8.2142
45,0.3856,10.0934,5,22.24,3.976,0.1107,1.7826,3.8203,3.5139,3.582,718.1845,6.9295,8.67,0.5747,2.9727,1.6406,26.5739
46,0.4858,10.6454,3.68,23.87,3.8427,0.1418,1.103,4.5631,2.582,3.8009,726.5571,6.6657,12.3,0.3127,4.0631,2.3209,14.3755
47,2.1687,9.7465,7.52,17.82,2.6422,0.5958,2.674,22.2512,5.5184,2.8335,732.7769,4.5069,10.31,0.5791,3.6023,1.9319,27.0589
48,0.7397,9.7807,4.23,13.19,3.7145,0.2253,1.3072,7.5628,3.003,2.0991,722.9962,6.3972,7.23,0.3743,2.5312,1.3616,17.0935
49,0.5254,10.2702,4.53,22.73,2.7385,0.1512,1.4141,5.1159,3.2283,3.6637,720.0985,4.6927,6.43,0.1643,2.3127,1.2057,7.9429
50,0.3621,10.0409,7.58,21.39,4.2139,0.1051,2.0483,3.6058,5.2861,3.425,721.845,7.224,6.59,0.5991,2.3055,1.2361,25.4953
51,0.4435,10.2057,3.73,12.71,4.3934,0.1302,1.2308,4.3457,2.5873,2.0155,725.3556,7.443,9.29,0.4009,3.2968,1.7389,15.9673
52,0.3739,10.7124,5.13,14.03,2.6724,0.119,1.6207,3.4904,3.6079,2.2007,734.3141,4.5557,7,0.4128,2.5006,1.3186,18.8331
53,0.4566,10.6441,5.8,15.53,4.2871,0.1314,1.6395,4.2893,3.9746,2.454,724.3436,7.3053,8.74,0.35,3.1643,1.6412,16.3088
54,4.5487,10.3876,7.07,19.75,4.4631,1.3404,2.3431,43.7898,5.0955,3.188,719.1008,7.5376,8.28,0.3146,2.7718,1.547,13.3972
55,0.4471,10.2718,5.89,23.65,2.5649,0.1304,1.6443,4.3527,4.1214,3.7983,719.2135,4.4039,8.0699,0.1547,2.9084,1.5067,6.5522
56,0.3681,10.68,5.6,13.4,3.1095,0.1136,1.8583,3.447,4.0483,2.1413,723.7783,5.2615,9.27,0.2912,2.7639,1.728,14.4755
57,0.704,9.9522,8.03,18.78,3.2904,0.2117,2.3281,7.0742,5.3855,2.9855,720.7304,5.6104,9.32,0.3201,3.0902,1.7412,14.0012
58,4.5412,11.0203,5.88,14.12,2.3459,1.3642,1.867,41.2075,4.406,2.2457,736.5657,4.1913,8.22,0.2701,2.8877,1.54,12.0404
59,0.3814,10.6095,4.65,22.84,4.3243,0.1156,1.7155,3.5953,3.2196,3.6394,724.2424,7.4224,7.24,0.3292,2.1994,1.3661,14.2828
60,0.5429,9.932,7.3,21.65,3.2252,0.1582,2.1986,5.4662,5.1431,3.4844,719.0067,5.452,8.58,0.2182,2.6533,1.6135,9.8604
61,0.4134,9.1397,5.46,10.23,4.1038,0.1337,1.4898,4.523,4.0862,1.5811,761.9285,6.8878,10.66,0.3075,3.6728,1.9897,15.0879
62,0.4882,9.1557,5.02,15.29,2.3288,0.1533,1.5558,5.3318,3.5149,2.3984,733.3332,4.0078,7.39,0.3366,2.3288,1.3792,17.0532
63,0.3262,8.8833,6.41,22.01,4.9963,0.1108,2.0266,3.6722,4.494,3.5046,725.9134,8.7073,6.24,0.4772,2.3507,1.1625,21.2281
64,0.4198,9.1136,5.55,9.72,2.6554,0.1345,1.8775,4.6062,3.9653,1.5482,725.1731,4.7819,9.7599,0.3866,3.2033,1.8338,16.3616
65,0.8201,9.708,5.86,15.86,5.2175,0.2252,2.047,8.4479,4.1087,2.5107,728.2242,9.0887,6.14,0.4319,2.0163,1.1501,18.4846
66,0.454,9.0959,5.58,13.2,2.2402,0.1424,1.8826,4.9912,3.9183,2.0746,732.4176,3.8713,6.98,0.2294,2.1543,1.2991,11.3646
67,0.4519,9.118,4.24,15.62,5.5617,0.1434,1.3999,4.9557,2.8985,2.4698,724.3708,9.406,10.3,0.4444,3.522,1.9251,21.8407
68,1.075,9.7637,6.35,12.9,4.4487,0.2911,1.8868,11.0098,4.7598,2.0117,753.9997,7.4778,7.91,0.1254,2.8332,1.4795,5.0986
69,0.8146,9.3711,4.39,11.2,2.8423,0.2232,1.5201,8.6922,3.0832,1.7831,723.8999,4.7336,12.54,0.2766,3.8913,2.3373,13.8172
70,0.8034,9.3955,7.38,11.51,5.0317,0.2232,2.4225,8.5513,5.3579,1.8195,731.7208,8.7399,6.49,0.4057,2.4106,1.219,15.93
71,0.4479,9.8426,5.69,11.87,3.5801,0.1325,1.6452,4.5505,4.1227,1.9058,720.422,6.321,7.55,0.2272,2.6025,1.4101,11.2549
72,0.5063,10.1235,5.55,12.65,2.267,0.1482,1.7957,5.0012,4.015,2.0234,723.0058,3.9075,10.57,0.4373,3.4964,1.9775,18.2114
73,0.392,10.5025,6.4,19.97,2.6624,0.1258,1.9705,3.7328,4.3721,3.1853,721.4974,4.5129,5.39,0.3599,1.7611,1.0306,15.4085
74,0.3626,9.902,5.06,7.96,2.2436,0.1089,1.6184,3.6614,3.4275,1.271,714.6868,3.8602,6.39,0.2326,2.0122,1.1886,13.1929
75,0.4602,10.1394,6.18,11.9,2.6264,0.1349,1.987,4.539,4.2839,1.8562,736.1872,4.3754,9.6,0.2247,3.3993,1.7897,11.0317
76,1.0185,9.946,14.54,11.99,4.4574,0.2785,3.9252,10.2404,10.1194,1.9095,721.1447,7.9544,10.75,0.3656,3.7784,2.0097,15.0254
77,1.1306,9.9707,5.44,14.79,4.949,0.3087,1.3788,11.3391,4.1217,2.3135,751.7251,8.6413,7.93,0.2848,2.5902,1.4763,13.3002
78,0.3272,10.0926,4.55,11.51,2.2309,0.0975,1.273,3.2422,3.4129,1.7875,757.4796,3.7429,10.22,0.3876,3.5456,1.9009,17.0931
79,0.8696,9.4946,4.4,10.82,5.3135,0.2381,1.485,9.1586,3.1215,1.7402,716.994,9.2274,10.5,0.3571,3.6913,1.9836,15.2498
80,0.3444,10.3558,4.93,12.11,5.4718,0.103,1.4689,3.3253,3.6928,1.879,758.3614,9.2501,11.09,0.3184,3.6866,2.0783,15.3708
81,1.3942,8.8623,5.71,14.15,4.3467,0.4016,1.8229,15.7316,4.2333,2.1999,754.4896,7.3249,6.15,0.2806,2.3189,1.1479,14.459
82,0.8039,9.6496,7.75,16.99,2.5844,0.2159,2.1588,8.3304,5.2767,2.7122,719.4658,4.4725,13.76,0.1968,4.5061,2.5874,8.9008
83,1.2515,8.9623,6.9,8.59,4.1884,0.361,2.3005,13.9641,4.7891,1.3603,724.0375,7.4388,9.53,0.2307,2.913,1.7943,10.2491
84,0.2087,10.204,6.07,12.94,4.9641,0.078,1.6419,2.0452,4.5406,2.0156,754.5563,8.6617,7.54,0.181,2.5261,1.3983,8.3962
85,0.8935,9.9919,5.19,13.25,2.2533,0.2407,1.4215,8.9422,3.7429,2.1101,726.3228,3.8701,439.05,1.2098,137.833,85.9341,69.196
86,0.3131,10.3618,5.91,11.91,2.179,0.0986,1.9358,3.0213,4.1594,1.8906,724.4909,3.7779,439.05,1.2098,137.833,85.9341,69.196
87,1.0527,10.1496,7.44,8.21,3.3278,0.3018,2.3852,10.3721,5.3412,1.3187,718.941,5.7451,9.93,0.2199,3.6157,1.8624,9.5334
88,1.0689,10.17,6.27,9.27,2.0419,0.3052,2.0103,10.5106,4.5068,1.4909,718.9079,3.4952,10.27,0.1299,3.6182,1.9239,5.7214
89,0.8855,9.4636,5.68,13.68,2.1536,0.2387,1.7286,9.3572,4.0594,2.1794,724.8342,3.7336,439.05,1.2098,137.833,85.9341,69.196
90,1.0301,10.1361,5.15,7.02,2.2055,0.2972,1.6932,10.163,3.6301,1.0984,736.0885,3.767,7.01,0.3682,2.3605,1.3144,15.4001
91,0.8702,10.0685,4.5,15.87,4.3757,0.2385,1.5639,8.6433,3.1372,2.524,722.101,7.4077,11.79,0.2879,4.1245,2.2271,13.4859
92,0.4489,9.9865,7.25,19.77,2.4838,0.1318,2.432,4.4947,4.8883,3.1485,720.1594,4.2343,11.79,0.2879,4.1245,2.2271,13.4859
93,0.8286,9.3991,4.98,10.71,2.8538,0.2232,1.601,8.8156,3.4713,1.7067,721.2181,4.8872,9.84,0.3066,3.4939,1.8387,12.4093
94,0.408,10.1871,6.55,10.7,4.3197,0.1268,1.9939,4.0049,4.575,1.6955,724.7882,7.4813,439.05,1.2098,137.833,85.9341,69.196
95,0.7349,10.0165,6.42,10.67,2.1928,0.1984,1.9237,7.337,4.5407,1.6982,723.2811,3.794,8.29,0.2435,2.9696,1.5497,13.5286
96,0.4659,10.1679,5.89,13.04,2.0666,0.1337,1.9145,4.5822,4.3225,2.0211,755.794,3.5701,9.27,0.4407,3.3384,1.7362,17.9666
97,0.578,10.3122,6.45,6.87,2.701,0.168,2.2578,5.6052,4.4949,1.0936,721.6081,4.6515,10.26,0.3566,3.5301,1.9298,14.8871
98,0.6039,10.3165,6.63,7.01,2.1089,0.1764,1.8999,5.8536,4.7757,1.1292,717.2746,3.6173,8.19,0.2909,2.8864,1.548,12.3938
99,0.3485,9.1935,5.15,15.3,3.1925,0.1118,1.5021,3.7911,3.708,2.4499,722.2621,5.5214,11.78,0.4565,4.089,2.2188,20.7877
100,0.5181,10.2777,10.6,12.69,2.2831,0.1492,2.8189,5.0414,7.7206,2.0332,724.4752,3.8734,12.5,0.2525,4.32,2.3592,10.9671
101,1.0108,9.5313,13.65,7.35,3.2082,0.2913,3.7494,10.605,9.8576,1.1861,717.4775,5.4589,7.93,0.1562,2.4933,1.4934,6.5484
102,0.9699,9.5094,4.97,10.99,3.8545,0.2785,1.5865,10.1992,3.4666,1.7374,728.4936,6.6506,420.24,1.4316,116.2324,76.326,66.455
103,0.5897,10.3441,7.3,7.12,2.3694,0.1709,1.8985,5.7004,5.1448,1.1307,724.9507,4.0307,9.6,0.3488,2.9717,1.8119,15.0423
104,0.2618,9.4655,5.64,11.42,4.2815,0.0932,1.8784,2.7661,3.9831,1.8142,725.682,7.2571,8.14,0.3811,2.8505,1.521,15.3228
105,0.3543,10.3933,3.85,10.95,2.8887,0.1103,1.273,3.4092,2.6689,1.7571,715.1313,4.9618,8.3,0.2425,2.8582,1.5539,14.4851
106,0.2641,9.4541,6.78,15.66,2.6602,0.0945,2.1173,2.7939,4.9274,2.4865,729.5193,4.5041,9.7,0.3356,3.349,1.8173,14.2763
107,0.2872,9.8652,5.27,9.84,2.9365,0.0851,1.9151,2.9116,3.6619,1.5716,718.1612,5.012,7.09,0.3834,2.4813,1.321,15.7964
108,0.2697,9.4543,3.48,9.49,2.4444,0.0924,1.2255,2.853,2.3747,1.513,718.251,4.1837,8.1,0.2206,2.7748,1.5082,12.0111
109,0.2608,10.3001,3.69,15.37,31.7855,0.0854,1.3289,2.5319,2.6663,2.4149,737.5661,56.7734,7.57,0.3447,2.6985,1.4113,14.1369
110,4.964,10.7339,6.69,23.14,2.4227,1.7788,2.2327,46.2461,4.7247,3.7092,722.7813,4.1902,6.1,0.3432,1.9274,1.1494,13.3049
111,4.5787,10.077,4.86,10.03,3.2859,1.5697,1.6491,45.4373,3.3546,1.6041,717.193,5.6305,8.09,0.2669,2.9137,1.5168,12.64
112,1.0247,9.4815,6.15,19.98,4.0029,0.2971,1.7978,10.8073,4.1105,3.1761,720.7486,6.8926,8.42,0.2889,2.983,1.5742,11.2414
113,0.3833,10.2926,5.78,17.32,2.5798,0.1122,1.7839,3.7241,4.2988,2.7243,738.7691,4.3461,9.6,0.1361,3.4224,1.802,7.1763
114,0.2235,10.2747,7.56,11.64,2.8646,0.0764,2.2102,2.1751,5.5141,1.8599,722.6056,4.8337,8.26,0.3699,2.9867,1.561,15.5013
115,0.9413,9.4372,6.13,11.67,2.664,0.2736,1.8027,9.9739,4.5505,1.8093,757.4377,4.4952,11.6,0.2934,4.1584,2.1797,12.8759
116,0.2947,10.286,8.29,15.37,2.3568,0.0885,2.6831,2.8651,5.9449,2.4286,730.2308,3.9829,9.72,0.2309,3.4589,1.8132,9.8559
117,0.4607,10.4161,5.24,8.31,2.0821,0.1348,1.6542,4.4233,3.6175,1.3193,722.3498,3.5963,7.77,0.2937,2.7984,1.4504,13.663
118,0.377,10.3131,2.24,11.37,2.2854,0.1134,0.7474,3.6558,1.5827,1.798,728.3413,3.8732,11.5,0.3543,4.0972,2.1597,16.0474
119,0.3267,9.1952,6.91,12.8,2.3293,0.1116,2.143,3.553,5.1031,1.9841,756.1597,3.9418,5.95,0.4257,1.9688,1.1157,17.5068
120,0.2312,10.3346,5.23,12.28,4.9052,0.0786,1.5603,2.2371,3.7424,1.9577,723.9348,8.788,10.2401,0.2349,3.7078,1.9369,10.1049
121,0.326,10.2041,5.29,12.16,2.899,0.0916,1.6546,3.1943,3.9654,1.8894,757.4636,5.0099,8.98,0.1733,2.7725,1.684,8.6565
122,0.8435,10.786,5.13,15,5.1939,0.2397,1.559,7.8207,3.7329,2.3685,734.619,9.026,10.89,0.3306,3.1054,2.0369,15.2143
123,0.4253,10.3635,5.93,14.27,4.9091,0.1218,2.0332,4.1033,4.217,2.243,734.6738,8.8862,9.61,0.1815,3.3143,1.7913,8.6062
124,4.2943,9.5521,9.31,24.98,1.8931,1.3493,2.8645,44.9567,6.6792,3.8958,745.7312,3.3146,8.46,0.4406,2.9183,1.5902,18.6118
125,0.3601,10.1442,6.9,14.72,2.9052,0.1198,2.0871,3.5503,4.904,2.3392,724.8805,4.9266,10.21,0.3855,3.6026,1.9128,15.4743
126,0.321,9.1855,7.04,11.85,5.2692,0.1051,1.962,3.4952,5.4787,1.8562,755.7444,9.1305,9.05,0.3143,3.3063,1.692,13.0895
127,0.3355,10.5682,10.9,23.6,1.9704,0.1249,3.3941,3.1751,7.7698,3.6757,746.4299,3.3972,8.6801,0.3008,2.8702,1.6306,11.7957
128,0.3854,9.6527,6.6,22.27,2.1781,0.1116,2.1069,3.993,4.6926,3.5788,721.5494,3.6522,8.52,0.3505,3.0246,1.6184,14.5906
129,1.4245,9.6506,6.1,11.53,2.1255,0.4261,2.1435,14.7607,4.2694,1.8018,735.1052,3.8037,9.57,0.3005,3.1047,1.7921,12.1324
130,0.3826,10.3046,3.99,12.28,4.8794,0.1125,1.3364,3.7126,2.8684,1.953,725.6008,8.8842,8.3,0.2815,2.7495,1.5612,12.1582
131,0.9728,9.7109,4.65,11.76,2.2887,0.2771,1.6364,10.0179,3.2576,1.8644,725.3678,3.8883,11.21,0.562,3.6972,2.1264,23.5428
132,0.7696,10.4655,6.24,16.99,3.4781,0.2227,1.712,7.3534,4.4107,2.6595,736.3145,5.8874,11.39,0.8681,3.8566,2.1383,39.8075
133,0.7521,9.3766,4.22,12.8,2.2393,0.2147,1.5372,8.0213,2.9597,2.028,725.8835,3.7615,6.43,0.2673,2.3013,1.2283,14.6817
134,0.8045,9.7499,6.08,9.27,1.9131,0.2369,1.8983,8.2509,4.374,1.4571,734.1486,3.2332,283.03,0.4809,104.372,60.6656,19.3194
135,0.2028,9.7481,5.09,8.96,5.3078,0.0686,1.4489,2.0802,3.4276,1.4098,725.7848,9.2788,11.32,0.2306,3.9875,2.1135,11.2782
136,0.6257,10.7572,6.97,8.38,2.296,0.183,2.0312,5.8167,4.7837,1.3339,719.4866,3.9133,6.29,0.3894,2.1771,1.1838,15.9735
137,0.3967,9.9339,2.78,14.04,2.3168,0.1158,1.0163,3.9936,1.9417,2.2125,729.7445,3.9287,11.73,0.3447,4.2207,2.2064,15.0908
138,0.5702,9.712,4.45,14.15,2.3795,0.1633,1.4323,5.8709,3.256,2.2676,721.4682,4.0385,7.95,0.4383,2.9281,1.4949,20.9802
139,0.4961,9.4602,5.84,12.72,2.8937,0.1523,1.6582,5.2436,4.167,2.0087,729.8999,4.8901,9.84,0.3066,3.4939,1.8387,12.4093
140,0.3871,10.0681,9.12,25.58,2.7883,0.1142,2.6862,3.8452,6.6195,4.003,743.6618,4.6578,10.13,0.2431,3.5979,1.8952,10.039
141,0.2606,10.1625,5.4,23.99,2.2746,0.0862,1.6865,2.5644,3.9038,3.7612,742.4229,3.7986,10.13,0.2431,3.5979,1.8952,10.039
142,0.4609,10.4762,4,12.48,2.3197,0.1338,1.1426,4.3994,2.7962,1.9677,729.4859,3.9321,8.84,0.5306,2.7997,1.64,20.8257
143,0.3807,10.1297,3.54,24.98,2.2562,0.1234,1.1828,3.7578,2.5079,4.0253,718.6354,3.7779,11.94,0.2735,4.3037,2.2473,11.8756
144,1.4114,10.6526,9.19,18.95,2.984,0.4506,2.6989,13.249,6.3766,3.0109,727.1951,5.0598,12.21,0.4722,4.1053,2.2977,20.6127
145,0.3474,10.098,6.11,17,2.9045,0.113,1.786,3.4408,4.2397,2.6695,732.6516,4.9249,8.74,0.4067,3.1845,1.6299,16.7075
146,0.2094,9.7663,3.1,8.13,5.1503,0.0734,0.9241,2.1438,2.101,1.3013,712.9419,9.0482,7.11,0.3043,2.3687,1.3334,13.1074
147,0.7921,10.5235,12.85,14.46,2.123,0.2225,3.4751,7.5268,9.1531,2.2892,729.5724,3.6354,8.27,0.1878,2.9437,1.5389,9.2038
148,0.4443,10.54,7.74,27.09,4.7228,0.1284,2.2266,4.2151,5.4963,4.216,747.241,8.1736,11.47,0.3232,3.7981,2.1591,13.3699
149,0.7133,10.4996,4.73,10.49,2.3059,0.2101,1.5471,6.7938,3.3396,1.6659,726.0428,3.8659,8.29,0.2435,2.9696,1.5497,13.5286
150,0.5644,10.1964,4.12,21.73,1.5538,0.1677,1.374,5.5351,2.9114,3.414,738.4955,2.7699,10.13,0.2431,3.5979,1.8952,10.039
151,0.4971,10.5284,7.79,23.25,2.5006,0.1445,2.4006,4.7212,5.4522,3.736,719.3697,4.3512,11.18,0.2652,3.933,2.1088,12.4612
152,0.3774,9.9372,4.98,10.54,2.1983,0.1125,1.6633,3.7977,3.5213,1.681,722.1884,3.796,8.7,0.2955,3.0409,1.6335,14.338
153,0.2897,9.6793,7.15,12.64,1.7951,0.084,2.1513,2.9927,4.9515,2.0068,724.3986,3.2141,9.08,0.1497,3.0504,1.6996,7.6104
154,0.8158,10.7177,6.32,9.41,2.9093,0.2329,1.7369,7.6113,4.277,1.4895,721.505,5.0191,8.1,0.1188,2.8442,1.5138,5.1798
155,0.8296,10.7668,6.1,20.96,2.9933,0.239,1.6726,7.7053,4.5354,3.2551,755.7826,5.0791,9.08,0.2787,3.1635,1.7099,12.3326
156,3.4012,10.5142,5.05,15.51,2.9372,1.0531,1.7496,32.3491,3.5037,2.4588,724.4406,4.9197,6.99,0.3379,2.4866,1.3075,15.382
157,1.6223,8.0711,3.84,15.5,4.5096,0.5074,1.0947,20.0998,2.7262,2.4189,740.0988,7.6318,10.45,0.3497,3.559,1.9517,14.5937
158,0.4411,9.8767,6.48,20.22,2.9257,0.1331,1.6939,4.4661,4.7363,3.1239,757.5634,4.961,6.11,0.3094,1.9061,1.1399,14.0347
159,0.367,9.4522,7.1,23.69,2.4838,0.1125,2.2704,3.8829,4.9119,3.6962,743.6965,4.3427,11.58,0.5262,3.8397,2.1825,23.0452
160,0.9568,9.6394,9.23,15.04,2.7749,0.2807,2.8984,9.9254,6.3666,2.3659,733.5702,4.8268,5.7,0.3433,2.0622,1.0653,15.0191
161,0.2031,9.9547,5.64,26.08,2.6468,0.0721,1.5751,2.0407,3.9926,4.0702,745.329,4.3621,8.01,0.423,2.9007,1.491,17.4104
162,0.4145,9.7123,5.49,16.69,1.7796,0.1231,1.5571,4.2676,3.7774,2.6121,738.3333,2.9491,5.72,0.435,1.8879,1.0688,19.0155
163,0.7895,10.2585,3.6,10.13,2.2528,0.2295,1.3365,7.6957,2.564,1.613,724.4843,3.785,439.05,1.2098,137.833,85.9341,69.196
164,0.4782,10.5147,10.94,16.82,1.3286,0.1376,3.5747,4.5476,7.7327,2.6417,736.8024,2.384,10.13,0.2431,3.5979,1.8952,10.039
165,0.8593,9.4018,8.74,18.97,4.7034,0.2345,2.8096,9.14,6.5657,2.9737,748.9484,7.9756,6.58,0.3535,2.1365,1.234,14.6325
166,0.3765,9.6762,9.04,16.12,1.7372,0.1104,2.7623,3.8914,6.2623,2.5263,736.7293,3.0947,6.01,0.3576,2.0467,1.1234,15.2689
167,0.3703,9.4154,8.27,18.11,3.0988,0.1143,2.4886,3.9329,5.8629,2.8469,740.3189,5.3504,9.84,0.2547,3.6718,1.8506,10.6375
