,F152,F153,F159,F16,F185,F187,F198,F200,F201,F21,F252,F26,F273,F287,F319,F32,F321,F33,F334,F337,F34,F35,F39,F4,F407,F411,F413,F425,F426,F457,F459,F46,F470,F471,F474,F476,F524,F572,F573,F574,F576,F577
10,0.4291,0.0183,5655,10.2918,3.04,18.95,0.477,17.24,4.07,-2727.5,2.6472,0.8847,18.0919,0.1211,6.2918,84.7569,0.8803,8.659,0.1202,1.0726,50.153,64.1114,118.6128,1.3204,1.1704,2.419,8.7145,4.1698,1.8942,2.2007,3.0341,723.2513,4.4961,9.4525,39.6661,24.5336,4.5221,9.5699,0.2723,3.3618,1.7983,14.5507
11,0.4533,0.0167,2352,10.113,7.17,23.08,0.746,13.78,2.08,-6097.75,3.064,1.7695,16.6372,0.1335,10.6289,85.4274,1.7992,9.6234,0.2879,0.6579,50.4893,63.9315,117.419,0.9959,1.6248,2.3541,27.8475,4.4827,1.725,5.2408,3.5979,749.2445,7.6268,11.0886,31.0008,51.7796,5.1428,7.74,0.28,2.8659,1.4501,12.8058
12,0.5815,0.0186,971,9.5007,8.33,13.64,0.747,17.96,7.11,-5521.25,3.4391,2.0107,18.0919,0.1709,6.8271,84.9105,2.3822,8.6789,0.2175,1.9911,50.51,64.1125,117.0442,1.3204,0.8583,2.419,8.7145,6.1204,1.9245,6.0288,2.136,740.1569,7.6114,7.7847,45.2117,24.1399,5.8568,9.95,0.1291,2.6544,1.8767,6.5577
13,0.3514,0.0341,2413,10.4109,5.02,14.76,0.279,12.63,3.57,-6069.75,3.179,1.7822,17.5461,0.1035,6.2531,83.7998,1.309,8.7977,0.0816,1.1474,50.4285,64.202,116.536,1.4668,1.2284,2.4171,9.2374,3.3751,3.5863,3.638,2.3752,723.0309,2.645,9.5918,13.9898,6.6225,5.3373,9.93,0.2785,3.441,1.8622,12.4598
14,0.8038,0.014,5726,9.7825,9.59,19.25,0.491,17.34,3.91,-1431.5,3.8517,0.439,22.6271,0.2881,6.6228,85.0922,2.8768,9.2007,0.1525,1.2491,50.1899,64.2199,118.2566,1.2924,1.2284,2.8814,13.7861,8.2173,1.4406,6.9999,3.0576,732.4237,4.699,6.1078,22.3212,15.768,6.8096,11.42,0.3692,3.7724,2.144,16.1875
15,0.6427,0.0105,5803,9.5917,5.36,18.32,0.613,10.4,3.1,-2694.75,4.8847,0.8882,22.6271,0.2181,6.8385,85.0922,2.0794,9.2007,0.1685,1.0242,50.1899,64.2199,118.2566,1.2924,0.8041,2.8814,13.7861,6.7005,1.0833,3.9388,2.9078,734.8382,6.0357,6.137,23.2655,21.0437,8.5439,8.53,0.3049,2.8829,1.5911,13.1895
16,0.3917,0.0137,601,9.1999,6.87,17.15,1.183,15.7,2.59,-5757.25,2.7255,2.0055,17.4686,0.1247,7.0729,86.3472,1.7471,9.1283,0.356,0.6749,50.1869,64.0917,122.0886,1.395,0.8041,2.1143,44.9094,4.2581,1.4197,4.9191,2.644,755.3431,11.5505,7.5067,13.101,20.9306,4.6061,8.43,0.2364,2.766,1.5675,11.1971
17,0.455,0.0126,1653,9.4147,3.21,15.2,1.148,11.45,4.9,-5612.5,2.9492,1.7835,17.4686,0.1376,7.2303,85.0465,1.0938,8.5762,0.3114,1.4931,50.0595,63.8294,117.7632,1.395,0.8041,2.1143,44.9094,4.8332,1.3003,2.2909,2.3405,756.6351,11.4517,6.2616,14.7892,10.2185,5.0285,10.26,0.4839,3.5183,1.9291,22.148
18,0.4062,0.0142,1036,9.847,4.14,16.88,0.44,17.69,5.3,-5575.25,2.793,1.9803,29.3685,0.1433,6.9173,85.3498,1.4088,8.6397,0.1316,1.7522,50.6324,64.1999,117.674,1.2043,0.7969,3.3841,25.4663,4.1254,1.4616,2.9207,2.6103,749.7516,4.3102,7.2194,25.9254,13.6881,4.6954,6,0.3148,2.3022,1.1273,13.7941
19,0.3257,0.0146,906,10.1924,6.66,13.16,0.89,10.43,6.25,-5469.25,2.3663,2.0157,18.0418,0.0976,6.7628,84.9105,1.8735,8.6789,0.2498,1.7887,50.51,64.1125,117.0442,1.5509,0.7969,2.1369,30.3788,3.1952,1.5012,4.9429,2.0796,734.4697,8.6183,7.952,34.3784,32.1569,4.0018,7.81,0.2811,2.2358,1.4608,13.6183
20,0.4476,0.017,227,9.7659,6.88,16.41,0.9,11.21,4.46,-5441,3.36,1.97,20.44592698,0.1466,6.6868,85.7939,2.5039,8.6572,0.2957,1.5802,50.2073,63.9008,117.2894,-1.909636328,0.7969,2.718136851,24.56446311,4.583,1.7554,5.0545,2.5459,753.9565,9.0538,6.2285,23.0478,24.9484,5.7122,6.86,0.3007,2.4529,1.2913,13.5856
21,0.3507,0.0167,1001,10.3503,6.16,15.4,0.863,17.51,5.9,-5434,3.447,2.0095,29.3685,0.1078,7.1292,85.3498,2.0232,8.6397,0.2963,1.8395,50.6324,64.1999,117.674,1.2043,0.7969,3.3841,25.4663,3.3881,1.7251,4.5117,2.3859,755.3269,8.5785,5.985,23.945,16.926,5.8732,8.1,0.206,2.8482,1.5279,9.9804
22,0.2777,0.0142,668,10.3647,6.37,17.45,1.069,16.13,5.81,-5310.25,3.2127,1.9715,29.3685,0.0829,6.8796,85.3498,1.7676,8.6397,0.2906,1.8127,50.6324,64.1999,117.674,1.2043,1.1525,3.3841,25.4663,2.6793,1.4638,4.4208,2.6806,754.3495,10.6502,5.0569,25.8266,25.8499,5.451,7.49,0.2964,2.6843,1.4181,12.6981
23,2.0334,0.0149,5665,8.8407,4.54,16,0.893,16.72,3.34,-2664.25,3.8766,0.8915,25.2088,0.5969,6.9612,85.0922,1.5733,9.2007,0.244,0.9001,50.1899,64.2199,118.2566,1.4022,1.3173,3.6059,11.4366,23.0001,1.5379,3.3049,2.5232,737.734,8.7833,5.8277,18.9409,36.3944,6.8185,8.76,0.1682,3.1106,1.6343,8.4505
24,0.5142,0.0037,5366,9.5066,6.21,15.55,0.238,11.37,3.32,-2681.75,3.2675,0.8862,25.652,0.1881,6.1235,84.0432,1.614,8.7487,0.0642,1.2514,50.2849,64.3732,118.7784,1.2639,1.3121,3.0582,9.1854,5.4093,0.3813,4.4525,2.4512,736.8018,2.2761,10.3624,16.1328,11.4665,5.5411,7.17,0.4183,2.6206,1.3383,18.8142
25,0.3428,0.0214,5913,9.747,6.39,12.16,0.385,11.35,4.84,-2706,2.6365,0.8895,17.2584,0.1019,6.4657,85.0716,1.9739,8.6942,0.1225,1.4067,50.5287,64.3976,118.0626,1.4918,0.9718,2.4411,41.8356,3.5169,2.24,4.3949,1.9197,726.0669,3.6417,4.8438,19.6543,11.383,4.4577,9.25,0.2794,2.9887,1.7367,12.4036
26,0.388,0.0213,542,9.8198,3.7,25.5,0.216,19.84,5.3,-5611.75,2.3593,2.0137,17.2584,0.1158,10.1805,84.9052,1.1113,9.7997,0.0696,1.6294,50.6596,64.2828,118.1188,1.4918,0.9718,2.4411,41.8356,3.9517,2.2223,2.5787,4.0898,720.3336,1.9859,7.1962,23.4105,15.2357,4.0167,5.4,0.4222,1.7463,1.018,18.2982
27,3.4114,0.0123,455,10.215,5.92,16.31,0.726,13.36,6.52,-5369,4.9397,2.0017,20.7635,1.2112,5.722,84.3324,1.9211,8.9336,0.2409,2.0018,50.5527,64.2529,116.7828,1.3548,1.5844,3.0049,58.1134,33.3963,1.2655,4.4485,2.5505,751.0793,7.5001,6.4521,35.6874,15.6314,8.4235,9.37,0.238,3.3671,1.7732,10.2289
28,0.4089,0.0214,724,9.7745,6.21,13.77,0.866,14.76,6.34,-5217.5,2.381,1.802,21.5914,0.1208,5.6101,84.7166,1.5014,8.8388,0.2944,2.1842,50.3916,64.1968,111.7128,0.8614,0.9718,2.7756,32.5015,4.1837,2.2383,4.6463,2.1406,755.6347,9.0132,7.2863,27.0808,25.4735,4.1013,7.41,0.4414,2.5665,1.4217,19.4047
29,0.9961,0.017,252,8.6625,7.22,17.27,1.007,9.73,6.59,-5416,2.6898,1.9817,24.2952,0.3014,6.1586,85.6039,2.3151,8.7588,0.2772,1.6941,50.179,64.1668,118.6704,1.2998,1.131,3.0729,15.6991,11.4986,1.7651,5.4124,2.7445,739.2852,9.8157,11.4559,23.6173,15.6131,4.752,8.78,0.4072,3.1722,1.643,18.1292
30,0.3989,0.019,535,9.8631,5.18,16.59,0.361,18.72,8.94,-5500.5,2.9025,1.9888,22.8867,0.1221,6.4394,101.9072,1.6487,23.3453,0.1288,2.5845,57.6663,74.7081,126.5662,1.2569,1.5844,2.9065,10.2758,4.0441,1.9758,3.663,2.6381,723.714,3.4838,6.7643,81.9273,20.2372,4.937,7.73,0.2625,2.6984,1.4574,12.0275
31,0.446,0.0213,310,9.75,7.96,15.68,0.937,12.78,5.43,-5497.75,2.1927,1.9773,24.2952,0.1336,6.6218,83.9737,2.4309,8.8033,0.2914,1.5435,50.3329,64.485,118.6328,1.2998,0.9718,3.0729,15.6991,4.5748,2.2207,5.8911,2.4867,739.5598,9.1041,11.5871,13.0432,11.957,3.9184,7.95,0.219,2.9829,1.4909,9.6586
32,1.4992,0.0117,671,9.7447,6.49,15.65,0.236,20.02,8.69,-5507.75,4.2653,1.9745,27.2402,0.4608,6.6352,86.3472,1.7739,9.1283,0.0766,2.1732,50.1869,64.0917,122.0886,1.3015,1.0398,3.345,6.881,15.3844,1.205,4.4997,2.4771,726.2285,2.1856,5.2224,33.4064,12.268,7.2939,10.86,0.2539,3.5623,2.024,11.551
33,2.8455,0.0124,5575,9.672,7.55,16.98,0.251,13.99,2.4,-2622.5,4.441,0.8912,27.2402,0.9118,6.8639,85.6591,2.1524,8.8249,0.0838,0.7509,50.3878,64.1536,118.3554,1.3015,1.0398,3.345,6.881,29.4205,1.2699,5.146,2.6937,720.9909,2.3479,5.0256,27.4778,11.4741,7.5934,11.79,0.2879,4.1245,2.2271,13.4859
34,1.2511,0.0161,2058,9.6398,5.61,10.35,0.938,17.57,7.17,-6010.25,2.4406,1.7778,22.4075,0.4032,5.8721,84.3324,1.8478,8.9336,0.3381,2.3754,50.5527,64.2529,116.7828,1.2414,1.131,3.1413,22.3298,12.9785,1.668,4.1247,1.5944,760.2925,9.8176,8.63,29.3666,14.6363,4.3199,8.09,0.3806,2.5269,1.5277,16.6904
35,0.2675,0.0126,531,10.4472,4.66,16.98,0.313,11.75,6.02,-5548,2.8954,2.0092,22.8867,0.0826,7.133,85.2487,1.6215,10.0686,0.0874,1.8141,50.6755,64.3085,117.7568,1.2569,1.0398,2.9065,10.2758,2.5606,1.3012,3.2619,2.6435,742.0584,2.9163,7.8205,15.4172,11.4604,4.8923,5.2,0.3427,1.8732,0.9783,15.1794
36,4.0045,0.0086,5448,10.499,3.17,13.55,0.746,16.75,6.62,-1362,3.6863,0.4407,20.2382,1.2261,5.7967,85.6039,0.9763,8.7588,0.2558,2.003,50.179,64.1668,118.6704,1.1981,1.131,3.0137,58.5671,38.142,0.8767,2.3678,2.1092,754.1593,7.6636,7.4159,33.3534,15.7751,6.4223,10.9,0.2799,3.6701,2.0459,11.6384
37,4.2234,0.0154,617,9.4864,8.17,16.57,1.249,17.24,6.9,-5452.75,4.9502,1.9728,20.1876,1.1949,5.8909,85.6039,2.4952,8.7588,0.3536,1.9675,50.179,64.1668,118.6704,1.1758,1.131,3.0335,24.1036,44.5204,1.6027,6.0304,2.6271,738.7487,12.1198,11.3992,19.4709,19.67,8.4774,10.35,0.2681,3.3656,1.939,11.8467
38,1.0515,0.0063,73,9.7739,4.36,13.74,0.912,19.62,3.35,-5493.75,2.6639,2.0135,20.7992,0.3218,6.4567,84.7569,1.4851,8.659,0.3398,1.2445,50.153,64.1114,118.6128,1.4431,1.131,3.0504,45.2554,10.758,0.6467,3.1685,2.1532,740.5161,9.1568,8.1255,37.7319,32.3644,4.4824,7.03,0.2962,2.2791,1.3166,15.6351
39,0.6573,0.0149,168,9.8035,5.5,14.45,0.284,25.1,9.39,-5525.5,4.2471,2.0092,20.8461,0.2061,6.1395,101.9072,1.705,23.3453,0.0736,2.708,57.6663,74.7081,126.5662,1.2412,0.8497,2.7979,9.5426,6.7043,1.5383,3.7973,2.2871,726.7451,2.6982,5.9709,52.1369,13.8372,7.2761,6.23,0.2696,2.3065,1.1708,12.147
40,5.2486,0.0125,1848,9.5543,5.63,17.18,0.796,17.38,3.93,-5085.25,2.7806,1.9875,20.2941,1.596,5.9578,84.6216,1.798,9.1585,0.3098,1.2764,50.3138,64.4425,122.4028,1.1878,1.131,3.0429,43.2564,54.9343,1.2867,4.2055,2.672,755.293,8.1671,5.9343,32.0013,20.4473,4.8304,12.21,0.2089,4.2202,2.2711,9.4847
41,0.361,0.0186,72,10.0255,6.45,23.38,0.402,18.21,6.14,-5626.25,3.1004,1.987,24.2952,0.1038,10.1341,85.0724,2.0617,8.6074,0.1103,1.8877,50.5378,64.0172,117.8088,1.2998,1.0398,3.0729,15.6991,3.601,1.9298,4.4698,3.7467,719.8578,3.7213,7.3418,26.2688,15.7423,5.2913,6.59,0.4211,2.2226,1.2402,17.0149
42,0.3301,0.0171,2867,10.0005,5.87,18.51,0.192,12.85,4.94,-6033.25,2.5999,1.97,24.2952,0.0966,6.8452,85.6626,1.7461,9.1502,0.0671,1.5529,50.2288,64.1871,119.3708,1.2998,1.0398,3.0729,15.6991,3.3008,1.7789,4.0222,2.9432,721.6429,1.7599,7.9705,19.9216,11.7079,4.4178,10.43,0.2991,3.5751,1.9574,12.9236
43,0.5256,0.0136,723,10.194,4.81,13.62,0.793,16.06,15.93,-5415.75,2.3474,2.0063,20.4695,0.1824,5.915,84.1874,1.4975,10.6376,0.2551,4.4892,50.6882,64.7132,118.8356,1.0455,0.424,2.7358,46.3425,5.1562,1.3993,3.5655,2.1143,755.4825,8.3426,5.87,56.7309,21.6098,4.0099,12.19,0.2601,3.8966,2.3094,12.0422
44,0.3377,0.0173,7569,10.1081,6.86,20.2,0.323,23.16,3.49,-4731,4.0153,1.3322,18.9326,0.1023,10.6642,84.6216,2.4251,9.1585,0.0986,1.2495,50.3138,64.4425,122.4028,1.0647,0.8501,2.4602,46.276,3.3407,1.7925,4.7771,3.2035,729.1235,3.0055,7.8156,19.4796,29.2477,6.9621,11.62,0.1839,3.7648,2.1694,8.2142
45,0.3856,0.0168,299,10.0934,5,22.24,0.449,21.82,10.53,-5546.5,3.976,1.9992,18.9326,0.1107,10.1112,84.1874,1.7826,10.6376,0.123,3.3789,50.6882,64.7132,118.8356,1.0647,0.8501,2.4602,46.276,3.8203,1.7323,3.5139,3.582,718.1845,4.0825,11.8626,19.0472,26.1277,6.9295,8.67,0.5747,2.9727,1.6406,26.5739
46,0.4858,0.0129,7600,10.6454,3.68,23.87,0.346,21.91,6.81,-3281,3.8427,0.8885,18.9326,0.1418,11.0873,84.0432,1.103,8.7487,0.0923,1.8839,50.2849,64.3732,118.7784,1.0647,0.7601,2.4602,46.276,4.5631,1.3234,2.582,3.8009,726.5571,3.2174,7.7587,25.4083,9.78,6.6657,12.3,0.3127,4.0631,2.3209,14.3755
47,2.1687,0.0213,7653,9.7465,7.52,17.82,1.019,18.15,9.47,-4667.25,2.6422,1.3305,18.9326,0.5958,6.7794,85.0922,2.674,9.2007,0.2889,2.6361,50.1899,64.2199,118.2566,1.0647,0.7601,2.4602,46.276,22.2512,2.2069,5.5184,2.8335,732.7769,10.0267,4.7941,49.7653,18.4388,4.5069,10.31,0.5791,3.6023,1.9319,27.0589
48,0.7397,0.0145,109,9.7807,4.23,13.19,0.28,21.28,9.5,-5300.25,3.7145,2.0105,20.8461,0.2253,5.6056,101.9072,1.3072,23.3453,0.098,2.6724,57.6663,74.7081,126.5662,1.2412,0.8497,2.7979,9.5426,7.5628,1.4986,3.003,2.0991,722.9962,2.6712,4.1046,69.586,36.8704,6.3972,7.23,0.3743,2.5312,1.3616,17.0935
49,0.5254,0.0148,760,10.2702,4.53,22.73,0.288,12.39,6.68,-5553,2.7385,2.0433,20.4695,0.1512,10.5917,84.3585,1.4141,8.7495,0.0907,1.6202,50.4362,64.2234,117.7078,1.0455,0.8501,2.7358,46.3425,5.1159,1.525,3.2283,3.6637,720.0985,2.7678,7.4755,34.1144,27.3414,4.6927,6.43,0.1643,2.3127,1.2057,7.9429
50,0.3621,0.0159,157,10.0409,7.58,21.39,0.373,22.08,5.09,-5394,4.2139,2.0032,18.5335,0.1051,10.5646,101.9072,2.0483,23.3453,0.0951,1.4343,57.6663,74.7081,126.5662,1.3658,0.8501,2.4943,12.5191,3.6058,1.6462,5.2861,3.425,721.845,3.5637,8.9455,37.7838,8.4811,7.224,6.59,0.5991,2.3055,1.2361,25.4953
51,0.4435,0.0183,5391,10.2057,3.73,12.71,0.407,13.48,5.57,-2575.5,4.3934,0.892,20.1408,0.1302,6.5515,84.0432,1.2308,8.7487,0.1107,1.7117,50.2849,64.3732,118.7784,1.4095,1.3416,2.6506,8.9819,4.3457,1.8979,2.5873,2.0155,725.3556,3.7849,7.164,25.0882,10.2747,7.443,9.29,0.4009,3.2968,1.7389,15.9673
52,0.3739,0.0146,785,10.7124,5.13,14.03,0.165,24.07,18.99,-5175.5,2.6724,2,18.9326,0.119,5.1302,84.1874,1.6207,10.6376,0.0528,5.665,50.6882,64.7132,118.8356,1.0647,1.3416,2.4602,46.276,3.4904,1.5114,3.6079,2.2007,734.3141,1.4896,12.9409,43.0024,53.9517,4.5557,7,0.4128,2.5006,1.3186,18.8331
53,0.4566,0.0117,444,10.6441,5.8,15.53,0.324,8.34,5.62,-5545,4.2871,1.9772,18.5335,0.1314,6.7101,85.6591,1.6395,8.8249,0.093,1.7168,50.3878,64.1536,118.3554,1.3658,0.7601,2.4943,12.5191,4.2893,1.2029,3.9746,2.454,724.3436,3.027,7.7033,19.8739,15.2503,7.3053,8.74,0.35,3.1643,1.6412,16.3088
54,4.5487,0.0123,7657,10.3876,7.07,19.75,0.313,15.21,9.7,-4520.75,4.4631,1.3458,20.1408,1.3404,10.5399,85.1197,2.3431,9.1784,0.1013,2.6478,50.2165,64.229,118.771,1.4095,0.7601,2.6506,8.9819,43.7898,1.2708,5.0955,3.188,719.1008,2.9013,8.2032,44.7657,20.0194,7.5376,8.28,0.3146,2.7718,1.547,13.3972
55,0.4471,0.0196,540,10.2718,5.89,23.65,0.338,17.58,9.27,-5683.75,2.5649,1.9597,18.9326,0.1304,10.6396,85.1197,1.6443,9.1784,0.0924,2.3331,50.2165,64.229,118.771,1.0647,0.7601,2.4602,46.276,4.3527,2.0277,4.1214,3.7983,719.2135,3.2193,7.1568,39.1888,13.6513,4.4039,8.0699,0.1547,2.9084,1.5067,6.5522
56,0.3681,0.0116,682,10.68,5.6,13.4,0.328,13.79,4.99,-5460.5,3.1095,2.031,23.3248,0.1136,6.5963,85.794,1.8583,8.7599,0.1024,1.6657,50.3802,63.9715,117.6882,1.2691,1.5117,3.2721,36.9824,3.447,1.1893,4.0483,2.1413,723.7783,3.0952,4.2375,25.6694,12.7209,5.2615,9.27,0.2912,2.7639,1.728,14.4755
57,0.704,0.0165,5475,9.9522,8.03,18.78,0.175,26.55,13.67,-1368.75,3.2904,0.4425,20.3731,0.2117,10.5768,84.0432,2.3281,8.7487,0.0556,3.4954,50.2849,64.3732,118.7784,0.9799,1.3416,2.5272,87.4031,7.0742,1.6997,5.3855,2.9855,720.7304,1.587,15.5496,25.4693,26.5792,5.6104,9.32,0.3201,3.0902,1.7412,14.0012
58,4.5412,0.0145,7709,11.0203,5.88,14.12,1.322,13.73,6.08,-4490.5,2.3459,1.3438,21.3523,1.3642,6.2104,85.1197,1.867,9.1784,0.3653,1.7173,50.2165,64.229,118.771,1.1705,0.9207,3.0623,32.0435,41.2075,1.4902,4.406,2.2457,736.5657,13.0074,8.8195,19.135,25.6666,4.1913,8.22,0.2701,2.8877,1.54,12.0404
59,0.3814,0.0146,817,10.6095,4.65,22.84,0.269,16.31,5.21,-5433.25,4.3243,2.0187,27.2402,0.1156,10.4884,84.9052,1.7155,9.7997,0.0848,1.7462,50.6596,64.2828,118.1188,1.3015,1.0968,3.345,6.881,3.5953,1.4987,3.2196,3.6394,724.2424,2.5446,7.7944,28.3775,11.4323,7.4224,7.24,0.3292,2.1994,1.3661,14.2828
60,0.5429,0.0095,571,9.932,7.3,21.65,0.278,21.67,8.16,-5493.75,3.2252,1.9828,23.3248,0.1582,10.3384,84.1874,2.1986,10.6376,0.0859,2.5091,50.6882,64.7132,118.8356,1.2691,0.7814,3.2721,36.9824,5.4662,0.9742,5.1431,3.4844,719.0067,2.5436,12.9861,23.841,22.1802,5.452,8.58,0.2182,2.6533,1.6135,9.8604
61,0.4134,0.0076,5477,9.1397,5.46,10.23,0.839,19.73,12.86,-2597,4.1038,0.891,16.1845,0.1337,5.8927,85.6039,1.4898,8.7588,0.2402,3.8408,50.179,64.1668,118.6704,1.3872,1.4345,2.0355,37.5303,4.523,0.7779,4.0862,1.5811,761.9285,8.6976,4.5435,46.9959,17.365,6.8878,10.66,0.3075,3.6728,1.9897,15.0879
62,0.4882,0.0037,662,9.1557,5.02,15.29,0.293,11.61,3.75,-5507.5,2.3288,1.9905,23.3248,0.1533,5.727,85.794,1.5558,8.7599,0.0917,1.1841,50.3802,63.9715,117.6882,1.2691,1.4345,3.2721,36.9824,5.3318,0.376,3.5149,2.3984,733.3332,2.7431,7.5116,15.8463,11.9686,4.0078,7.39,0.3366,2.3288,1.3792,17.0532
63,0.3262,0.0169,1213,8.8833,6.41,22.01,0.191,19.75,4.28,-5667.5,4.9963,2.012,39.8882,0.1108,10.8535,85.8965,2.0266,9.2405,0.0502,1.2412,50.157,64.0502,119.2274,1.0997,1.1698,4.7897,37.7415,3.6722,1.7486,4.494,3.5046,725.9134,1.8023,7.7593,23.4308,9.0669,8.7073,6.24,0.4772,2.3507,1.1625,21.2281
64,0.4198,0.0079,599,9.1136,5.55,9.72,0.366,6.73,4.49,-5501.75,2.6554,2.0062,15.1427,0.1345,5.1001,84.3585,1.8775,8.7495,0.1015,1.4645,50.4362,64.2234,117.7078,1.4503,1.482,1.8514,26.8972,4.6062,0.8118,3.9653,1.5482,725.1731,3.3468,10.0731,9.349,9.6388,4.7819,9.7599,0.3866,3.2033,1.8338,16.3616
65,0.8201,0.0076,984,9.708,5.86,15.86,0.378,14.53,6.08,-5382.5,5.2175,2.01,19.6939,0.2252,6.4213,84.3585,2.047,8.7495,0.1131,1.9212,50.4362,64.2234,117.7078,1.0032,1.1366,2.5605,74.8659,8.4479,0.7839,4.1087,2.5107,728.2242,3.5232,6.2039,20.8641,12.2365,9.0887,6.14,0.4319,2.0163,1.1501,18.4846
66,0.454,0.0073,148,9.0959,5.58,13.2,0.368,9.52,3.3,-5659.25,2.2402,2.0077,19.6939,0.1424,5.4362,85.0856,1.8826,8.6324,0.116,1.1285,50.0906,64.1658,117.802,1.0032,1.1366,2.5605,74.8659,4.9912,0.7478,3.9183,2.0746,732.4176,3.4916,5.4215,14.249,15.1961,3.8713,6.98,0.2294,2.1543,1.2991,11.3646
67,0.4519,0.0107,489,9.118,4.24,15.62,0.188,20.42,7.02,-5349,5.5617,1.9663,19.6939,0.1434,7.1443,83.8746,1.3999,9.2658,0.0565,2.0921,50.2261,64.3328,119.104,1.0032,1.1366,2.5605,74.8659,4.9557,1.1005,2.8985,2.4698,724.3708,1.7526,6.2822,26.6698,35.7037,9.406,10.3,0.4444,3.522,1.9251,21.8407
