,F153,F159,F198,F200,F201,F21,F26,F319,F32,F33,F334,F337,F34,F35,F39,F407,F426,F470,F474,F476,F572,F573
10,0.0183,5655,0.477,17.24,4.07,-2727.5,0.8847,6.2918,84.7569,8.659,0.1202,1.0726,50.153,64.1114,118.6128,1.1704,1.8942,4.4961,39.6661,24.5336,9.5699,0.2723
11,0.0167,2352,0.746,13.78,2.08,-6097.75,1.7695,10.6289,85.4274,9.6234,0.2879,0.6579,50.4893,63.9315,117.419,1.6248,1.725,7.6268,31.0008,51.7796,7.74,0.28
12,0.0186,971,0.747,17.96,7.11,-5521.25,2.0107,6.8271,84.9105,8.6789,0.2175,1.9911,50.51,64.1125,117.0442,0.8583,1.9245,7.6114,45.2117,24.1399,9.95,0.1291
13,0.0341,2413,0.279,12.63,3.57,-6069.75,1.7822,6.2531,83.7998,8.7977,0.0816,1.1474,50.4285,64.202,116.536,1.2284,3.5863,2.645,13.9898,6.6225,9.93,0.2785
14,0.014,5726,0.491,17.34,3.91,-1431.5,0.439,6.6228,85.0922,9.2007,0.1525,1.2491,50.1899,64.2199,118.2566,1.2284,1.4406,4.699,22.3212,15.768,11.42,0.3692
15,0.0105,5803,0.613,10.4,3.1,-2694.75,0.8882,6.8385,85.0922,9.2007,0.1685,1.0242,50.1899,64.2199,118.2566,0.8041,1.0833,6.0357,23.2655,21.0437,8.53,0.3049
16,0.0137,601,1.183,15.7,2.59,-5757.25,2.0055,7.0729,86.3472,9.1283,0.356,0.6749,50.1869,64.0917,122.0886,0.8041,1.4197,11.5505,13.101,20.9306,8.43,0.2364
17,0.0126,1653,1.148,11.45,4.9,-5612.5,1.7835,7.2303,85.0465,8.5762,0.3114,1.4931,50.0595,63.8294,117.7632,0.8041,1.3003,11.4517,14.7892,10.2185,10.26,0.4839
18,0.0142,1036,0.44,17.69,5.3,-5575.25,1.9803,6.9173,85.3498,8.6397,0.1316,1.7522,50.6324,64.1999,117.674,0.7969,1.4616,4.3102,25.9254,13.6881,6,0.3148
19,0.0146,906,0.89,10.43,6.25,-5469.25,2.0157,6.7628,84.9105,8.6789,0.2498,1.7887,50.51,64.1125,117.0442,0.7969,1.5012,8.6183,34.3784,32.1569,7.81,0.2811
20,0.017,227,0.9,11.21,4.46,-5441,1.97,6.6868,85.7939,8.6572,0.2957,1.5802,50.2073,63.9008,117.2894,0.7969,1.7554,9.0538,23.0478,24.9484,6.86,0.3007
21,0.0167,1001,0.863,17.51,5.9,-5434,2.0095,7.1292,85.3498,8.6397,0.2963,1.8395,50.6324,64.1999,117.674,0.7969,1.7251,8.5785,23.945,16.926,8.1,0.206
22,0.0142,668,1.069,16.13,5.81,-5310.25,1.9715,6.8796,85.3498,8.6397,0.2906,1.8127,50.6324,64.1999,117.674,1.1525,1.4638,10.6502,25.8266,25.8499,7.49,0.2964
23,0.0149,5665,0.893,16.72,3.34,-2664.25,0.8915,6.9612,85.0922,9.2007,0.244,0.9001,50.1899,64.2199,118.2566,1.3173,1.5379,8.7833,18.9409,36.3944,8.76,0.1682
24,0.0037,5366,0.238,11.37,3.32,-2681.75,0.8862,6.1235,84.0432,8.7487,0.0642,1.2514,50.2849,64.3732,118.7784,1.3121,0.3813,2.2761,16.1328,11.4665,7.17,0.4183
25,0.0214,5913,0.385,11.35,4.84,-2706,0.8895,6.4657,85.0716,8.6942,0.1225,1.4067,50.5287,64.3976,118.0626,0.9718,2.24,3.6417,19.6543,11.383,9.25,0.2794
26,0.0213,542,0.216,19.84,5.3,-5611.75,2.0137,10.1805,84.9052,9.7997,0.0696,1.6294,50.6596,64.2828,118.1188,0.9718,2.2223,1.9859,23.4105,15.2357,5.4,0.4222
27,0.0123,455,0.726,13.36,6.52,-5369,2.0017,5.722,84.3324,8.9336,0.2409,2.0018,50.5527,64.2529,116.7828,1.5844,1.2655,7.5001,35.6874,15.6314,9.37,0.238
28,0.0214,724,0.866,14.76,6.34,-5217.5,1.802,5.6101,84.7166,8.8388,0.2944,2.1842,50.3916,64.1968,111.7128,0.9718,2.2383,9.0132,27.0808,25.4735,7.41,0.4414
29,0.017,252,1.007,9.73,6.59,-5416,1.9817,6.1586,85.6039,8.7588,0.2772,1.6941,50.179,64.1668,118.6704,1.131,1.7651,9.8157,23.6173,15.6131,8.78,0.4072
30,0.019,535,0.361,18.72,8.94,-5500.5,1.9888,6.4394,101.9072,23.3453,0.1288,2.5845,57.6663,74.7081,126.5662,1.5844,1.9758,3.4838,81.9273,20.2372,7.73,0.2625
31,0.0213,310,0.937,12.78,5.43,-5497.75,1.9773,6.6218,83.9737,8.8033,0.2914,1.5435,50.3329,64.485,118.6328,0.9718,2.2207,9.1041,13.0432,11.957,7.95,0.219
32,0.0117,671,0.236,20.02,8.69,-5507.75,1.9745,6.6352,86.3472,9.1283,0.0766,2.1732,50.1869,64.0917,122.0886,1.0398,1.205,2.1856,33.4064,12.268,10.86,0.2539
33,0.0124,5575,0.251,13.99,2.4,-2622.5,0.8912,6.8639,85.6591,8.8249,0.0838,0.7509,50.3878,64.1536,118.3554,1.0398,1.2699,2.3479,27.4778,11.4741,11.79,0.2879
34,0.0161,2058,0.938,17.57,7.17,-6010.25,1.7778,5.8721,84.3324,8.9336,0.3381,2.3754,50.5527,64.2529,116.7828,1.131,1.668,9.8176,29.3666,14.6363,8.09,0.3806
35,0.0126,531,0.313,11.75,6.02,-5548,2.0092,7.133,85.2487,10.0686,0.0874,1.8141,50.6755,64.3085,117.7568,1.0398,1.3012,2.9163,15.4172,11.4604,5.2,0.3427
36,0.0086,5448,0.746,16.75,6.62,-1362,0.4407,5.7967,85.6039,8.7588,0.2558,2.003,50.179,64.1668,118.6704,1.131,0.8767,7.6636,33.3534,15.7751,10.9,0.2799
37,0.0154,617,1.249,17.24,6.9,-5452.75,1.9728,5.8909,85.6039,8.7588,0.3536,1.9675,50.179,64.1668,118.6704,1.131,1.6027,12.1198,19.4709,19.67,10.35,0.2681
38,0.0063,73,0.912,19.62,3.35,-5493.75,2.0135,6.4567,84.7569,8.659,0.3398,1.2445,50.153,64.1114,118.6128,1.131,0.6467,9.1568,37.7319,32.3644,7.03,0.2962
39,0.0149,168,0.284,25.1,9.39,-5525.5,2.0092,6.1395,101.9072,23.3453,0.0736,2.708,57.6663,74.7081,126.5662,0.8497,1.5383,2.6982,52.1369,13.8372,6.23,0.2696
40,0.0125,1848,0.796,17.38,3.93,-5085.25,1.9875,5.9578,84.6216,9.1585,0.3098,1.2764,50.3138,64.4425,122.4028,1.131,1.2867,8.1671,32.0013,20.4473,12.21,0.2089
41,0.0186,72,0.402,18.21,6.14,-5626.25,1.987,10.1341,85.0724,8.6074,0.1103,1.8877,50.5378,64.0172,117.8088,1.0398,1.9298,3.7213,26.2688,15.7423,6.59,0.4211
42,0.0171,2867,0.192,12.85,4.94,-6033.25,1.97,6.8452,85.6626,9.1502,0.0671,1.5529,50.2288,64.1871,119.3708,1.0398,1.7789,1.7599,19.9216,11.7079,10.43,0.2991
43,0.0136,723,0.793,16.06,15.93,-5415.75,2.0063,5.915,84.1874,10.6376,0.2551,4.4892,50.6882,64.7132,118.8356,0.424,1.3993,8.3426,56.7309,21.6098,12.19,0.2601
44,0.0173,7569,0.323,23.16,3.49,-4731,1.3322,10.6642,84.6216,9.1585,0.0986,1.2495,50.3138,64.4425,122.4028,0.8501,1.7925,3.0055,19.4796,29.2477,11.62,0.1839
45,0.0168,299,0.449,21.82,10.53,-5546.5,1.9992,10.1112,84.1874,10.6376,0.123,3.3789,50.6882,64.7132,118.8356,0.8501,1.7323,4.0825,19.0472,26.1277,8.67,0.5747
46,0.0129,7600,0.346,21.91,6.81,-3281,0.8885,11.0873,84.0432,8.7487,0.0923,1.8839,50.2849,64.3732,118.7784,0.7601,1.3234,3.2174,25.4083,9.78,12.3,0.3127
47,0.0213,7653,1.019,18.15,9.47,-4667.25,1.3305,6.7794,85.0922,9.2007,0.2889,2.6361,50.1899,64.2199,118.2566,0.7601,2.2069,10.0267,49.7653,18.4388,10.31,0.5791
48,0.0145,109,0.28,21.28,9.5,-5300.25,2.0105,5.6056,101.9072,23.3453,0.098,2.6724,57.6663,74.7081,126.5662,0.8497,1.4986,2.6712,69.586,36.8704,7.23,0.3743
49,0.0148,760,0.288,12.39,6.68,-5553,2.0433,10.5917,84.3585,8.7495,0.0907,1.6202,50.4362,64.2234,117.7078,0.8501,1.525,2.7678,34.1144,27.3414,6.43,0.1643
50,0.0159,157,0.373,22.08,5.09,-5394,2.0032,10.5646,101.9072,23.3453,0.0951,1.4343,57.6663,74.7081,126.5662,0.8501,1.6462,3.5637,37.7838,8.4811,6.59,0.5991
51,0.0183,5391,0.407,13.48,5.57,-2575.5,0.892,6.5515,84.0432,8.7487,0.1107,1.7117,50.2849,64.3732,118.7784,1.3416,1.8979,3.7849,25.0882,10.2747,9.29,0.4009
52,0.0146,785,0.165,24.07,18.99,-5175.5,2,5.1302,84.1874,10.6376,0.0528,5.665,50.6882,64.7132,118.8356,1.3416,1.5114,1.4896,43.0024,53.9517,7,0.4128
53,0.0117,444,0.324,8.34,5.62,-5545,1.9772,6.7101,85.6591,8.8249,0.093,1.7168,50.3878,64.1536,118.3554,0.7601,1.2029,3.027,19.8739,15.2503,8.74,0.35
54,0.0123,7657,0.313,15.21,9.7,-4520.75,1.3458,10.5399,85.1197,9.1784,0.1013,2.6478,50.2165,64.229,118.771,0.7601,1.2708,2.9013,44.7657,20.0194,8.28,0.3146
55,0.0196,540,0.338,17.58,9.27,-5683.75,1.9597,10.6396,85.1197,9.1784,0.0924,2.3331,50.2165,64.229,118.771,0.7601,2.0277,3.2193,39.1888,13.6513,8.0699,0.1547
56,0.0116,682,0.328,13.79,4.99,-5460.5,2.031,6.5963,85.794,8.7599,0.1024,1.6657,50.3802,63.9715,117.6882,1.5117,1.1893,3.0952,25.6694,12.7209,9.27,0.2912
57,0.0165,5475,0.175,26.55,13.67,-1368.75,0.4425,10.5768,84.0432,8.7487,0.0556,3.4954,50.2849,64.3732,118.7784,1.3416,1.6997,1.587,25.4693,26.5792,9.32,0.3201
58,0.0145,7709,1.322,13.73,6.08,-4490.5,1.3438,6.2104,85.1197,9.1784,0.3653,1.7173,50.2165,64.229,118.771,0.9207,1.4902,13.0074,19.135,25.6666,8.22,0.2701
59,0.0146,817,0.269,16.31,5.21,-5433.25,2.0187,10.4884,84.9052,9.7997,0.0848,1.7462,50.6596,64.2828,118.1188,1.0968,1.4987,2.5446,28.3775,11.4323,7.24,0.3292
60,0.0095,571,0.278,21.67,8.16,-5493.75,1.9828,10.3384,84.1874,10.6376,0.0859,2.5091,50.6882,64.7132,118.8356,0.7814,0.9742,2.5436,23.841,22.1802,8.58,0.2182
61,0.0076,5477,0.839,19.73,12.86,-2597,0.891,5.8927,85.6039,8.7588,0.2402,3.8408,50.179,64.1668,118.6704,1.4345,0.7779,8.6976,46.9959,17.365,10.66,0.3075
62,0.0037,662,0.293,11.61,3.75,-5507.5,1.9905,5.727,85.794,8.7599,0.0917,1.1841,50.3802,63.9715,117.6882,1.4345,0.376,2.7431,15.8463,11.9686,7.39,0.3366
63,0.0169,1213,0.191,19.75,4.28,-5667.5,2.012,10.8535,85.8965,9.2405,0.0502,1.2412,50.157,64.0502,119.2274,1.1698,1.7486,1.8023,23.4308,9.0669,6.24,0.4772
64,0.0079,599,0.366,6.73,4.49,-5501.75,2.0062,5.1001,84.3585,8.7495,0.1015,1.4645,50.4362,64.2234,117.7078,1.482,0.8118,3.3468,9.349,9.6388,9.7599,0.3866
65,0.0076,984,0.378,14.53,6.08,-5382.5,2.01,6.4213,84.3585,8.7495,0.1131,1.9212,50.4362,64.2234,117.7078,1.1366,0.7839,3.5232,20.8641,12.2365,6.14,0.4319
66,0.0073,148,0.368,9.52,3.3,-5659.25,2.0077,5.4362,85.0856,8.6324,0.116,1.1285,50.0906,64.1658,117.802,1.1366,0.7478,3.4916,14.249,15.1961,6.98,0.2294
67,0.0107,489,0.188,20.42,7.02,-5349,1.9663,7.1443,83.8746,9.2658,0.0565,2.0921,50.2261,64.3328,119.104,1.1366,1.1005,1.7526,26.6698,35.7037,10.3,0.4444
68,0.0097,548,0.936,18.45,14.93,-5597,1.9752,6.1475,83.9737,8.8033,0.325,3.9486,50.3329,64.485,118.6328,1.1366,0.9988,9.4569,52.8369,10.402,7.91,0.1254
69,0.0169,833,0.478,15.6,2.39,-5440.5,2.0045,6.3737,85.794,8.7599,0.1466,0.6846,50.3802,63.9715,117.6882,1.1366,1.7578,4.5225,21.2516,24.9216,12.54,0.2766
70,0.0183,594,0.345,10.41,3.93,-5614.25,1.9745,5.2038,85.324,9.6272,0.1285,1.0663,50.4945,64.1596,117.796,1.1366,1.9036,3.2784,17.605,11.9669,6.49,0.4057
71,0.0087,308,0.333,19.5,4.31,-5534.5,2.018,6.4765,85.794,8.7599,0.1019,1.619,50.3802,63.9715,117.6882,1.2895,0.8943,3.1888,25.7066,36.503,7.55,0.2272
72,0.0117,5684,0.528,13.24,3.75,-2649.25,0.8882,6.0925,84.0432,8.7487,0.1469,1.4111,50.2849,64.3732,118.7784,1.1227,1.1992,4.8942,23.1843,12.3478,10.57,0.4373
73,0.0108,268,0.332,19.73,5.12,-5554.25,2.021,10.0825,84.7166,8.8388,0.108,1.641,50.3916,64.1968,111.7128,1.2895,1.1099,3.1065,27.9029,8.3426,5.39,0.3599
74,0.0153,663,0.488,14.79,5.61,-6566,1.8762,4.3992,85.2575,9.094,0.1498,1.9468,50.249,64.235,119.6672,1.3384,1.5858,4.6044,30.9357,32.3052,6.39,0.2326
75,0.0109,386,0.349,10.46,3.32,-5613.75,1.99,5.7594,85.6039,8.7588,0.1046,1.1834,50.179,64.1668,118.6704,1.1227,1.1157,3.2965,11.5519,11.7465,9.6,0.2247
76,0.0165,502,0.351,9.16,16.39,-6546.5,1.8822,4.654,85.2575,9.094,0.1123,4.2174,50.249,64.235,119.6672,1.3384,1.7021,3.3258,75.6008,13.5315,10.75,0.3656
77,0.0154,423,0.988,22.53,15.49,-5652,1.9457,6.4111,85.1197,9.1784,0.3475,4.4704,50.2165,64.229,118.771,1.3384,1.5905,10.053,58.2841,22.5208,7.93,0.2848
78,0.0113,2170,0.954,16.41,4.53,-6656.75,1.7797,6.0475,84.6216,9.1585,0.2963,1.6118,50.3138,64.4425,122.4028,1.1227,1.1592,9.6957,19.1428,18.3156,10.22,0.3876
79,0.0226,504,1.243,11.72,4.27,-5681.5,1.9998,6.6742,84.3585,8.7495,0.3494,1.1386,50.4362,64.2234,117.7078,1.2895,2.3661,11.7693,28.8153,23.3872,10.5,0.3571
80,0.0093,311,0.847,17.57,16.99,-5537.5,1.9648,5.8072,85.1197,9.1784,0.2756,4.9906,50.2165,64.229,118.771,1.3384,0.9558,8.6485,52.7055,40.8689,11.09,0.3184
81,0.0092,378,1.342,19.08,14.04,-5349.25,2.0063,6.0691,84.1874,10.6376,0.3832,3.8986,50.6882,64.7132,118.8356,1.7597,0.9416,14.1335,53.3957,25.1927,6.15,0.2806
82,0.0122,424,0.256,22.69,7.5,-5495.75,1.9688,9.9304,83.8746,9.2658,0.074,2.4745,50.2261,64.3328,119.104,1.482,1.2543,2.3519,25.3071,18.9788,13.76,0.1968
83,0.011,527,0.406,17.17,7.31,-6518.25,1.8967,4.7173,85.4579,8.6667,0.1284,2.1606,50.2987,64.2122,117.955,1.7597,1.129,3.9708,49.0923,33.5899,9.53,0.2307
84,0.0245,7791,0.506,14.89,5.94,-4556,1.3362,5.9844,85.1197,9.1784,0.1762,1.6166,50.2165,64.229,118.771,1.1227,2.5063,5.0212,20.2083,15.8872,7.54,0.181
85,0.0161,530,0.666,8.71,4.62,-5432.5,2.0345,5.4033,84.3324,8.9336,0.1831,1.2551,50.5527,64.2529,116.7828,1.7597,1.659,6.2146,23.6945,7.348,439.05,1.2098
86,0.0202,745,0.197,12.45,9.16,-5677.75,1.9985,4.9523,84.8723,8.755,0.0626,2.607,50.3957,64.0838,117.326,1.7597,2.0999,1.8058,25.6771,14.5221,439.05,1.2098
87,0.0122,1657,0.986,5.07,9.36,-6174.5,1.881,2.4657,84.8178,8.7947,0.3105,2.5621,50.2004,63.9947,118.7708,1.0643,1.2446,9.5157,72.3139,15.2609,9.93,0.2199
88,0.0137,296,1.149,4.94,5.49,-5367.75,2.0093,1.8788,84.8178,8.7947,0.3223,1.6273,50.2004,63.9947,118.7708,1.0643,1.4003,11.1861,40.5349,18.3601,10.27,0.1299
89,0.0133,531,0.45,7.12,5.86,-5393.25,1.9872,5.171,85.6591,8.8249,0.1278,1.9896,50.3878,64.1536,118.3554,1.293680917,1.3796,4.142,13.8468,13.502,439.05,1.2098
90,0.0133,578,1.048,7.13,5.44,-5594.25,1.8807,1.6574,85.4507,9.3851,0.3008,1.9083,50.4554,63.8228,118.528,1.0643,1.3617,10.3196,33.6344,14.6237,7.01,0.3682
91,0.0142,5703,0.461,15.91,2.88,-2665.5,0.8912,6.6879,85.0716,8.6942,0.1365,0.8654,50.5287,64.3976,118.0626,1.2895,1.4659,4.4261,19.3648,11.5465,11.79,0.2879
92,0.0135,527,0.429,17.45,10.24,-5527,1.984,10.4385,85.6626,9.1502,0.1132,2.7903,50.2288,64.1871,119.3708,1.1227,1.3959,4.0658,55.4771,6.0868,11.79,0.2879
93,0.0134,7716,0.266,13.22,9.81,-4695.25,1.3355,5.1677,84.7166,8.8388,0.0733,2.9081,50.3916,64.1968,111.7128,1.018284629,1.3778,2.4099,26.5079,8.7293,9.84,0.3066
94,0.0167,663,0.437,7.29,6.67,-5491.5,1.9898,5.2074,85.0716,8.6942,0.1232,2.2382,50.5287,64.3976,118.0626,0.9721,1.7213,4.0185,16.3471,7.8537,439.05,1.2098
95,0.0187,619,0.245,9.5,7.81,-5463.25,2.0063,4.8712,84.9052,9.7997,0.0794,2.5358,50.6596,64.2828,118.1188,1.209978988,1.9383,2.2287,21.7283,11.4258,8.29,0.2435
96,0.0122,5480,1.033,15.66,7.92,-2609.25,0.8925,5.9438,85.6039,8.7588,0.3593,2.1534,50.179,64.1668,118.6704,1.1227,1.2508,10.569,31.2499,36.4566,9.27,0.4407
97,0.0143,167,0.454,4.01,9.33,-5497.75,2.0083,1.7279,84.8178,8.7947,0.1433,2.6515,50.2004,63.9947,118.7708,1.6137,1.4744,4.4178,66.6321,39.095,10.26,0.3566
98,0.0141,592,0.392,9.74,9.79,-5522.25,1.87,2.0899,85.4507,9.3851,0.1287,2.9291,50.4554,63.8228,118.528,1.6137,1.4541,3.7659,58.2981,20.4777,8.19,0.2909
99,0.0049,6011,0.328,30.17,20.6,-1502.75,0.4368,6.3227,85.0922,9.2007,0.0862,5.4961,50.1899,64.2199,118.2566,1.0643,0.5029,2.9706,45.3306,43.7804,11.78,0.4565
100,0.0142,352,0.882,3.57,10.66,-5443,1.9935,2.5953,84.8178,8.7947,0.2519,3.064,50.2004,63.9947,118.7708,1.6137,1.458,8.6167,51.9971,28.6441,12.5,0.2525
101,0.0267,336,0.505,4.26,8.18,-5668,1.853,2.3025,85.4507,9.3851,0.1506,2.5224,50.4554,63.8228,118.528,0.9444,2.7999,4.8772,74.713,13.3243,7.93,0.1562
102,0.0216,168,0.415,14.48,4.22,-6274.75,1.8835,5.2036,85.4138,10.9634,0.1445,1.3302,50.3803,64.2949,118.8972,0.9444,2.2588,3.9783,22.3427,9.8885,420.24,1.4316
103,0.0138,552,0.851,6.07,7.61,-5609.5,1.8678,1.8371,85.4507,9.3851,0.2712,2.4092,50.4554,63.8228,118.528,1.6137,1.4215,8.3126,36.3482,11.5089,9.6,0.3488
104,0.0122,302,0.505,13.2,7.93,-6487.25,1.8753,5.1015,85.2575,9.094,0.1478,2.378,50.249,64.235,119.6672,0.9721,1.2562,4.9785,52.1988,49.8401,8.14,0.3811
105,0.022,623,0.881,15.55,4.24,-6361.5,1.8895,4.9924,85.4138,10.9634,0.2588,1.3332,50.3803,64.2949,118.8972,1.0643,2.3024,8.4746,26.8126,21.0087,8.3,0.2425
106,0.0123,392,0.271,20.52,6.69,-6514,1.882,6.6302,84.5407,9.1638,0.1009,1.9875,50.1709,64.2232,119.7114,0.9721,1.2645,2.6114,37.6059,7.2774,9.7,0.3356
107,0.0194,532,0.315,16.04,4.77,-6541.25,1.8858,4.3593,85.2575,9.094,0.0952,1.4501,50.249,64.235,119.6672,0.9721,2.0198,2.9504,18.0467,10.1317,7.09,0.3834
108,0.0129,1270,0.382,16.17,6.78,-5147.25,1.983,4.2394,85.2575,9.094,0.1033,1.8705,50.249,64.235,119.6672,0.9721,1.331,3.6777,42.5125,40.7596,8.1,0.2206
109,0.0195,385,0.57,15.9,7.62,-6485.5,1.888,6.0052,84.5407,9.1638,0.1915,2.111,50.1709,64.2232,119.7114,1.6137,2.0322,5.589,31.5931,21.7446,7.57,0.3447
110,0.0111,702,0.333,17.18,9.69,-5409,1.9937,10.5455,84.3324,8.9336,0.1029,2.6225,50.5527,64.2529,116.7828,1.2596,1.1393,3.167,39.7404,8.8018,6.1,0.3432
111,0.0109,389,0.363,11.99,7.72,-6463,1.8718,4.4095,85.4579,8.6667,0.0924,2.1414,50.2987,64.2122,117.955,1.6137,1.1213,3.5214,60.8267,36.3109,8.09,0.2669
112,0.0175,259,0.327,21.71,7.53,-5301,1.9775,10.0152,83.8746,9.2658,0.1047,2.0661,50.2261,64.3328,119.104,1.0643,1.8212,3.0719,30.1132,21.928,8.42,0.2889
113,0.1879,203,0.244,16.99,8.53,-5401.75,2.019,6.2614,84.3585,8.7495,0.0797,2.6285,50.4362,64.2234,117.7078,1.2596,19.7458,2.3444,25.9043,10.1527,9.6,0.1361
114,0.0068,674,0.42,15.24,5.19,-6470.75,1.8893,4.7975,85.4138,10.9634,0.1377,1.5798,50.3803,64.2949,118.8972,1.6137,0.6964,4.0454,23.6427,46.3803,8.26,0.3699
115,0.0122,692,1.127,17.62,11.59,-5432.75,1.9748,6.1942,85.8965,9.2405,0.3187,3.7869,50.157,64.0502,119.2274,1.0643,1.2543,11.506,60.3792,26.6958,11.6,0.2934
116,0.0193,3597,0.569,14.62,5.32,-5856.75,1.8845,5.6058,84.5407,9.1638,0.1734,1.937,50.1709,64.2232,119.7114,1.6137,2.0111,5.5471,36.4654,7.7077,9.72,0.2309
117,0.0203,793,0.739,13.73,7.87,-5657.75,1.97,4.6159,85.2575,9.094,0.2019,2.1839,50.249,64.235,119.6672,1.2596,2.1082,7.151,47.0653,15.4779,7.77,0.2937
118,0.0245,717,0.501,11.37,7.67,-5560.75,1.9817,4.893,83.8746,9.2658,0.1461,2.2732,50.2261,64.3328,119.104,1.0643,2.5645,4.8603,30.6754,10.5064,11.5,0.3543
119,0.0131,210,1.06,16.87,12.58,-5474.25,1.9945,6.1812,84.1874,10.6376,0.2818,3.6673,50.6882,64.7132,118.8356,1.1828,1.3431,10.5896,39.241,17.5016,5.95,0.4257
120,0.0128,460,0.241,7.39,4.07,-5600.5,1.977,5.5903,85.324,9.6272,0.072,1.4479,50.4945,64.1596,117.796,1.0516,1.3188,2.2036,13.3864,8.8177,10.2401,0.2349
121,0.0115,2481,0.747,16.06,9.03,-6068.75,1.779,6.0191,85.2487,10.0686,0.251,2.4399,50.6755,64.3085,117.7568,1.2596,1.1821,7.5481,26.5827,14.1933,8.98,0.1733
122,0.0096,492,0.497,12.08,3.08,-5306.5,1.9827,5.1878,85.324,9.6272,0.1447,0.9455,50.4945,64.1596,117.796,0.8687,0.9888,4.7223,13.5553,13.2963,10.89,0.3306
123,0.0206,1909,0.541,15.66,5.36,-6030.25,1.9933,5.4207,85.8965,9.2405,0.159,1.3822,50.157,64.0502,119.2274,0.8531,2.1512,5.0648,15.135,10.9189,9.61,0.1815
124,0.0058,206,0.433,19.74,7.01,-5653.75,2.0232,10.8187,84.8178,8.7947,0.1232,1.6351,50.2004,63.9947,118.7708,1.0148,0.5947,4.2677,36.5861,37.4184,8.46,0.4406
125,0.0056,1132,0.32,8.19,5.39,-5418.25,1.9705,4.632,85.7375,9.0998,0.0987,1.8701,50.1482,64.0107,119.5608,0.8687,0.5697,2.9341,17.1764,42.497,10.21,0.3855
126,0.014,266,0.82,8.66,3.18,-5641.25,1.9843,5.9099,85.8965,9.2405,0.2488,0.8625,50.157,64.0502,119.2274,0.9721,1.4389,8.2316,15.2055,12.4782,9.05,0.3143
127,0.0122,293,1.071,18.87,5.61,-5538.5,2.0003,10.8403,84.8178,8.7947,0.302,1.7883,50.2004,63.9947,118.7708,1.4085,1.2541,10.5989,33.4762,50.911,8.6801,0.3008
128,0.0111,347,0.338,18.71,6.35,-5261.75,1.993,10.5065,84.3324,8.9336,0.0819,1.8931,50.5527,64.2529,116.7828,0.8531,1.1415,3.1538,21.0039,11.6177,8.52,0.3505
129,0.0152,878,0.346,10.93,4.47,-5587.75,1.9705,5.4333,83.8746,9.2658,0.1258,1.2882,50.2261,64.3328,119.104,0.8531,1.5756,3.2434,13.0755,17.0474,9.57,0.3005
130,0.021,579,0.52,11.28,6.29,-5531.5,2.0303,5.4041,84.3585,8.7495,0.1529,1.7625,50.4362,64.2234,117.7078,0.8531,2.1936,4.7927,15.1588,14.4191,8.3,0.2815
131,0.0121,556,0.342,16.45,6.45,-5456.25,1.9972,5.1967,85.324,9.6272,0.1054,1.9027,50.4945,64.1596,117.796,1.0643,1.2438,3.1205,15.0065,46.8326,11.21,0.562
132,0.0166,591,0.371,17.84,14.45,-5683.75,2.0173,5.9225,85.6626,9.1502,0.0988,3.8281,50.2288,64.1871,119.3708,0.8687,1.7284,3.4419,39.885,17.7485,11.39,0.8681
