,Time,Pass/Fail,F1,F2,F3,F4,F6,F7,F8,F9,F10,F11,F12,F14,F15,F16,F17,F18,F19,F20,F22,F23,F24,F25,F28,F29,F30,F31,F36,F37,F38,F40,F41,F43,F44,F45,F46,F47,F48,F50,F51,F53,F54,F55,F56,F58,F59,F60,F61,F62,F63,F64,F65,F66,F68,F70,F71,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F86,F87,F88,F89,F90,F91,F96,F98,F99,F102,F107,F108,F109,F110,F111,F113,F115,F116,F117,F118,F119,F120,F121,F122,F125,F126,F127,F128,F129,F130,F132,F133,F134,F136,F137,F138,F139,F144,F145,F146,F150,F151,F152,F155,F156,F160,F161,F162,F166,F167,F168,F170,F171,F173,F175,F176,F181,F182,F183,F184,F187,F188,F195,F206,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F222,F223,F224,F227,F228,F244,F246,F248,F249,F252,F254,F255,F268,F270,F272,F274,F277,F280,F281,F285,F286,F287,F290,F295,F296,F297,F303,F304,F305,F306,F308,F311,F316,F317,F318,F320,F321,F324,F342,F344,F346,F347,F348,F349,F350,F351,F352,F353,F354,F355,F356,F361,F382,F383,F385,F389,F390,F405,F406,F416,F418,F419,F423,F432,F433,F460,F468,F472,F473,F478,F480,F482,F483,F484,F485,F486,F487,F488,F489,F491,F496,F499,F500,F510,F511,F521,F526,F545,F546,F547,F548,F558,F559,F562,F563,F564,F570,F571,F573,F574,F575,F577,F579,F581,F586,F587,F589
188,2008-10-08 20:07,1,2391.71,2221.9444,1551.6947,1.5296,99.2678,0.1222,1.4746,-0.011,0.0285,0.9737,201.0161,5.1672,417.2615,9.4571,0.9718,191.5589,12.548,1.4143,2614.0,-7236.5,-6083.25,1.2592,64.1333,2.7222,0.2196,3.3009,49.7712,66.6125,88.2074,72.29,3.958,357.3218,9.8617,148.1245,749.6201,0.9257,134.6209,640.0673,72.4651,4.589,4.857,2880.0,0.9341,4.7581,12.3073,361.7682,9.9619,120.4318,13.2064,27.6927,34.9855,714.6346,144.6609,626.8609,82.3511,464.8647,0.0,-0.0137,-0.0366,0.0023,-0.103,0.0232,-0.0442,-0.0177,0.0064,7.4638,0.1365,2.421,0.9847,1829.0059,0.1837,8932.8999,0.0654,0.197,-0.3351,-0.0288,-0.026,-0.1094,-0.0743,,,,0.9482,744.4078,0.9905,59.0127,0.5975,0.9796,6.1941,15.76,3.093,0.8893,2.828,0.606,3.423,0.1419,0.8434,2.3997,1004.8728,36.9917,74.6,102.5,59.5,326.111,0.076,0.0475,0.1191,2.932,19.383,0.7624,0.2,0.038,399.0,5617.0,16855.0,3.3,1.1,0.092,0.6135,0.0636,0.4658,0.7314,0.1059,0.533,8.61,25.141,0.1684,17.18,30.463,0.243,0.0,0.0,0.123,0.0515,0.0311,0.0341,0.066,0.11,0.112,0.0487,4.1614,0.0042,164.0906,0.0205,0.0277,0.0141,,,0.0419,0.0,4.6582,0.0039,0.4662,17.942,27.5907,31.3388,94.5242,1.4077,0.0134,0.033,1.0439,5.1748,0.205,0.0572,170.5696,2610.2404,7927.3992,0.0287,0.0987,0.2261,0.0244,0.1801,0.0427,5.5162,0.1679,2.7593,0.0499,3.6771,8.7353,0.0,19.4009,2.7526,0.0,0.0305,0.0237,0.0147,0.0157,0.0222,0.0481,0.0535,0.0218,1.2428,53.9414,,,0.0096,0.0004,1.2911,0.0386,6.1702,2.7832,430.3511,418.0781,56.7427,77.6204,277.0723,42.0382,65.0022,172.7193,28.8885,0.0,60.6404,894.9523,140.7104,0.0,33.0988,284.0237,248.7281,630.9859,760.9375,2.1985,11.15,0.0,550.2439,123.5443,851.6129,0.0,0.3955,7.116,,,,0.9727,0.5777,244.482,0.6994,10.48,532.4191,2.3255,0.389,4.21,0.1279,16.7292,,,0.0104,0.0221,211.6182
189,2008-10-08 22:26,1,2480.9,2138.8778,1046.6043,1.2559,103.34,0.124,1.4701,-0.0056,0.0107,0.9723,200.7632,6.1867,421.2201,9.9513,0.977,190.8119,12.5849,1.4054,2998.0,-3287.6667,1410.5,0.958,63.1333,3.2222,0.215,4.5949,49.7511,66.6677,88.1608,13.92,4.839,359.4255,9.8295,129.0055,723.7822,0.9401,136.2964,624.7273,69.5736,4.581,4.809,2894.0,0.9332,4.7217,21.7573,356.8064,10.4915,110.7627,13.1337,18.2427,21.8247,701.9575,144.0245,611.5936,61.1503,,0.0,-0.0203,-0.0327,0.014,-0.0118,0.008,0.1006,-0.0192,0.0331,7.1572,0.1348,2.4077,0.9879,1836.552,0.2079,8438.2601,0.0333,-0.0463,0.2996,0.1423,0.0018,-0.0055,-0.0211,,,,0.9359,705.2311,0.9905,59.0053,0.5888,0.9676,6.1781,15.76,3.093,0.8893,2.828,0.606,3.423,0.1419,0.8434,2.3997,1004.8728,36.9917,124.3,143.1,54.5,353.903,0.124,0.0412,0.0468,7.531,15.227,0.1958,0.28,0.0344,551.0,1886.0,100.0,4.7,0.8,0.095,0.6491,0.1001,0.5695,0.6695,0.1325,0.69,8.44,16.346,0.1764,10.43,40.203,0.255,0.0,0.0,0.0445,0.0653,0.0446,0.1028,0.0354,0.0558,0.0616,0.0847,2.7076,0.0022,182.1221,0.1232,0.0121,0.0128,,,0.0392,0.0,4.7405,0.0207,0.4139,17.942,21.2352,53.6717,111.5946,1.9688,0.0103,0.0145,2.0953,4.7271,0.0635,0.0814,238.9742,1064.6569,42.9379,0.0294,0.0379,0.2391,0.0369,0.2129,0.0519,5.5,0.2223,2.5867,0.0523,2.0383,11.9689,0.0,9.3618,,0.0,0.011,0.0305,0.0192,0.0437,0.0093,0.0229,0.0312,0.0426,0.8459,54.2373,,,0.02,0.0004,1.3044,0.0386,6.1702,3.1462,734.0757,436.1095,121.7283,57.3659,7.0897,57.7848,35.8041,132.1795,42.7019,0.0,51.6825,219.1444,199.6942,318.5714,869.3446,442.5,55.4948,320.0,255.6981,2.2255,59.2798,963.1841,952.5581,171.1628,245.7516,0.0,2.1348,7.116,1.2798,408.2,73.582,0.9401,0.7933,242.286,0.7839,3.1,535.6864,1.908,0.1837,3.6083,0.0513,9.6275,,,0.0104,0.0221,211.6182
218,2008-08-16 9:44,1,2521.84,2273.7556,1549.8407,1.4105,105.0467,0.1171,1.3666,-0.0154,0.0047,0.958,198.4092,14.1879,426.1956,10.0229,0.9678,188.3863,12.6063,1.3956,3124.0,-5585.0,1369.0,0.9688,70.9778,2.3111,0.1493,4.626,49.5931,66.3747,87.2029,65.12,2.939,351.6955,9.7125,138.7636,726.0449,0.9465,131.1364,621.5955,53.1335,4.592,4.834,2835.0,0.9348,4.6276,25.5282,348.7482,10.1691,124.2918,10.2433,14.4718,18.5633,707.4816,140.7909,613.8309,107.5406,466.2773,0.0,-0.0153,-0.0457,-0.0157,-0.0752,0.0009,-0.1013,-0.0178,-0.0558,7.5128,0.1307,2.3816,0.9894,1795.1792,0.1874,8037.17,0.0596,-0.0788,0.2985,0.0028,-0.0286,0.1142,0.0783,,,,0.9599,656.0378,0.9901,56.1472,0.5929,0.9767,6.351,15.88,3.024,0.8987,2.736,0.5233,3.276,0.0,0.8123,2.366,1014.2044,37.8886,55.4,137.7,111.9001,136.066,0.0679,0.0415,0.0443,9.745,11.587,1.451,0.59,0.0666,779.0,7241.0,57.0,3.9,0.6,0.092,0.5095,0.1872,0.5517,0.8867,0.2327,0.802,9.2,31.869,0.1909,14.55,31.056,0.285,0.0,0.0,0.0968,0.0581,0.0495,0.0599,0.0587,0.0671,0.084,0.0501,3.8877,0.0021,156.2135,0.0719,0.0158,0.0131,,,0.0074,0.0,1.9267,0.0049,0.4353,11.49,30.6953,42.3555,48.8869,2.027,0.0116,0.012,2.5709,3.1741,0.4002,0.1692,332.6029,3206.8469,25.6515,0.0286,0.0567,0.1989,0.0786,0.2087,0.0872,5.0178,0.2136,2.6521,0.0568,3.1794,7.9414,0.0,19.9741,2.5555,0.0,0.0232,0.0238,0.0213,0.025,0.0174,0.0353,0.0448,0.0231,1.3484,48.6883,,,0.0126,0.0002,0.6217,0.0347,3.5452,3.8427,270.3583,945.0667,68.6852,129.6509,4.1636,58.449,24.6786,172.5034,43.5329,0.0,51.4085,631.3901,127.2031,315.2866,79.6278,0.0,66.2226,473.2394,89.7447,2.6005,38.38,0.0,0.0,65.3061,0.0,0.0,0.5006,7.116,1.177,413.142,73.84,1.2338,0.4844,261.892,0.6847,7.25,531.9191,1.757,0.2756,3.0961,0.074,15.6838,,,0.0279,0.0123,44.1754
222,2008-08-16 15:19,1,2463.11,2205.2889,1630.3112,1.2733,98.8056,0.1218,1.3605,0.0125,-0.0034,0.9619,199.7563,6.8695,396.9662,10.3504,0.961,189.4059,12.3741,1.4036,2609.0,-4709.25,-2523.5,1.2825,69.0667,2.4,0.2109,3.4074,49.6417,66.1861,87.0459,78.42,3.645,355.7327,9.7939,140.5945,737.2861,1.292,135.7709,632.0982,174.1437,4.616,4.845,2845.0,0.9315,4.5504,20.8336,356.8482,9.9218,121.4282,13.8522,19.1664,27.9009,709.3852,141.6909,619.9673,71.0513,464.1607,0.0,-0.0359,-0.0241,-0.0155,-0.0482,0.0385,-0.093,-0.029,0.0641,6.786,0.1318,2.4618,0.9874,1801.128,0.1927,8745.81,0.033,0.0084,0.0055,0.0186,-0.0152,0.0432,0.0795,,,,0.9671,746.2591,0.9905,59.6121,0.5858,0.9678,6.3231,15.94,2.992,1.187,2.813,0.5126,3.345,0.5677,0.838,2.3646,1012.1633,35.3906,68.7,163.9,58.3,468.7301,0.0522,0.0625,0.0425,3.482,8.915,0.3398,0.57,0.0422,606.0,3360.0,6857.0,1.3,1.4,0.192,0.8705,0.1031,0.5282,0.8096,0.2585,0.539,9.59,32.019,0.1709,20.56,45.544,0.269,0.0,0.0,0.0794,0.0683,0.0308,0.0771,0.0713,0.081,0.082,0.0955,4.1052,0.0042,132.916,0.0294,0.0103,0.0105,,,0.0183,0.0,2.1871,0.0195,0.4905,11.82,20.7374,46.8474,192.1582,2.2417,0.0148,0.0104,1.3234,2.6657,0.1002,0.1626,260.7016,1515.4571,3267.0697,0.0654,0.1482,0.3146,0.0448,0.2119,0.1021,5.3134,0.1489,2.8525,0.0526,2.6756,15.5202,0.0,32.8141,4.3285,0.0,0.025,0.0292,0.0132,0.0359,0.0245,0.0401,0.0439,0.0473,1.3247,42.7792,,,0.0112,0.0002,0.7658,0.0348,3.5528,2.2989,501.7561,0.0,50.6875,71.3489,271.7258,26.1531,24.8636,104.9653,27.0265,0.0,141.2262,221.247,282.8157,199.0307,159.9585,185.1347,87.0968,282.5151,148.8698,1.7448,15.2802,0.0,0.0,98.9474,0.0,0.0,2.0109,7.116,1.1063,409.536,77.1,0.9548,0.1898,,,,533.8327,1.5604,0.2225,3.3426,0.0623,14.2564,,,0.044,0.0133,30.2219
231,2008-08-17 12:16,1,,2214.0556,1150.7775,1.3772,102.9389,0.1205,1.4978,0.0221,-0.0055,0.9709,201.9724,7.7634,410.5165,10.3643,0.9803,191.6082,12.4578,1.3924,2740.25,-5078.5,783.75,1.3348,61.5778,3.1556,0.2334,3.407,49.4653,65.8265,86.336,77.9,2.163,364.1273,9.8895,140.2436,747.4044,1.239,141.7336,646.1045,201.7344,4.561,4.767,2897.0,0.9266,4.6391,0.7582,363.3782,10.2557,121.0018,17.7409,19.2418,28.0488,719.3555,143.9836,628.3636,100.6331,465.6001,0.0,0.0169,-0.0411,-0.0219,-0.0747,0.0147,-0.0985,-0.0169,-0.0357,7.1093,0.1288,2.4099,0.9904,1844.4508,0.1604,8340.3199,-0.0438,0.1544,-0.2459,0.0288,0.0291,-0.0232,-0.1153,,,,0.9423,728.1562,0.9909,58.4142,0.5969,0.9781,6.2949,15.77,2.632,0.9744,2.758,0.4541,3.341,0.7569,0.823,2.3834,1011.6333,36.6674,105.7,,48.5999,378.13,0.1373,0.0501,0.0516,5.004,13.084,0.966,0.3,0.0329,267.0,4048.0,716.0,1.3,1.2,0.146,0.7865,0.1347,0.5479,0.7062,0.1764,0.57,12.53,16.048,0.2052,7.74,57.628,0.104,0.0,0.0,0.0917,0.0356,0.0364,0.0758,0.0749,0.1135,0.0862,0.062,2.4393,0.0004,91.7754,0.0294,0.0112,0.0203,,,0.0305,0.0,2.4242,0.0042,0.6271,12.64,26.2466,,112.2522,1.8472,0.0144,0.0146,1.5159,3.8755,0.2832,0.0755,118.317,1907.1047,336.6307,0.0506,0.1327,0.2922,0.049,0.2009,0.0687,5.6836,0.1712,3.7945,0.0586,1.7857,15.2324,0.0,29.0455,2.42,0.0,0.0273,0.0168,0.0153,0.0312,0.0236,0.0586,0.0423,0.0289,0.8269,30.787,,,0.0078,0.0002,0.6498,0.0286,4.5224,2.655,226.6968,941.3911,64.4566,79.7086,91.3557,28.5663,957.554,74.799,37.7303,0.0,90.8687,542.2025,86.6707,166.0205,101.4047,509.0909,115.2284,510.0592,173.5479,2.8719,18.3326,814.5455,0.0,61.3699,0.0,0.0,0.4293,7.116,1.6092,404.422,75.108,0.9403,0.2835,249.378,0.858,9.8,529.0654,2.4848,0.5791,2.3555,0.1673,23.3076,0.0098,83.1192,0.0118,0.0098,83.1192
235,2008-08-17 21:26,1,2490.25,2197.6444,1247.0334,0.7865,99.9211,0.1203,1.4257,-0.0343,-0.0016,0.9688,199.1869,11.9209,413.6465,10.1341,0.9732,189.0528,12.4527,1.4098,2771.75,-3497.5,-936.75,1.2965,62.9889,2.6111,0.2179,3.5116,49.5824,65.9275,86.2908,14.26,6.25,360.5709,9.9805,154.6955,761.8176,0.9149,131.5455,646.8118,66.3869,4.601,4.828,2902.0,0.9257,4.6326,-11.8245,361.5055,10.3023,122.8709,19.3763,31.8245,39.6487,722.1689,143.0591,627.4355,104.4863,461.793,0.0,-0.0019,-0.0683,0.0311,-0.0893,-0.008,-0.0893,-0.0124,-0.033,8.3631,0.1324,2.4363,0.9672,1833.2007,0.192,8402.5,0.0639,-0.0886,0.1247,-0.0158,-0.0922,0.0436,0.0678,,,,0.9492,719.1702,0.9902,57.6752,0.5846,0.9791,6.2218,15.84,4.036,1.092,2.544,0.6774,3.037,-0.2838,0.758,2.3101,1003.854,37.6619,189.0,169.5,61.1001,449.614,0.1189,0.0583,0.0643,7.286,8.913,0.883,0.35,0.0428,556.0,568.0,2139.0,3.1,1.4,0.151,0.795,0.1095,0.4956,0.8384,0.3199,0.612,12.88,22.511,0.1068,16.46,25.448,0.097,0.0,0.0,0.0904,0.0459,0.0751,0.0754,0.075,0.0776,0.0801,0.0556,2.5031,0.0108,122.293,0.0194,0.0149,0.0201,,,0.0345,0.0,2.3528,0.004,0.4066,17.805,22.2733,57.7551,127.8756,2.0781,0.0177,0.0162,2.4312,2.6613,0.2661,0.1009,301.5409,267.3244,997.2142,0.0536,0.1622,0.2921,0.0399,0.1866,0.1186,4.6801,0.182,3.9129,0.033,1.4886,7.6891,0.0,20.4,1.8758,0.0,0.0251,0.0223,0.0326,0.0342,0.0233,0.0397,0.0397,0.026,0.9286,44.4369,,,0.0108,0.0002,0.6996,0.0271,5.2764,3.7397,170.0948,0.0,61.1195,16.2402,228.3427,38.3329,87.8681,96.7675,32.6478,0.0,61.8187,0.0,67.2035,241.2851,84.4109,936.7681,86.8495,643.3735,168.4848,2.1905,10.1293,0.0,968.6747,49.1018,0.0,0.0,0.4136,7.116,,,,0.9772,0.228,,,,530.7709,2.1968,0.2034,1.7479,0.0639,9.2608,,,-0.0034,0.0093,272.3477
236,2008-08-17 22:03,1,2458.15,2230.0333,1668.6804,1.5739,99.0522,0.1204,1.372,0.0005,-0.0181,0.9547,206.8379,6.0494,400.5666,10.3911,0.9642,196.4468,12.6063,1.4069,2718.5,-3112.0,45.5,1.29,67.2222,2.5889,0.2106,3.511,49.6757,66.2377,86.9247,76.97,4.019,356.3727,9.887,134.8636,731.2024,1.3512,139.7364,630.9727,212.0235,4.608,4.85,2829.0,0.9337,4.5304,8.4236,352.6027,10.8486,103.2873,26.3554,31.5764,40.0125,691.1899,148.7273,604.6173,102.4215,,0.0,-0.0053,-0.0332,-0.061,-0.0696,0.0574,-0.1027,-0.0278,-0.0141,6.3269,0.1324,2.4313,0.9894,1830.5433,0.1602,8074.26,-0.0082,0.2413,-0.3661,0.0019,-0.0605,0.0701,0.0209,,,,0.9382,625.3523,0.9904,58.6268,0.5948,0.9663,6.2951,15.82,2.942,1.035,2.803,0.5474,3.531,1.608,0.7987,2.3704,1005.6244,34.7521,113.8,83.3,64.7998,228.498,0.0672,0.0439,0.0491,3.905,15.005,0.414,0.59,0.1135,227.0,2863.0,994.0,1.8,0.7,0.084,1.0039,0.0452,0.5476,0.7709,0.1964,0.398,8.2,30.598,0.1028,19.45,36.518,0.264,0.0,0.0,0.101,0.0527,0.0268,0.0473,0.081,0.1145,0.1023,0.0406,5.3761,0.0007,98.6659,0.0152,0.0168,0.0118,,,0.0446,0.0,2.8429,0.0244,0.5302,11.61,30.3453,25.7277,78.4343,2.0831,0.013,0.0134,1.2506,4.6829,0.1224,0.1692,109.4608,1259.7971,420.6903,0.033,0.1764,0.3668,0.0207,0.2099,0.0807,5.5239,0.1622,2.2992,0.0376,1.2177,13.1123,0.0,16.6793,,0.0,0.0347,0.0243,0.0142,0.0209,0.0248,0.0599,0.0501,0.0179,1.9778,33.6141,,,0.0075,0.0002,0.9214,0.0333,4.0192,2.4919,0.0,270.8032,64.5522,91.9987,0.0,17.2236,171.5411,79.4523,45.7621,0.0,51.0479,0.0,158.7349,43.9705,67.9354,141.115,111.4626,367.9856,287.4336,3.1165,9.4855,0.0,882.243,132.5301,0.0,0.0,2.5282,7.116,0.5592,400.292,80.048,0.9587,0.3544,262.592,0.6725,8.3,538.0918,2.1799,0.2085,2.2679,0.0692,9.5646,,,-0.0034,0.0093,272.3477
238,2008-08-17 23:04,1,2444.09,2230.0333,1668.6804,1.5739,99.0522,0.1204,1.356,-0.0055,-0.0225,0.9551,207.0302,11.4256,407.276,9.1874,0.9537,197.8428,12.6063,1.4119,3078.25,-4054.0,1549.5,0.965,66.8556,2.8333,0.2091,4.6521,49.6757,66.2377,86.9247,76.97,4.019,356.3809,9.904,135.1182,731.0404,1.3732,140.8155,632.3145,213.4114,4.608,4.85,2829.0,0.9337,4.5304,8.9764,352.0827,10.8756,104.0945,25.2836,31.0236,39.7661,691.2743,150.8536,607.0309,96.1599,,0.0,-0.0198,-0.0356,0.0046,-0.0726,0.0561,-0.1202,-0.0188,-0.0537,7.8936,0.1322,2.3774,0.9902,1881.5296,0.1613,8914.8399,0.0451,0.3207,-0.6413,-0.0363,-0.0941,-0.0406,-0.021,,,,0.9499,776.46,0.9905,59.6315,0.5935,0.9767,6.3556,15.88,3.024,0.8987,2.736,0.5233,3.276,0.0,0.8123,2.366,1014.2044,37.8886,185.2,181.2,64.7998,228.498,0.0674,0.0693,0.0797,10.778,7.425,0.2873,0.59,0.0426,675.0,804.0,156.0,2.8,0.8,0.07,1.0039,0.0452,0.5476,0.7709,0.1964,0.439,8.34,29.315,0.0873,19.98,81.399,0.264,0.0,0.0,0.137,0.0553,0.028,0.0398,0.1183,0.1491,0.085,0.0333,4.8121,0.0011,117.8053,0.0374,0.0182,0.0174,,,0.0134,0.0,2.2538,0.0063,0.4632,11.49,30.9957,59.8501,78.4343,2.0831,0.0186,0.0208,2.9904,2.2149,0.0987,0.1692,298.8516,445.6086,64.3195,0.0262,0.0501,0.3668,0.0207,0.2099,0.0807,5.8925,0.1601,2.2378,0.0283,2.3199,25.2781,0.0,16.0339,,0.0,0.0387,0.0262,0.0122,0.0174,0.0337,0.0709,0.0451,0.0171,1.7826,40.0895,,,0.0072,0.0002,0.6927,0.0347,3.5452,2.4919,0.0,354.3206,94.3317,19.8323,10.0678,38.1418,126.3318,88.3182,36.5528,0.0,53.4641,690.8289,155.3371,608.6957,54.8398,210.8499,124.0691,452.1277,61.9535,1.5126,23.1581,0.0,0.0,129.4964,0.0,0.0,0.6434,7.116,,,,0.9818,0.9412,261.302,0.693,5.65,536.3273,2.2994,0.3228,2.1568,0.0895,14.037,0.0069,34.7486,0.0198,0.0069,34.7486
240,2008-08-17 23:55,1,2483.06,2191.1111,1564.6023,0.9366,102.51,0.1234,1.5192,-0.0168,0.0104,0.9683,198.1951,7.4172,414.5525,10.297,0.9794,187.8982,12.4527,1.4105,2714.75,-5604.6667,-668.0,1.3035,67.7111,1.7778,0.152,3.4052,49.727,66.4082,86.9417,16.36,5.364,348.1491,9.9789,137.6445,724.2693,1.0083,133.8882,619.6818,54.1691,4.575,4.84,2822.0,0.9378,4.6615,-1.42,348.1973,10.3301,116.2245,8.9208,21.42,27.1504,697.1189,147.4409,611.8627,107.9067,468.3475,0.0,-0.0023,0.0027,-0.009,-0.0292,0.0108,0.0192,-0.0321,-0.0522,7.5888,0.138,2.4262,0.9871,1794.9025,0.1998,8799.9801,-0.0685,0.3449,-0.8021,-0.0744,0.2011,-0.0047,0.0193,,,,0.9444,695.2041,0.9904,57.5919,0.5989,0.972,6.205,15.85,3.997,1.097,2.956,0.6639,3.386,0.0,0.7021,2.3235,1002.4991,41.745,254.6,129.0,66.7998,189.1969,0.1343,0.0734,0.0302,4.336,12.851,0.9305,0.35,0.0819,364.0,3185.0,11045.0,1.9,0.9,0.101,0.8535,0.0896,0.5157,0.7737,0.3193,0.658,11.93,32.544,0.1608,21.78,22.825,0.328,0.0,0.0,0.038,0.0488,0.0298,0.0517,0.0634,0.0823,0.0699,0.0475,4.1424,0.002,91.399,0.0458,0.0218,0.0272,,,0.0507,0.0,3.2323,0.0052,0.6146,17.588,33.0087,42.3465,70.7375,1.88,0.022,0.0113,1.3083,3.6672,0.2792,0.1009,160.6266,1719.9728,4949.9322,0.0299,0.1171,0.3143,0.0401,0.1925,0.1204,6.2946,0.2128,3.2712,0.0477,2.6669,7.7985,0.0,23.1017,4.7106,0.0,0.0119,0.0207,0.0129,0.0244,0.0204,0.0387,0.0395,0.0214,1.4361,28.0191,,,,0.0003,1.112,0.0271,6.0035,2.9169,436.9048,291.0843,58.4589,56.8276,0.0,42.1366,450.0,178.6832,29.8319,0.0,62.7718,0.0,0.0,330.1939,176.7521,587.377,427.5325,217.5875,90.9091,1.739,22.9105,717.6955,0.0,400.0,450.0,0.0,0.5327,7.116,0.6787,406.414,80.594,0.9512,0.1094,247.11,0.6688,3.57,535.9227,1.911,0.1435,3.1242,0.0437,7.508,0.0271,176.0329,0.0154,0.0271,176.0329
241,2008-08-18 0:02,1,2467.49,2185.9333,1659.6962,1.629,98.6822,0.1227,1.4114,-0.0005,-0.0088,0.943,202.5579,11.2227,423.8263,10.1733,0.9642,192.3847,12.6063,1.4022,3042.0,-4836.25,374.75,1.2773,65.6778,3.0556,0.2492,3.413,49.6757,66.2377,86.9247,76.97,4.019,354.0864,9.8706,137.4073,730.1885,1.0428,134.8818,626.3755,47.8022,4.632,4.898,2828.0,0.9335,4.5996,9.2082,352.4627,10.7656,106.6155,19.5491,30.7918,36.9278,693.2606,147.7482,606.8264,91.0124,,0.0,-0.0318,-0.0227,-0.081,-0.0506,0.057,-0.0989,-0.022,-0.031,7.3307,0.1337,2.4061,0.9707,1836.6503,0.1632,8747.37,0.0357,0.2088,-0.4339,-0.0028,-0.0562,0.0561,0.0473,,,,0.9578,690.0066,0.9906,59.9297,0.5911,0.971,6.1849,15.77,2.632,0.9744,2.758,0.4541,3.341,0.7569,0.823,2.3834,1011.6333,36.6674,130.3,140.3,60.3,220.325,0.0641,0.0503,0.0686,5.9,12.14,1.3051,0.59,0.0261,835.0,7537.0,405.0,1.6,2.1,0.168,1.0039,0.0452,0.5476,0.7709,0.1964,0.807,14.07,33.646,0.2052,21.54,30.086,0.275,0.0,0.0,0.1257,0.056,0.0567,0.1292,0.0804,0.086,0.0968,0.038,4.5065,0.0084,88.7012,0.0398,0.0157,0.0117,,,0.0094,0.0,2.5557,0.0206,0.5422,12.64,25.5771,47.544,69.936,1.9511,0.0117,0.0201,2.0488,3.4889,0.3559,0.1692,415.786,3604.8504,211.7961,0.0514,0.2161,0.3668,0.0207,0.2099,0.0807,7.1479,0.2979,3.7511,0.0744,2.4198,9.2475,0.0,18.0422,,0.0,0.0375,0.0272,0.0234,0.0565,0.0247,0.0436,0.0494,0.0179,1.4854,29.847,,,0.027,0.0002,0.7601,0.0286,4.5224,2.2816,0.0,781.21,52.5719,155.8439,108.072,62.9386,96.436,119.545,28.8388,0.0,56.8055,395.0501,247.2406,69.9784,255.336,140.9445,86.9126,440.0,122.4819,2.0937,24.4199,0.0,0.0,149.1124,0.0,0.0,2.1251,7.116,1.174,404.61,73.212,0.9882,0.1492,265.1,0.7178,9.2,535.7882,2.2067,0.2636,2.4762,0.0826,11.9444,,,0.0154,0.0271,176.0329
243,2008-08-18 1:23,1,2593.63,2204.9223,1787.6757,1.5138,100.4322,0.1216,1.5105,-0.0009,0.0134,0.951,199.3709,4.5468,406.6076,10.3906,0.96,188.9803,12.6571,1.3859,2693.75,-770.25,-1756.75,1.2915,69.4333,2.2111,0.1723,3.4202,49.746,66.2532,87.0337,78.11,3.708,354.7673,9.8746,139.4555,735.2533,1.2772,135.4845,629.7073,173.8408,4.623,4.845,2831.0,0.9331,4.5634,8.5273,353.3482,10.6997,107.9827,22.3637,31.4727,39.0387,696.2145,146.0127,607.3436,52.4995,466.8624,0.0,0.0079,-0.03,0.007,-0.0151,0.0234,-0.0974,-0.0217,0.0283,7.4502,0.1246,2.3783,0.7749,1795.2952,0.1474,9262.3499,0.0034,0.0025,0.0185,0.0205,-0.0898,-0.1008,-0.103,,,,0.9332,914.8248,0.9905,59.0384,0.5943,0.9708,6.3014,15.79,2.778,1.002,2.798,0.4767,3.317,0.0,0.8187,2.4,1012.0556,36.907,106.1,71.7,52.0,200.118,0.0773,0.0562,0.054,2.574,11.553,0.4207,0.54,0.0438,433.0,10834.0,2375.0,2.2,0.8,0.117,0.7997,0.127,0.6414,0.8191,0.3016,0.577,8.7,31.177,0.1288,17.1,68.46,0.272,0.0,0.0,0.0858,0.0446,0.078,0.1031,0.0732,0.0902,0.1006,0.0676,4.1303,0.9886,254.5427,0.0347,0.025,0.0205,,,0.0087,0.0,2.6639,0.0186,0.4466,12.62,22.1285,21.6594,79.9348,1.4999,0.0142,0.015,0.9041,2.9075,0.1257,0.1646,186.0043,5284.7124,1016.2219,0.0354,0.1239,0.3256,0.0452,0.2359,0.1113,5.9026,0.1828,2.3868,0.0393,2.9828,18.6141,0.0,7.2417,4.36,0.0,0.0263,0.0187,0.0355,0.0464,0.0249,0.0513,0.0422,0.0283,1.5776,83.226,,,0.0061,0.0002,0.8748,0.0295,4.3076,3.5371,0.0,403.7383,56.611,0.0,135.1928,39.3809,75.4051,87.2397,20.4304,0.0,47.1129,0.0,148.5429,0.0,681.6529,312.4033,92.6316,462.5287,238.6584,2.4245,23.5027,0.0,0.0,37.299,0.0,0.0,1.9126,7.116,0.9632,405.006,78.376,0.9772,0.0926,262.466,0.6167,6.08,532.2127,1.5093,0.1619,3.8958,0.0518,10.7299,,,0.0154,0.0271,176.0329
