,F153,F159,F198,F200,F201,F21,F252,F26,F319,F32,F33,F334,F34,F334.1,F35,F39,F407,F426,F470,F471,F474,F476,F524,F574
12,0.0186,971,0.747,17.96,7.11,-5521.25,3.4391,2.0107,6.8271,84.9105,8.6789,0.2175,50.51,0.2175,64.1125,117.0442,0.8583,1.9245,7.6114,7.7847,45.2117,24.1399,5.8568,2.6544
13,0.0341,2413,0.279,12.63,3.57,-6069.75,3.179,1.7822,6.2531,83.7998,8.7977,0.0816,50.4285,0.0816,64.202,116.536,1.2284,3.5863,2.645,9.5918,13.9898,6.6225,5.3373,3.441
14,0.014,5726,0.491,17.34,3.91,-1431.5,3.8517,0.439,6.6228,85.0922,9.2007,0.1525,50.1899,0.1525,64.2199,118.2566,1.2284,1.4406,4.699,6.1078,22.3212,15.768,6.8096,3.7724
15,0.0105,5803,0.613,10.4,3.1,-2694.75,4.8847,0.8882,6.8385,85.0922,9.2007,0.1685,50.1899,0.1685,64.2199,118.2566,0.8041,1.0833,6.0357,6.137,23.2655,21.0437,8.5439,2.8829
16,0.0137,601,1.183,15.7,2.59,-5757.25,2.7255,2.0055,7.0729,86.3472,9.1283,0.356,50.1869,0.356,64.0917,122.0886,0.8041,1.4197,11.5505,7.5067,13.101,20.9306,4.6061,2.766
17,0.0126,1653,1.148,11.45,4.9,-5612.5,2.9492,1.7835,7.2303,85.0465,8.5762,0.3114,50.0595,0.3114,63.8294,117.7632,0.8041,1.3003,11.4517,6.2616,14.7892,10.2185,5.0285,3.5183
18,0.0142,1036,0.44,17.69,5.3,-5575.25,2.793,1.9803,6.9173,85.3498,8.6397,0.1316,50.6324,0.1316,64.1999,117.674,0.7969,1.4616,4.3102,7.2194,25.9254,13.6881,4.6954,2.3022
19,0.0146,906,0.89,10.43,6.25,-5469.25,2.3663,2.0157,6.7628,84.9105,8.6789,0.2498,50.51,0.2498,64.1125,117.0442,0.7969,1.5012,8.6183,7.952,34.3784,32.1569,4.0018,2.2358
20,0.017,227,0.9,11.21,4.46,-5441,3.36,1.97,6.6868,85.7939,8.6572,0.2957,50.2073,0.2957,63.9008,117.2894,0.7969,1.7554,9.0538,6.2285,23.0478,24.9484,5.7122,2.4529
21,0.0167,1001,0.863,17.51,5.9,-5434,3.447,2.0095,7.1292,85.3498,8.6397,0.2963,50.6324,0.2963,64.1999,117.674,0.7969,1.7251,8.5785,5.985,23.945,16.926,5.8732,2.8482
22,0.0142,668,1.069,16.13,5.81,-5310.25,3.2127,1.9715,6.8796,85.3498,8.6397,0.2906,50.6324,0.2906,64.1999,117.674,1.1525,1.4638,10.6502,5.0569,25.8266,25.8499,5.451,2.6843
23,0.0149,5665,0.893,16.72,3.34,-2664.25,3.8766,0.8915,6.9612,85.0922,9.2007,0.244,50.1899,0.244,64.2199,118.2566,1.3173,1.5379,8.7833,5.8277,18.9409,36.3944,6.8185,3.1106
24,0.0037,5366,0.238,11.37,3.32,-2681.75,3.2675,0.8862,6.1235,84.0432,8.7487,0.0642,50.2849,0.0642,64.3732,118.7784,1.3121,0.3813,2.2761,10.3624,16.1328,11.4665,5.5411,2.6206
25,0.0214,5913,0.385,11.35,4.84,-2706,2.6365,0.8895,6.4657,85.0716,8.6942,0.1225,50.5287,0.1225,64.3976,118.0626,0.9718,2.24,3.6417,4.8438,19.6543,11.383,4.4577,2.9887
26,0.0213,542,0.216,19.84,5.3,-5611.75,2.3593,2.0137,10.1805,84.9052,9.7997,0.0696,50.6596,0.0696,64.2828,118.1188,0.9718,2.2223,1.9859,7.1962,23.4105,15.2357,4.0167,1.7463
27,0.0123,455,0.726,13.36,6.52,-5369,4.9397,2.0017,5.722,84.3324,8.9336,0.2409,50.5527,0.2409,64.2529,116.7828,1.5844,1.2655,7.5001,6.4521,35.6874,15.6314,8.4235,3.3671
28,0.0214,724,0.866,14.76,6.34,-5217.5,2.381,1.802,5.6101,84.7166,8.8388,0.2944,50.3916,0.2944,64.1968,111.7128,0.9718,2.2383,9.0132,7.2863,27.0808,25.4735,4.1013,2.5665
29,0.017,252,1.007,9.73,6.59,-5416,2.6898,1.9817,6.1586,85.6039,8.7588,0.2772,50.179,0.2772,64.1668,118.6704,1.131,1.7651,9.8157,11.4559,23.6173,15.6131,4.752,3.1722
30,0.019,535,0.361,18.72,8.94,-5500.5,2.9025,1.9888,6.4394,101.9072,23.3453,0.1288,57.6663,0.1288,74.7081,126.5662,1.5844,1.9758,3.4838,6.7643,81.9273,20.2372,4.937,2.6984
31,0.0213,310,0.937,12.78,5.43,-5497.75,2.1927,1.9773,6.6218,83.9737,8.8033,0.2914,50.3329,0.2914,64.485,118.6328,0.9718,2.2207,9.1041,11.5871,13.0432,11.957,3.9184,2.9829
32,0.0117,671,0.236,20.02,8.69,-5507.75,4.2653,1.9745,6.6352,86.3472,9.1283,0.0766,50.1869,0.0766,64.0917,122.0886,1.0398,1.205,2.1856,5.2224,33.4064,12.268,7.2939,3.5623
33,0.0124,5575,0.251,13.99,2.4,-2622.5,4.441,0.8912,6.8639,85.6591,8.8249,0.0838,50.3878,0.0838,64.1536,118.3554,1.0398,1.2699,2.3479,5.0256,27.4778,11.4741,7.5934,4.1245
34,0.0161,2058,0.938,17.57,7.17,-6010.25,2.4406,1.7778,5.8721,84.3324,8.9336,0.3381,50.5527,0.3381,64.2529,116.7828,1.131,1.668,9.8176,8.63,29.3666,14.6363,4.3199,2.5269
35,0.0126,531,0.313,11.75,6.02,-5548,2.8954,2.0092,7.133,85.2487,10.0686,0.0874,50.6755,0.0874,64.3085,117.7568,1.0398,1.3012,2.9163,7.8205,15.4172,11.4604,4.8923,1.8732
36,0.0086,5448,0.746,16.75,6.62,-1362,3.6863,0.4407,5.7967,85.6039,8.7588,0.2558,50.179,0.2558,64.1668,118.6704,1.131,0.8767,7.6636,7.4159,33.3534,15.7751,6.4223,3.6701
37,0.0154,617,1.249,17.24,6.9,-5452.75,4.9502,1.9728,5.8909,85.6039,8.7588,0.3536,50.179,0.3536,64.1668,118.6704,1.131,1.6027,12.1198,11.3992,19.4709,19.67,8.4774,3.3656
38,0.0063,73,0.912,19.62,3.35,-5493.75,2.6639,2.0135,6.4567,84.7569,8.659,0.3398,50.153,0.3398,64.1114,118.6128,1.131,0.6467,9.1568,8.1255,37.7319,32.3644,4.4824,2.2791
39,0.0149,168,0.284,25.1,9.39,-5525.5,4.2471,2.0092,6.1395,101.9072,23.3453,0.0736,57.6663,0.0736,74.7081,126.5662,0.8497,1.5383,2.6982,5.9709,52.1369,13.8372,7.2761,2.3065
40,0.0125,1848,0.796,17.38,3.93,-5085.25,2.7806,1.9875,5.9578,84.6216,9.1585,0.3098,50.3138,0.3098,64.4425,122.4028,1.131,1.2867,8.1671,5.9343,32.0013,20.4473,4.8304,4.2202
41,0.0186,72,0.402,18.21,6.14,-5626.25,3.1004,1.987,10.1341,85.0724,8.6074,0.1103,50.5378,0.1103,64.0172,117.8088,1.0398,1.9298,3.7213,7.3418,26.2688,15.7423,5.2913,2.2226
42,0.0171,2867,0.192,12.85,4.94,-6033.25,2.5999,1.97,6.8452,85.6626,9.1502,0.0671,50.2288,0.0671,64.1871,119.3708,1.0398,1.7789,1.7599,7.9705,19.9216,11.7079,4.4178,3.5751
43,0.0136,723,0.793,16.06,15.93,-5415.75,2.3474,2.0063,5.915,84.1874,10.6376,0.2551,50.6882,0.2551,64.7132,118.8356,0.424,1.3993,8.3426,5.87,56.7309,21.6098,4.0099,3.8966
44,0.0173,7569,0.323,23.16,3.49,-4731,4.0153,1.3322,10.6642,84.6216,9.1585,0.0986,50.3138,0.0986,64.4425,122.4028,0.8501,1.7925,3.0055,7.8156,19.4796,29.2477,6.9621,3.7648
45,0.0168,299,0.449,21.82,10.53,-5546.5,3.976,1.9992,10.1112,84.1874,10.6376,0.123,50.6882,0.123,64.7132,118.8356,0.8501,1.7323,4.0825,11.8626,19.0472,26.1277,6.9295,2.9727
46,0.0129,7600,0.346,21.91,6.81,-3281,3.8427,0.8885,11.0873,84.0432,8.7487,0.0923,50.2849,0.0923,64.3732,118.7784,0.7601,1.3234,3.2174,7.7587,25.4083,9.78,6.6657,4.0631
47,0.0213,7653,1.019,18.15,9.47,-4667.25,2.6422,1.3305,6.7794,85.0922,9.2007,0.2889,50.1899,0.2889,64.2199,118.2566,0.7601,2.2069,10.0267,4.7941,49.7653,18.4388,4.5069,3.6023
48,0.0145,109,0.28,21.28,9.5,-5300.25,3.7145,2.0105,5.6056,101.9072,23.3453,0.098,57.6663,0.098,74.7081,126.5662,0.8497,1.4986,2.6712,4.1046,69.586,36.8704,6.3972,2.5312
49,0.0148,760,0.288,12.39,6.68,-5553,2.7385,2.0433,10.5917,84.3585,8.7495,0.0907,50.4362,0.0907,64.2234,117.7078,0.8501,1.525,2.7678,7.4755,34.1144,27.3414,4.6927,2.3127
50,0.0159,157,0.373,22.08,5.09,-5394,4.2139,2.0032,10.5646,101.9072,23.3453,0.0951,57.6663,0.0951,74.7081,126.5662,0.8501,1.6462,3.5637,8.9455,37.7838,8.4811,7.224,2.3055
51,0.0183,5391,0.407,13.48,5.57,-2575.5,4.3934,0.892,6.5515,84.0432,8.7487,0.1107,50.2849,0.1107,64.3732,118.7784,1.3416,1.8979,3.7849,7.164,25.0882,10.2747,7.443,3.2968
52,0.0146,785,0.165,24.07,18.99,-5175.5,2.6724,2,5.1302,84.1874,10.6376,0.0528,50.6882,0.0528,64.7132,118.8356,1.3416,1.5114,1.4896,12.9409,43.0024,53.9517,4.5557,2.5006
53,0.0117,444,0.324,8.34,5.62,-5545,4.2871,1.9772,6.7101,85.6591,8.8249,0.093,50.3878,0.093,64.1536,118.3554,0.7601,1.2029,3.027,7.7033,19.8739,15.2503,7.3053,3.1643
54,0.0123,7657,0.313,15.21,9.7,-4520.75,4.4631,1.3458,10.5399,85.1197,9.1784,0.1013,50.2165,0.1013,64.229,118.771,0.7601,1.2708,2.9013,8.2032,44.7657,20.0194,7.5376,2.7718
55,0.0196,540,0.338,17.58,9.27,-5683.75,2.5649,1.9597,10.6396,85.1197,9.1784,0.0924,50.2165,0.0924,64.229,118.771,0.7601,2.0277,3.2193,7.1568,39.1888,13.6513,4.4039,2.9084
56,0.0116,682,0.328,13.79,4.99,-5460.5,3.1095,2.031,6.5963,85.794,8.7599,0.1024,50.3802,0.1024,63.9715,117.6882,1.5117,1.1893,3.0952,4.2375,25.6694,12.7209,5.2615,2.7639
57,0.0165,5475,0.175,26.55,13.67,-1368.75,3.2904,0.4425,10.5768,84.0432,8.7487,0.0556,50.2849,0.0556,64.3732,118.7784,1.3416,1.6997,1.587,15.5496,25.4693,26.5792,5.6104,3.0902
58,0.0145,7709,1.322,13.73,6.08,-4490.5,2.3459,1.3438,6.2104,85.1197,9.1784,0.3653,50.2165,0.3653,64.229,118.771,0.9207,1.4902,13.0074,8.8195,19.135,25.6666,4.1913,2.8877
59,0.0146,817,0.269,16.31,5.21,-5433.25,4.3243,2.0187,10.4884,84.9052,9.7997,0.0848,50.6596,0.0848,64.2828,118.1188,1.0968,1.4987,2.5446,7.7944,28.3775,11.4323,7.4224,2.1994
60,0.0095,571,0.278,21.67,8.16,-5493.75,3.2252,1.9828,10.3384,84.1874,10.6376,0.0859,50.6882,0.0859,64.7132,118.8356,0.7814,0.9742,2.5436,12.9861,23.841,22.1802,5.452,2.6533
61,0.0076,5477,0.839,19.73,12.86,-2597,4.1038,0.891,5.8927,85.6039,8.7588,0.2402,50.179,0.2402,64.1668,118.6704,1.4345,0.7779,8.6976,4.5435,46.9959,17.365,6.8878,3.6728
62,0.0037,662,0.293,11.61,3.75,-5507.5,2.3288,1.9905,5.727,85.794,8.7599,0.0917,50.3802,0.0917,63.9715,117.6882,1.4345,0.376,2.7431,7.5116,15.8463,11.9686,4.0078,2.3288
63,0.0169,1213,0.191,19.75,4.28,-5667.5,4.9963,2.012,10.8535,85.8965,9.2405,0.0502,50.157,0.0502,64.0502,119.2274,1.1698,1.7486,1.8023,7.7593,23.4308,9.0669,8.7073,2.3507
64,0.0079,599,0.366,6.73,4.49,-5501.75,2.6554,2.0062,5.1001,84.3585,8.7495,0.1015,50.4362,0.1015,64.2234,117.7078,1.482,0.8118,3.3468,10.0731,9.349,9.6388,4.7819,3.2033
65,0.0076,984,0.378,14.53,6.08,-5382.5,5.2175,2.01,6.4213,84.3585,8.7495,0.1131,50.4362,0.1131,64.2234,117.7078,1.1366,0.7839,3.5232,6.2039,20.8641,12.2365,9.0887,2.0163
66,0.0073,148,0.368,9.52,3.3,-5659.25,2.2402,2.0077,5.4362,85.0856,8.6324,0.116,50.0906,0.116,64.1658,117.802,1.1366,0.7478,3.4916,5.4215,14.249,15.1961,3.8713,2.1543
67,0.0107,489,0.188,20.42,7.02,-5349,5.5617,1.9663,7.1443,83.8746,9.2658,0.0565,50.2261,0.0565,64.3328,119.104,1.1366,1.1005,1.7526,6.2822,26.6698,35.7037,9.406,3.522
68,0.0097,548,0.936,18.45,14.93,-5597,4.4487,1.9752,6.1475,83.9737,8.8033,0.325,50.3329,0.325,64.485,118.6328,1.1366,0.9988,9.4569,4.9918,52.8369,10.402,7.4778,2.8332
69,0.0169,833,0.478,15.6,2.39,-5440.5,2.8423,2.0045,6.3737,85.794,8.7599,0.1466,50.3802,0.1466,63.9715,117.6882,1.1366,1.7578,4.5225,5.24,21.2516,24.9216,4.7336,3.8913
70,0.0183,594,0.345,10.41,3.93,-5614.25,5.0317,1.9745,5.2038,85.324,9.6272,0.1285,50.4945,0.1285,64.1596,117.796,1.1366,1.9036,3.2784,6.3911,17.605,11.9669,8.7399,2.4106
71,0.0087,308,0.333,19.5,4.31,-5534.5,3.5801,2.018,6.4765,85.794,8.7599,0.1019,50.3802,0.1019,63.9715,117.6882,1.2895,0.8943,3.1888,6.1553,25.7066,36.503,6.321,2.6025
72,0.0117,5684,0.528,13.24,3.75,-2649.25,2.267,0.8882,6.0925,84.0432,8.7487,0.1469,50.2849,0.1469,64.3732,118.7784,1.1227,1.1992,4.8942,7.2089,23.1843,12.3478,3.9075,3.4964
73,0.0108,268,0.332,19.73,5.12,-5554.25,2.6624,2.021,10.0825,84.7166,8.8388,0.108,50.3916,0.108,64.1968,111.7128,1.2895,1.1099,3.1065,10.1134,27.9029,8.3426,4.5129,1.7611
74,0.0153,663,0.488,14.79,5.61,-6566,2.2436,1.8762,4.3992,85.2575,9.094,0.1498,50.249,0.1498,64.235,119.6672,1.3384,1.5858,4.6044,5.0228,30.9357,32.3052,3.8602,2.0122
75,0.0109,386,0.349,10.46,3.32,-5613.75,2.6264,1.99,5.7594,85.6039,8.7588,0.1046,50.179,0.1046,64.1668,118.6704,1.1227,1.1157,3.2965,8.7825,11.5519,11.7465,4.3754,3.3993
76,0.0165,502,0.351,9.16,16.39,-6546.5,4.4574,1.8822,4.654,85.2575,9.094,0.1123,50.249,0.1123,64.235,119.6672,1.3384,1.7021,3.3258,6.3593,75.6008,13.5315,7.9544,3.7784
77,0.0154,423,0.988,22.53,15.49,-5652,4.949,1.9457,6.4111,85.1197,9.1784,0.3475,50.2165,0.3475,64.229,118.771,1.3384,1.5905,10.053,5.7722,58.2841,22.5208,8.6413,2.5902
78,0.0113,2170,0.954,16.41,4.53,-6656.75,2.2309,1.7797,6.0475,84.6216,9.1585,0.2963,50.3138,0.2963,64.4425,122.4028,1.1227,1.1592,9.6957,5.6422,19.1428,18.3156,3.7429,3.5456
79,0.0226,504,1.243,11.72,4.27,-5681.5,5.3135,1.9998,6.6742,84.3585,8.7495,0.3494,50.4362,0.3494,64.2234,117.7078,1.2895,2.3661,11.7693,8.5027,28.8153,23.3872,9.2274,3.6913
80,0.0093,311,0.847,17.57,16.99,-5537.5,5.4718,1.9648,5.8072,85.1197,9.1784,0.2756,50.2165,0.2756,64.229,118.771,1.3384,0.9558,8.6485,7.3866,52.7055,40.8689,9.2501,3.6866
81,0.0092,378,1.342,19.08,14.04,-5349.25,4.3467,2.0063,6.0691,84.1874,10.6376,0.3832,50.6882,0.3832,64.7132,118.8356,1.7597,0.9416,14.1335,4.0934,53.3957,25.1927,7.3249,2.3189
82,0.0122,424,0.256,22.69,7.5,-5495.75,2.5844,1.9688,9.9304,83.8746,9.2658,0.074,50.2261,0.074,64.3328,119.104,1.482,1.2543,2.3519,9.2721,25.3071,18.9788,4.4725,4.5061
83,0.011,527,0.406,17.17,7.31,-6518.25,4.1884,1.8967,4.7173,85.4579,8.6667,0.1284,50.2987,0.1284,64.2122,117.955,1.7597,1.129,3.9708,3.1065,49.0923,33.5899,7.4388,2.913
84,0.0245,7791,0.506,14.89,5.94,-4556,4.9641,1.3362,5.9844,85.1197,9.1784,0.1762,50.2165,0.1762,64.229,118.771,1.1227,2.5063,5.0212,6.3465,20.2083,15.8872,8.6617,2.5261
85,0.0161,530,0.666,8.71,4.62,-5432.5,2.2533,2.0345,5.4033,84.3324,8.9336,0.1831,50.5527,0.1831,64.2529,116.7828,1.7597,1.659,6.2146,9.9812,23.6945,7.348,3.8701,137.833
86,0.0202,745,0.197,12.45,9.16,-5677.75,2.179,1.9985,4.9523,84.8723,8.755,0.0626,50.3957,0.0626,64.0838,117.326,1.7597,2.0999,1.8058,7.1093,25.6771,14.5221,3.7779,137.833
87,0.0122,1657,0.986,5.07,9.36,-6174.5,3.3278,1.881,2.4657,84.8178,8.7947,0.3105,50.2004,0.3105,63.9947,118.7708,1.0643,1.2446,9.5157,12.0556,72.3139,15.2609,5.7451,3.6157
88,0.0137,296,1.149,4.94,5.49,-5367.75,2.0419,2.0093,1.8788,84.8178,8.7947,0.3223,50.2004,0.3223,63.9947,118.7708,1.0643,1.4003,11.1861,12.2571,40.5349,18.3601,3.4952,3.6182
89,0.0133,531,0.45,7.12,5.86,-5393.25,2.1536,1.9872,5.171,85.6591,8.8249,0.1278,50.3878,0.1278,64.1536,118.3554,1.271844166,1.3796,4.142,11.9746,13.8468,13.502,3.7336,137.833
90,0.0133,578,1.048,7.13,5.44,-5594.25,2.2055,1.8807,1.6574,85.4507,9.3851,0.3008,50.4554,0.3008,63.8228,118.528,1.0643,1.3617,10.3196,12.9399,33.6344,14.6237,3.767,2.3605
91,0.0142,5703,0.461,15.91,2.88,-2665.5,4.3757,0.8912,6.6879,85.0716,8.6942,0.1365,50.5287,0.1365,64.3976,118.0626,1.2895,1.4659,4.4261,5.1356,19.3648,11.5465,7.4077,4.1245
92,0.0135,527,0.429,17.45,10.24,-5527,2.4838,1.984,10.4385,85.6626,9.1502,0.1132,50.2288,0.1132,64.1871,119.3708,1.1227,1.3959,4.0658,8.5949,55.4771,6.0868,4.2343,4.1245
93,0.0134,7716,0.266,13.22,9.81,-4695.25,2.8538,1.3355,5.1677,84.7166,8.8388,0.0733,50.3916,0.0733,64.1968,111.7128,1.018506474,1.3778,2.4099,8.1614,26.5079,8.7293,4.8872,3.4939
94,0.0167,663,0.437,7.29,6.67,-5491.5,4.3197,1.9898,5.2074,85.0716,8.6942,0.1232,50.5287,0.1232,64.3976,118.0626,0.9721,1.7213,4.0185,13.5601,16.3471,7.8537,7.4813,137.833
95,0.0187,619,0.245,9.5,7.81,-5463.25,2.1928,2.0063,4.8712,84.9052,9.7997,0.0794,50.6596,0.0794,64.2828,118.1188,1.210980187,1.9383,2.2287,8.7713,21.7283,11.4258,3.794,2.9696
96,0.0122,5480,1.033,15.66,7.92,-2609.25,2.0666,0.8925,5.9438,85.6039,8.7588,0.3593,50.179,0.3593,64.1668,118.6704,1.1227,1.2508,10.569,4.5481,31.2499,36.4566,3.5701,3.3384
97,0.0143,167,0.454,4.01,9.33,-5497.75,2.701,2.0083,1.7279,84.8178,8.7947,0.1433,50.2004,0.1433,63.9947,118.7708,1.6137,1.4744,4.4178,9.0952,66.6321,39.095,4.6515,3.5301
98,0.0141,592,0.392,9.74,9.79,-5522.25,2.1089,1.87,2.0899,85.4507,9.3851,0.1287,50.4554,0.1287,63.8228,118.528,1.6137,1.4541,3.7659,10.4369,58.2981,20.4777,3.6173,2.8864
99,0.0049,6011,0.328,30.17,20.6,-1502.75,3.1925,0.4368,6.3227,85.0922,9.2007,0.0862,50.1899,0.0862,64.2199,118.2566,1.0643,0.5029,2.9706,17.2001,45.3306,43.7804,5.5214,4.089
100,0.0142,352,0.882,3.57,10.66,-5443,2.2831,1.9935,2.5953,84.8178,8.7947,0.2519,50.2004,0.2519,63.9947,118.7708,1.6137,1.458,8.6167,9.9532,51.9971,28.6441,3.8734,4.32
101,0.0267,336,0.505,4.26,8.18,-5668,3.2082,1.853,2.3025,85.4507,9.3851,0.1506,50.4554,0.1506,63.8228,118.528,0.9444,2.7999,4.8772,11.6262,74.713,13.3243,5.4589,2.4933
102,0.0216,168,0.415,14.48,4.22,-6274.75,3.8545,1.8835,5.2036,85.4138,10.9634,0.1445,50.3803,0.1445,64.2949,118.8972,0.9444,2.2588,3.9783,6.9812,22.3427,9.8885,6.6506,116.2324
103,0.0138,552,0.851,6.07,7.61,-5609.5,2.3694,1.8678,1.8371,85.4507,9.3851,0.2712,50.4554,0.2712,63.8228,118.528,1.6137,1.4215,8.3126,11.7576,36.3482,11.5089,4.0307,2.9717
104,0.0122,302,0.505,13.2,7.93,-6487.25,4.2815,1.8753,5.1015,85.2575,9.094,0.1478,50.249,0.1478,64.235,119.6672,0.9721,1.2562,4.9785,3.6042,52.1988,49.8401,7.2571,2.8505
105,0.022,623,0.881,15.55,4.24,-6361.5,2.8887,1.8895,4.9924,85.4138,10.9634,0.2588,50.3803,0.2588,64.2949,118.8972,1.0643,2.3024,8.4746,8.4532,26.8126,21.0087,4.9618,2.8582
106,0.0123,392,0.271,20.52,6.69,-6514,2.6602,1.882,6.6302,84.5407,9.1638,0.1009,50.1709,0.1009,64.2232,119.7114,0.9721,1.2645,2.6114,3.5491,37.6059,7.2774,4.5041,3.349
107,0.0194,532,0.315,16.04,4.77,-6541.25,2.9365,1.8858,4.3593,85.2575,9.094,0.0952,50.249,0.0952,64.235,119.6672,0.9721,2.0198,2.9504,8.2759,18.0467,10.1317,5.012,2.4813
108,0.0129,1270,0.382,16.17,6.78,-5147.25,2.4444,1.983,4.2394,85.2575,9.094,0.1033,50.249,0.1033,64.235,119.6672,0.9721,1.331,3.6777,3.6091,42.5125,40.7596,4.1837,2.7748
109,0.0195,385,0.57,15.9,7.62,-6485.5,31.7855,1.888,6.0052,84.5407,9.1638,0.1915,50.1709,0.1915,64.2232,119.7114,1.6137,2.0322,5.589,4.2878,31.5931,21.7446,56.7734,2.6985
110,0.0111,702,0.333,17.18,9.69,-5409,2.4227,1.9937,10.5455,84.3324,8.9336,0.1029,50.5527,0.1029,64.2529,116.7828,1.2596,1.1393,3.167,7.5951,39.7404,8.8018,4.1902,1.9274
111,0.0109,389,0.363,11.99,7.72,-6463,3.2859,1.8718,4.4095,85.4579,8.6667,0.0924,50.2987,0.0924,64.2122,117.955,1.6137,1.1213,3.5214,2.8048,60.8267,36.3109,5.6305,2.9137
112,0.0175,259,0.327,21.71,7.53,-5301,4.0029,1.9775,10.0152,83.8746,9.2658,0.1047,50.2261,0.1047,64.3328,119.104,1.0643,1.8212,3.0719,7.8631,30.1132,21.928,6.8926,2.983
113,0.1879,203,0.244,16.99,8.53,-5401.75,2.5798,2.019,6.2614,84.3585,8.7495,0.0797,50.4362,0.0797,64.2234,117.7078,1.2596,19.7458,2.3444,4.3325,25.9043,10.1527,4.3461,3.4224
114,0.0068,674,0.42,15.24,5.19,-6470.75,2.8646,1.8893,4.7975,85.4138,10.9634,0.1377,50.3803,0.1377,64.2949,118.8972,1.6137,0.6964,4.0454,8.9105,23.6427,46.3803,4.8337,2.9867
115,0.0122,692,1.127,17.62,11.59,-5432.75,2.664,1.9748,6.1942,85.8965,9.2405,0.3187,50.157,0.3187,64.0502,119.2274,1.0643,1.2543,11.506,5.7471,60.3792,26.6958,4.4952,4.1584
116,0.0193,3597,0.569,14.62,5.32,-5856.75,2.3568,1.8845,5.6058,84.5407,9.1638,0.1734,50.1709,0.1734,64.2232,119.7114,1.6137,2.0111,5.5471,5.0632,36.4654,7.7077,3.9829,3.4589
117,0.0203,793,0.739,13.73,7.87,-5657.75,2.0821,1.97,4.6159,85.2575,9.094,0.2019,50.249,0.2019,64.235,119.6672,1.2596,2.1082,7.151,2.454,47.0653,15.4779,3.5963,2.7984
118,0.0245,717,0.501,11.37,7.67,-5560.75,2.2854,1.9817,4.893,83.8746,9.2658,0.1461,50.2261,0.1461,64.3328,119.104,1.0643,2.5645,4.8603,4.6301,30.6754,10.5064,3.8732,4.0972
119,0.0131,210,1.06,16.87,12.58,-5474.25,2.3293,1.9945,6.1812,84.1874,10.6376,0.2818,50.6882,0.2818,64.7132,118.8356,1.1828,1.3431,10.5896,4.4555,39.241,17.5016,3.9418,1.9688
