,F153,F159,F198,F200,F201,F21,F26,F273,F319,F32,F33,F334,F337,F34,F35,F39,F4,F407,F411,F426,F470,F474,F476,F525,F550,F551,F553,F554,F556,F557,F569,F572,F573
17,0.0126,1653,1.148,11.45,4.9,-5612.5,1.7835,17.4686,7.2303,85.0465,8.5762,0.3114,1.4931,50.0595,63.8294,117.7632,1.395,0.8041,2.1143,1.3003,11.4517,14.7892,10.2185,6.6861,,,,,,,18.6964,10.26,0.4839
18,0.0142,1036,0.44,17.69,5.3,-5575.25,1.9803,29.3685,6.9173,85.3498,8.6397,0.1316,1.7522,50.6324,64.1999,117.674,1.2043,0.7969,3.3841,1.4616,4.3102,25.9254,13.6881,4.5438,14.63,1.48,6.18,0.6754,3.5928,1.9857,16.3603,6,0.3148
19,0.0146,906,0.89,10.43,6.25,-5469.25,2.0157,18.0418,6.7628,84.9105,8.6789,0.2498,1.7887,50.51,64.1125,117.0442,1.5509,0.7969,2.1369,1.5012,8.6183,34.3784,32.1569,5.7825,19.83,1.33,8.1693,0.6061,4.8795,1.7842,,7.81,0.2811
20,0.017,227,0.9,11.21,4.46,-5441,1.97,,6.6868,85.7939,8.6572,0.2957,1.5802,50.2073,63.9008,117.2894,,0.7969,,1.7554,9.0538,23.0478,24.9484,4.5416,12.44,0.63,6.109,0.2694,3.0613,0.7907,10.397,6.86,0.3007
21,0.0167,1001,0.863,17.51,5.9,-5434,2.0095,29.3685,7.1292,85.3498,8.6397,0.2963,1.8395,50.6324,64.1999,117.674,1.2043,0.7969,3.3841,1.7251,8.5785,23.945,16.926,4.3493,23.06,1.71,10.8976,0.7116,5.621,2.1258,24.1277,8.1,0.206
22,0.0142,668,1.069,16.13,5.81,-5310.25,1.9715,29.3685,6.8796,85.3498,8.6397,0.2906,1.8127,50.6324,64.1999,117.674,1.2043,1.1525,3.3841,1.4638,10.6502,25.8266,25.8499,3.3379,14.97,1.33,6.9097,0.5707,3.6801,1.775,18.1074,7.49,0.2964
23,0.0149,5665,0.893,16.72,3.34,-2664.25,0.8915,25.2088,6.9612,85.0922,9.2007,0.244,0.9001,50.1899,64.2199,118.2566,1.4022,1.3173,3.6059,1.5379,8.7833,18.9409,36.3944,7.3469,15.91,0.91,7.7465,0.4079,3.9718,1.2205,,8.76,0.1682
24,0.0037,5366,0.238,11.37,3.32,-2681.75,0.8862,25.652,6.1235,84.0432,8.7487,0.0642,1.2514,50.2849,64.3732,118.7784,1.2639,1.3121,3.0582,0.3813,2.2761,16.1328,11.4665,7.948,20.53,1.66,8.9829,0.7528,5.0015,2.066,,7.17,0.4183
25,0.0214,5913,0.385,11.35,4.84,-2706,0.8895,17.2584,6.4657,85.0716,8.6942,0.1225,1.4067,50.5287,64.3976,118.0626,1.4918,0.9718,2.4411,2.24,3.6417,19.6543,11.383,3.4051,20.63,0.56,8.7911,0.2431,5.0121,0.7598,24.8352,9.25,0.2794
26,0.0213,542,0.216,19.84,5.3,-5611.75,2.0137,17.2584,10.1805,84.9052,9.7997,0.0696,1.6294,50.6596,64.2828,118.1188,1.4918,0.9718,2.4411,2.2223,1.9859,23.4105,15.2357,4.9268,,,,,,,30.4914,5.4,0.4222
27,0.0123,455,0.726,13.36,6.52,-5369,2.0017,20.7635,5.722,84.3324,8.9336,0.2409,2.0018,50.5527,64.2529,116.7828,1.3548,1.5844,3.0049,1.2655,7.5001,35.6874,15.6314,79.3919,12.25,0.37,5.289,0.1609,3.0919,0.5048,23.5268,9.37,0.238
28,0.0214,724,0.866,14.76,6.34,-5217.5,1.802,21.5914,5.6101,84.7166,8.8388,0.2944,2.1842,50.3916,64.1968,111.7128,0.8614,0.9718,2.7756,2.2383,9.0132,27.0808,25.4735,5.8989,13.05,1.32,6.0228,0.5415,3.2913,1.7557,16.4792,7.41,0.4414
29,0.017,252,1.007,9.73,6.59,-5416,1.9817,24.2952,6.1586,85.6039,8.7588,0.2772,1.6941,50.179,64.1668,118.6704,1.2998,1.131,3.0729,1.7651,9.8157,23.6173,15.6131,6.9965,20.75,0.22,9.239,0.0908,5.1528,0.2987,15.6756,8.78,0.4072
30,0.019,535,0.361,18.72,8.94,-5500.5,1.9888,22.8867,6.4394,101.9072,23.3453,0.1288,2.5845,57.6663,74.7081,126.5662,1.2569,1.5844,2.9065,1.9758,3.4838,81.9273,20.2372,5.6058,15.94,0.74,7.6655,0.3153,3.9856,1.0184,,7.73,0.2625
31,0.0213,310,0.937,12.78,5.43,-5497.75,1.9773,24.2952,6.6218,83.9737,8.8033,0.2914,1.5435,50.3329,64.485,118.6328,1.2998,0.9718,3.0729,2.2207,9.1041,13.0432,11.957,10.9319,19.71,1.59,9.5441,0.5881,4.909,2.1265,23.2076,7.95,0.219
32,0.0117,671,0.236,20.02,8.69,-5507.75,1.9745,27.2402,6.6352,86.3472,9.1283,0.0766,2.1732,50.1869,64.0917,122.0886,1.3015,1.0398,3.345,1.205,2.1856,33.4064,12.268,3.9022,16.39,1.72,8.2534,0.6713,4.0424,2.1444,22.9553,10.86,0.2539
33,0.0124,5575,0.251,13.99,2.4,-2622.5,0.8912,27.2402,6.8639,85.6591,8.8249,0.0838,0.7509,50.3878,64.1536,118.3554,1.3015,1.0398,3.345,1.2699,2.3479,27.4778,11.4741,4.827,19.63,1.23,7.637,0.5563,4.902,1.6641,33.2372,11.79,0.2879
34,0.0161,2058,0.938,17.57,7.17,-6010.25,1.7778,22.4075,5.8721,84.3324,8.9336,0.3381,2.3754,50.5527,64.2529,116.7828,1.2414,1.131,3.1413,1.668,9.8176,29.3666,14.6363,5.3308,16.79,0.69,7.0158,0.2824,4.1055,0.9456,17.3403,8.09,0.3806
35,0.0126,531,0.313,11.75,6.02,-5548,2.0092,22.8867,7.133,85.2487,10.0686,0.0874,1.8141,50.6755,64.3085,117.7568,1.2569,1.0398,2.9065,1.3012,2.9163,15.4172,11.4604,6.879,15.61,0.66,6.368,0.2877,3.8802,0.9005,37.6321,5.2,0.3427
36,0.0086,5448,0.746,16.75,6.62,-1362,0.4407,20.2382,5.7967,85.6039,8.7588,0.2558,2.003,50.179,64.1668,118.6704,1.1981,1.131,3.0137,0.8767,7.6636,33.3534,15.7751,3.8254,16.4,1.67,8.1327,0.6443,3.9831,2.0791,,10.9,0.2799
37,0.0154,617,1.249,17.24,6.9,-5452.75,1.9728,20.1876,5.8909,85.6039,8.7588,0.3536,1.9675,50.179,64.1668,118.6704,1.1758,1.131,3.0335,1.6027,12.1198,19.4709,19.67,4.5281,20.8,1.63,9.0645,0.6418,5.143,2.0344,13.8959,10.35,0.2681
38,0.0063,73,0.912,19.62,3.35,-5493.75,2.0135,20.7992,6.4567,84.7569,8.659,0.3398,1.2445,50.153,64.1114,118.6128,1.4431,1.131,3.0504,0.6467,9.1568,37.7319,32.3644,6.4687,90.7,25.47,38.4212,11.16,23.0201,35.5806,,7.03,0.2962
39,0.0149,168,0.284,25.1,9.39,-5525.5,2.0092,20.8461,6.1395,101.9072,23.3453,0.0736,2.708,57.6663,74.7081,126.5662,1.2412,0.8497,2.7979,1.5383,2.6982,52.1369,13.8372,6.253,21.98,1.55,10.4138,0.6997,5.4534,1.903,,6.23,0.2696
40,0.0125,1848,0.796,17.38,3.93,-5085.25,1.9875,20.2941,5.9578,84.6216,9.1585,0.3098,1.2764,50.3138,64.4425,122.4028,1.1878,1.131,3.0429,1.2867,8.1671,32.0013,20.4473,4.7899,19.34,0.89,8.7395,0.3393,4.7138,1.1895,27.8426,12.21,0.2089
41,0.0186,72,0.402,18.21,6.14,-5626.25,1.987,24.2952,10.1341,85.0724,8.6074,0.1103,1.8877,50.5378,64.0172,117.8088,1.2998,1.0398,3.0729,1.9298,3.7213,26.2688,15.7423,10.6766,,,,,,,25.7179,6.59,0.4211
42,0.0171,2867,0.192,12.85,4.94,-6033.25,1.97,24.2952,6.8452,85.6626,9.1502,0.0671,1.5529,50.2288,64.1871,119.3708,1.2998,1.0398,3.0729,1.7789,1.7599,19.9216,11.7079,3.8558,18.31,0.99,8.0919,0.4719,4.4748,1.2186,16.997,10.43,0.2991
43,0.0136,723,0.793,16.06,15.93,-5415.75,2.0063,20.4695,5.915,84.1874,10.6376,0.2551,4.4892,50.6882,64.7132,118.8356,1.0455,0.424,2.7358,1.3993,8.3426,56.7309,21.6098,11.2823,19.07,1.88,8.7849,0.6949,4.6847,2.376,,12.19,0.2601
44,0.0173,7569,0.323,23.16,3.49,-4731,1.3322,18.9326,10.6642,84.6216,9.1585,0.0986,1.2495,50.3138,64.4425,122.4028,1.0647,0.8501,2.4602,1.7925,3.0055,19.4796,29.2477,7.1237,21.2,1.01,9.2965,0.4944,5.2008,1.3801,,11.62,0.1839
45,0.0168,299,0.449,21.82,10.53,-5546.5,1.9992,18.9326,10.1112,84.1874,10.6376,0.123,3.3789,50.6882,64.7132,118.8356,1.0647,0.8501,2.4602,1.7323,4.0825,19.0472,26.1277,4.7717,20.24,0.7,8.2986,0.3207,5.0054,0.9743,20.0533,8.67,0.5747
46,0.0129,7600,0.346,21.91,6.81,-3281,0.8885,18.9326,11.0873,84.0432,8.7487,0.0923,1.8839,50.2849,64.3732,118.7784,1.0647,0.7601,2.4602,1.3234,3.2174,25.4083,9.78,8.82,19.34,1.09,7.845,0.5296,4.7426,1.4605,,12.3,0.3127
47,0.0213,7653,1.019,18.15,9.47,-4667.25,1.3305,18.9326,6.7794,85.0922,9.2007,0.2889,2.6361,50.1899,64.2199,118.2566,1.0647,0.7601,2.4602,2.2069,10.0267,49.7653,18.4388,4.8548,20.03,1.73,9.8115,0.7807,4.907,2.1793,,10.31,0.5791
48,0.0145,109,0.28,21.28,9.5,-5300.25,2.0105,20.8461,5.6056,101.9072,23.3453,0.098,2.6724,57.6663,74.7081,126.5662,1.2412,0.8497,2.7979,1.4986,2.6712,69.586,36.8704,3.8073,20.23,0.67,8.9451,0.28,5.0414,0.9068,17.5247,7.23,0.3743
49,0.0148,760,0.288,12.39,6.68,-5553,2.0433,20.4695,10.5917,84.3585,8.7495,0.0907,1.6202,50.4362,64.2234,117.7078,1.0455,0.8501,2.7358,1.525,2.7678,34.1144,27.3414,4.3595,16.73,1.34,8.2142,0.633,4.0859,1.6419,,6.43,0.1643
50,0.0159,157,0.373,22.08,5.09,-5394,2.0032,18.5335,10.5646,101.9072,23.3453,0.0951,1.4343,57.6663,74.7081,126.5662,1.3658,0.8501,2.4943,1.6462,3.5637,37.7838,8.4811,4.3259,,,,,,,,6.59,0.5991
51,0.0183,5391,0.407,13.48,5.57,-2575.5,0.892,20.1408,6.5515,84.0432,8.7487,0.1107,1.7117,50.2849,64.3732,118.7784,1.4095,1.3416,2.6506,1.8979,3.7849,25.0882,10.2747,6.8045,19.82,0.66,8.9152,0.2623,4.9037,0.8284,12.0158,9.29,0.4009
52,0.0146,785,0.165,24.07,18.99,-5175.5,2,18.9326,5.1302,84.1874,10.6376,0.0528,5.665,50.6882,64.7132,118.8356,1.0647,1.3416,2.4602,1.5114,1.4896,43.0024,53.9517,10.5823,19.63,0.92,8.6258,0.3592,4.863,1.2808,,7,0.4128
53,0.0117,444,0.324,8.34,5.62,-5545,1.9772,18.5335,6.7101,85.6591,8.8249,0.093,1.7168,50.3878,64.1536,118.3554,1.3658,0.7601,2.4943,1.2029,3.027,19.8739,15.2503,6.4865,,,,,,,9.2984,8.74,0.35
54,0.0123,7657,0.313,15.21,9.7,-4520.75,1.3458,20.1408,10.5399,85.1197,9.1784,0.1013,2.6478,50.2165,64.229,118.771,1.4095,0.7601,2.6506,1.2708,2.9013,44.7657,20.0194,13.8755,18.5,0.41,7.7125,0.1734,4.62,0.5573,22.7018,8.28,0.3146
55,0.0196,540,0.338,17.58,9.27,-5683.75,1.9597,18.9326,10.6396,85.1197,9.1784,0.0924,2.3331,50.2165,64.229,118.771,1.0647,0.7601,2.4602,2.0277,3.2193,39.1888,13.6513,6.2397,23.05,2.05,10.294,0.9567,5.6415,2.5894,,8.0699,0.1547
56,0.0116,682,0.328,13.79,4.99,-5460.5,2.031,23.3248,6.5963,85.794,8.7599,0.1024,1.6657,50.3802,63.9715,117.6882,1.2691,1.5117,3.2721,1.1893,3.0952,25.6694,12.7209,12.9859,22.89,1.76,10.5738,0.8272,5.5566,2.1222,14.1737,9.27,0.2912
57,0.0165,5475,0.175,26.55,13.67,-1368.75,0.4425,20.3731,10.5768,84.0432,8.7487,0.0556,3.4954,50.2849,64.3732,118.7784,0.9799,1.3416,2.5272,1.6997,1.587,25.4693,26.5792,5.7479,17.09,0.31,7.5999,0.1324,4.1722,0.4185,11.7924,9.32,0.3201
58,0.0145,7709,1.322,13.73,6.08,-4490.5,1.3438,21.3523,6.2104,85.1197,9.1784,0.3653,1.7173,50.2165,64.229,118.771,1.1705,0.9207,3.0623,1.4902,13.0074,19.135,25.6666,5.2418,15.45,0.47,6.2498,0.2144,3.8721,0.6519,26.7783,8.22,0.2701
59,0.0146,817,0.269,16.31,5.21,-5433.25,2.0187,27.2402,10.4884,84.9052,9.7997,0.0848,1.7462,50.6596,64.2828,118.1188,1.3015,1.0968,3.345,1.4987,2.5446,28.3775,11.4323,4.7227,,,,,,,26.4033,7.24,0.3292
60,0.0095,571,0.278,21.67,8.16,-5493.75,1.9828,23.3248,10.3384,84.1874,10.6376,0.0859,2.5091,50.6882,64.7132,118.8356,1.2691,0.7814,3.2721,0.9742,2.5436,23.841,22.1802,7.0304,16.78,1.21,8.0448,0.4863,4.1975,1.4828,29.6115,8.58,0.2182
61,0.0076,5477,0.839,19.73,12.86,-2597,0.891,16.1845,5.8927,85.6039,8.7588,0.2402,3.8408,50.179,64.1668,118.6704,1.3872,1.4345,2.0355,0.7779,8.6976,46.9959,17.365,5.8406,14.63,0.44,7.0388,0.1665,3.6716,0.6105,31.9154,10.66,0.3075
62,0.0037,662,0.293,11.61,3.75,-5507.5,1.9905,23.3248,5.727,85.794,8.7599,0.0917,1.1841,50.3802,63.9715,117.6882,1.2691,1.4345,3.2721,0.376,2.7431,15.8463,11.9686,9.0456,21.77,2.11,10.192,0.9372,5.3963,2.5656,19.4405,7.39,0.3366
63,0.0169,1213,0.191,19.75,4.28,-5667.5,2.012,39.8882,10.8535,85.8965,9.2405,0.0502,1.2412,50.157,64.0502,119.2274,1.0997,1.1698,4.7897,1.7486,1.8023,23.4308,9.0669,4.8248,17.81,1.7,7.9932,0.7387,4.3485,2.0804,14.0343,6.24,0.4772
64,0.0079,599,0.366,6.73,4.49,-5501.75,2.0062,15.1427,5.1001,84.3585,8.7495,0.1015,1.4645,50.4362,64.2234,117.7078,1.4503,1.482,1.8514,0.8118,3.3468,9.349,9.6388,9.5491,17.56,1.22,8.0411,0.4869,4.2998,1.6967,9.895,9.7599,0.3866
65,0.0076,984,0.378,14.53,6.08,-5382.5,2.01,19.6939,6.4213,84.3585,8.7495,0.1131,1.9212,50.4362,64.2234,117.7078,1.0032,1.1366,2.5605,0.7839,3.5232,20.8641,12.2365,9.7396,,,,,,,13.0412,6.14,0.4319
66,0.0073,148,0.368,9.52,3.3,-5659.25,2.0077,19.6939,5.4362,85.0856,8.6324,0.116,1.1285,50.0906,64.1658,117.802,1.0032,1.1366,2.5605,0.7478,3.4916,14.249,15.1961,5.5276,16.27,1.29,6.78,0.5564,3.9443,1.7562,11.9501,6.98,0.2294
67,0.0107,489,0.188,20.42,7.02,-5349,1.9663,19.6939,7.1443,83.8746,9.2658,0.0565,2.0921,50.2261,64.3328,119.104,1.0032,1.1366,2.5605,1.1005,1.7526,26.6698,35.7037,10.652,15.78,1.11,7.7092,0.4874,3.868,1.471,21.3906,10.3,0.4444
68,0.0097,548,0.936,18.45,14.93,-5597,1.9752,39.8882,6.1475,83.9737,8.8033,0.325,3.9486,50.3329,64.485,118.6328,1.0997,1.1366,4.7897,0.9988,9.4569,52.8369,10.402,5.0792,23.38,1.14,10.2012,0.4889,5.6531,1.4027,11.5117,7.91,0.1254
69,0.0169,833,0.478,15.6,2.39,-5440.5,2.0045,16.1845,6.3737,85.794,8.7599,0.1466,0.6846,50.3802,63.9715,117.6882,1.3872,1.1366,2.0355,1.7578,4.5225,21.2516,24.9216,4.4378,20.81,1,9.2279,0.3839,5.0683,1.2588,10.0219,12.54,0.2766
70,0.0183,594,0.345,10.41,3.93,-5614.25,1.9745,39.8882,5.2038,85.324,9.6272,0.1285,1.0663,50.4945,64.1596,117.796,1.0997,1.1366,4.7897,1.9036,3.2784,17.605,11.9669,6.1141,20.35,2.41,8.3023,1.0946,5.0554,2.9289,25.5555,6.49,0.4057
71,0.0087,308,0.333,19.5,4.31,-5534.5,2.018,24.1213,6.4765,85.794,8.7599,0.1019,1.619,50.3802,63.9715,117.6882,1.3529,1.2895,3.2122,0.8943,3.1888,25.7066,36.503,6.3573,24.04,0.83,10.9205,0.2982,6.0105,1.1382,26.1674,7.55,0.2272
72,0.0117,5684,0.528,13.24,3.75,-2649.25,0.8882,24.1213,6.0925,84.0432,8.7487,0.1469,1.4111,50.2849,64.3732,118.7784,1.3529,1.1227,3.2122,1.1992,4.8942,23.1843,12.3478,7.9544,19.76,0.97,9.3539,0.4014,4.8745,1.1885,,10.57,0.4373
73,0.0108,268,0.332,19.73,5.12,-5554.25,2.021,16.1845,10.0825,84.7166,8.8388,0.108,1.641,50.3916,64.1968,111.7128,1.3872,1.2895,2.0355,1.1099,3.1065,27.9029,8.3426,4.1422,17.37,1.29,7.2308,0.6356,4.2314,1.6482,26.9849,5.39,0.3599
74,0.0153,663,0.488,14.79,5.61,-6566,1.8762,26.9809,4.3992,85.2575,9.094,0.1498,1.9468,50.249,64.235,119.6672,1.2414,1.3384,3.5829,1.5858,4.6044,30.9357,32.3052,8.5189,,,,,,,40.0618,6.39,0.2326
75,0.0109,386,0.349,10.46,3.32,-5613.75,1.99,24.1213,5.7594,85.6039,8.7588,0.1046,1.1834,50.179,64.1668,118.6704,1.3529,1.1227,3.2122,1.1157,3.2965,11.5519,11.7465,8.0996,12.49,0.95,5.529,0.443,3.1239,1.326,3.2504,9.6,0.2247
76,0.0165,502,0.351,9.16,16.39,-6546.5,1.8822,17.4657,4.654,85.2575,9.094,0.1123,4.2174,50.249,64.235,119.6672,1.3601,1.3384,2.1434,1.7021,3.3258,75.6008,13.5315,6.1242,22.75,0.99,10.2852,0.3951,5.6134,1.3355,12.9919,10.75,0.3656
77,0.0154,423,0.988,22.53,15.49,-5652,1.9457,24.1213,6.4111,85.1197,9.1784,0.3475,4.4704,50.2165,64.229,118.771,1.3529,1.3384,3.2122,1.5905,10.053,58.2841,22.5208,9.2031,16.73,1.09,7.7201,0.5092,4.1795,1.3441,22.0523,7.93,0.2848
78,0.0113,2170,0.954,16.41,4.53,-6656.75,1.7797,17.4657,6.0475,84.6216,9.1585,0.2963,1.6118,50.3138,64.4425,122.4028,1.3601,1.1227,2.1434,1.1592,9.6957,19.1428,18.3156,7.0039,14.05,1.6,6.6771,0.6613,3.4571,2.0007,15.2685,10.22,0.3876
79,0.0226,504,1.243,11.72,4.27,-5681.5,1.9998,39.8882,6.6742,84.3585,8.7495,0.3494,1.1386,50.4362,64.2234,117.7078,1.0997,1.2895,4.7897,2.3661,11.7693,28.8153,23.3872,5.8582,20.41,1.54,8.8729,0.6066,5.0012,1.8712,,10.5,0.3571
80,0.0093,311,0.847,17.57,16.99,-5537.5,1.9648,17.4657,5.8072,85.1197,9.1784,0.2756,4.9906,50.2165,64.229,118.771,1.3601,1.3384,2.1434,0.9558,8.6485,52.7055,40.8689,9.4725,24.21,1.95,10.1871,0.8491,5.9677,2.4299,9.9519,11.09,0.3184
81,0.0092,378,1.342,19.08,14.04,-5349.25,2.0063,39.8882,6.0691,84.1874,10.6376,0.3832,3.8986,50.6882,64.7132,118.8356,1.0997,1.7597,4.7897,0.9416,14.1335,53.3957,25.1927,5.1025,18.06,0.32,7.8946,0.1342,4.508,0.4336,13.4117,6.15,0.2806
82,0.0122,424,0.256,22.69,7.5,-5495.75,1.9688,36.4053,9.9304,83.8746,9.2658,0.074,2.4745,50.2261,64.3328,119.104,1.2479,1.482,4.2603,1.2543,2.3519,25.3071,18.9788,5.3787,18.25,1.46,8.5986,0.5797,4.5583,1.8161,29.6955,13.76,0.1968
83,0.011,527,0.406,17.17,7.31,-6518.25,1.8967,19.6939,4.7173,85.4579,8.6667,0.1284,2.1606,50.2987,64.2122,117.955,1.0032,1.7597,2.5605,1.129,3.9708,49.0923,33.5899,9.1267,19.61,2.36,9.7629,0.983,4.8311,2.8625,27.8484,9.53,0.2307
84,0.0245,7791,0.506,14.89,5.94,-4556,1.3362,39.8882,5.9844,85.1197,9.1784,0.1762,1.6166,50.2165,64.229,118.771,1.0997,1.1227,4.7897,2.5063,5.0212,20.2083,15.8872,8.2911,20.53,1.09,8.9414,0.5022,5.0912,1.3239,,7.54,0.181
85,0.0161,530,0.666,8.71,4.62,-5432.5,2.0345,26.9809,5.4033,84.3324,8.9336,0.1831,1.2551,50.5527,64.2529,116.7828,1.2414,1.7597,3.5829,1.659,6.2146,23.6945,7.348,8.479,18.23,1.47,7.4353,0.5534,4.4925,1.8423,,439.05,1.2098
86,0.0202,745,0.197,12.45,9.16,-5677.75,1.9985,26.9809,4.9523,84.8723,8.755,0.0626,2.607,50.3957,64.0838,117.326,1.2414,1.7597,3.5829,2.0999,1.8058,25.6771,14.5221,5.1275,19.49,1.54,8.9166,0.5847,4.7668,1.9149,10.5839,439.05,1.2098
87,0.0122,1657,0.986,5.07,9.36,-6174.5,1.881,23.9769,2.4657,84.8178,8.7947,0.3105,2.5621,50.2004,63.9947,118.7708,1.1048,1.0643,2.9815,1.2446,9.5157,72.3139,15.2609,8.3514,15.14,1.26,6.3555,0.5134,3.6717,1.68,18.8467,9.93,0.2199
88,0.0137,296,1.149,4.94,5.49,-5367.75,2.0093,25.1991,1.8788,84.8178,8.7947,0.3223,1.6273,50.2004,63.9947,118.7708,1.4715,1.0643,3.4787,1.4003,11.1861,40.5349,18.3601,4.3785,10.6,1.7,5.1243,0.723,2.6394,2.2931,,10.27,0.1299
89,0.0133,531,0.45,7.12,5.86,-5393.25,1.9872,23.0757,5.171,85.6591,8.8249,0.1278,1.9896,50.3878,64.1536,118.3554,1.5291,,3.2848,1.3796,4.142,13.8468,13.502,6.0364,17.19,1.38,7.5693,0.6208,4.3156,1.7451,18.4387,439.05,1.2098
