,F153,F157,F159,F198,F200,F201,F21,F252,F26,F273,F292,F319,F32,F33,F334,F34,F345,F35,F39,F407,F411,F426,F470,F471,F474,F476,F524,F525,F550,F551,F553,F554,F556,F557,F569,F574,F578,F72
18,0.0142,,1036.0,0.44,17.69,5.3,-5575.25,2.793,1.9803,29.3685,,6.9173,85.3498,8.6397,0.1316,50.6324,5.4768,64.1999,117.674,0.7969,3.3841,1.4616,4.3102,7.2194,25.9254,13.6881,4.6954,4.5438,14.63,1.48,6.18,0.6754,3.5928,1.9857,16.3603,2.3022,,166.6571
19,0.0146,,906.0,0.89,10.43,6.25,-5469.25,2.3663,2.0157,18.0418,,6.7628,84.9105,8.6789,0.2498,50.51,8.0945,64.1125,117.0442,0.7969,2.1369,1.5012,8.6183,7.952,34.3784,32.1569,4.0018,5.7825,19.83,1.33,8.1693,0.6061,4.8795,1.7842,,2.2358,0.0229,160.6463
20,0.017,,227.0,0.9,11.21,4.46,-5441.0,3.36,1.97,,,6.6868,85.7939,8.6572,0.2957,50.2073,6.5317,63.9008,117.2894,0.7969,,1.7554,9.0538,6.2285,23.0478,24.9484,5.7122,4.5416,12.44,0.63,6.109,0.2694,3.0613,0.7907,10.397,2.4529,,169.1827
21,0.0167,,1001.0,0.863,17.51,5.9,-5434.0,3.447,2.0095,29.3685,,7.1292,85.3498,8.6397,0.2963,50.6324,4.6444,64.1999,117.674,0.7969,3.3841,1.7251,8.5785,5.985,23.945,16.926,5.8732,4.3493,23.06,1.71,10.8976,0.7116,5.621,2.1258,24.1277,2.8482,0.0175,166.6559
22,0.0142,,668.0,1.069,16.13,5.81,-5310.25,3.2127,1.9715,29.3685,,6.8796,85.3498,8.6397,0.2906,50.6324,4.9853,64.1999,117.674,1.1525,3.3841,1.4638,10.6502,5.0569,25.8266,25.8499,5.451,3.3379,14.97,1.33,6.9097,0.5707,3.6801,1.775,18.1074,2.6843,0.025,175.3178
23,0.0149,,5665.0,0.893,16.72,3.34,-2664.25,3.8766,0.8915,25.2088,,6.9612,85.0922,9.2007,0.244,50.1899,5.6482,64.2199,118.2566,1.3173,3.6059,1.5379,8.7833,5.8277,18.9409,36.3944,6.8185,7.3469,15.91,0.91,7.7465,0.4079,3.9718,1.2205,,3.1106,0.0098,153.3345
24,0.0037,,5366.0,0.238,11.37,3.32,-2681.75,3.2675,0.8862,25.652,,6.1235,84.0432,8.7487,0.0642,50.2849,2.8688,64.3732,118.7784,1.3121,3.0582,0.3813,2.2761,10.3624,16.1328,11.4665,5.5411,7.948,20.53,1.66,8.9829,0.7528,5.0015,2.066,,2.6206,0.0288,152.8594
25,0.0214,,5913.0,0.385,11.35,4.84,-2706.0,2.6365,0.8895,17.2584,,6.4657,85.0716,8.6942,0.1225,50.5287,4.4406,64.3976,118.0626,0.9718,2.4411,2.24,3.6417,4.8438,19.6543,11.383,4.4577,3.4051,20.63,0.56,8.7911,0.2431,5.0121,0.7598,24.8352,2.9887,,148.5884
26,0.0213,,542.0,0.216,19.84,5.3,-5611.75,2.3593,2.0137,17.2584,,10.1805,84.9052,9.7997,0.0696,50.6596,5.7269,64.2828,118.1188,0.9718,2.4411,2.2223,1.9859,7.1962,23.4105,15.2357,4.0167,4.9268,,,,,,,30.4914,1.7463,,140.894
27,0.0123,,455.0,0.726,13.36,6.52,-5369.0,4.9397,2.0017,20.7635,,5.722,84.3324,8.9336,0.2409,50.5527,4.191,64.2529,116.7828,1.5844,3.0049,1.2655,7.5001,6.4521,35.6874,15.6314,8.4235,79.3919,12.25,0.37,5.289,0.1609,3.0919,0.5048,23.5268,3.3671,0.0183,163.9744
28,0.0214,,724.0,0.866,14.76,6.34,-5217.5,2.381,1.802,21.5914,,5.6101,84.7166,8.8388,0.2944,50.3916,4.4327,64.1968,111.7128,0.9718,2.7756,2.2383,9.0132,7.2863,27.0808,25.4735,4.1013,5.8989,13.05,1.32,6.0228,0.5415,3.2913,1.7557,16.4792,2.5665,0.013,170.53
29,0.017,,252.0,1.007,9.73,6.59,-5416.0,2.6898,1.9817,24.2952,,6.1586,85.6039,8.7588,0.2772,50.179,4.0324,64.1668,118.6704,1.131,3.0729,1.7651,9.8157,11.4559,23.6173,15.6131,4.752,6.9965,20.75,0.22,9.239,0.0908,5.1528,0.2987,15.6756,3.1722,0.0121,155.0459
30,0.019,,535.0,0.361,18.72,8.94,-5500.5,2.9025,1.9888,22.8867,,6.4394,101.9072,23.3453,0.1288,57.6663,6.1833,74.7081,126.5662,1.5844,2.9065,1.9758,3.4838,6.7643,81.9273,20.2372,4.937,5.6058,15.94,0.74,7.6655,0.3153,3.9856,1.0184,,2.6984,0.0209,153.5801
31,0.0213,,310.0,0.937,12.78,5.43,-5497.75,2.1927,1.9773,24.2952,,6.6218,83.9737,8.8033,0.2914,50.3329,4.3608,64.485,118.6328,0.9718,3.0729,2.2207,9.1041,11.5871,13.0432,11.957,3.9184,10.9319,19.71,1.59,9.5441,0.5881,4.909,2.1265,23.2076,2.9829,0.0082,155.4569
32,0.0117,,671.0,0.236,20.02,8.69,-5507.75,4.2653,1.9745,27.2402,,6.6352,86.3472,9.1283,0.0766,50.1869,4.3059,64.0917,122.0886,1.0398,3.345,1.205,2.1856,5.2224,33.4064,12.268,7.2939,3.9022,16.39,1.72,8.2534,0.6713,4.0424,2.1444,22.9553,3.5623,,143.3614
33,0.0124,,5575.0,0.251,13.99,2.4,-2622.5,4.441,0.8912,27.2402,,6.8639,85.6591,8.8249,0.0838,50.3878,4.5489,64.1536,118.3554,1.0398,3.345,1.2699,2.3479,5.0256,27.4778,11.4741,7.5934,4.827,19.63,1.23,7.637,0.5563,4.902,1.6641,33.2372,4.1245,,143.6134
34,0.0161,,2058.0,0.938,17.57,7.17,-6010.25,2.4406,1.7778,22.4075,,5.8721,84.3324,8.9336,0.3381,50.5527,5.3322,64.2529,116.7828,1.131,3.1413,1.668,9.8176,8.63,29.3666,14.6363,4.3199,5.3308,16.79,0.69,7.0158,0.2824,4.1055,0.9456,17.3403,2.5269,0.0268,174.6316
35,0.0126,,531.0,0.313,11.75,6.02,-5548.0,2.8954,2.0092,22.8867,,7.133,85.2487,10.0686,0.0874,50.6755,2.3012,64.3085,117.7568,1.0398,2.9065,1.3012,2.9163,7.8205,15.4172,11.4604,4.8923,6.879,15.61,0.66,6.368,0.2877,3.8802,0.9005,37.6321,1.8732,,155.4515
36,0.0086,,5448.0,0.746,16.75,6.62,-1362.0,3.6863,0.4407,20.2382,,5.7967,85.6039,8.7588,0.2558,50.179,3.9771,64.1668,118.6704,1.131,3.0137,0.8767,7.6636,7.4159,33.3534,15.7751,6.4223,3.8254,16.4,1.67,8.1327,0.6443,3.9831,2.0791,,3.6701,0.029,162.1137
37,0.0154,,617.0,1.249,17.24,6.9,-5452.75,4.9502,1.9728,20.1876,,5.8909,85.6039,8.7588,0.3536,50.179,4.9936,64.1668,118.6704,1.131,3.0335,1.6027,12.1198,11.3992,19.4709,19.67,8.4774,4.5281,20.8,1.63,9.0645,0.6418,5.143,2.0344,13.8959,3.3656,0.0104,153.1673
38,0.0063,,73.0,0.912,19.62,3.35,-5493.75,2.6639,2.0135,20.7992,,6.4567,84.7569,8.659,0.3398,50.153,5.2866,64.1114,118.6128,1.131,3.0504,0.6467,9.1568,8.1255,37.7319,32.3644,4.4824,6.4687,90.7,25.47,38.4212,11.16,23.0201,35.5806,,2.2791,0.015,158.7036
39,0.0149,,168.0,0.284,25.1,9.39,-5525.5,4.2471,2.0092,20.8461,,6.1395,101.9072,23.3453,0.0736,57.6663,3.4345,74.7081,126.5662,0.8497,2.7979,1.5383,2.6982,5.9709,52.1369,13.8372,7.2761,6.253,21.98,1.55,10.4138,0.6997,5.4534,1.903,,2.3065,,149.1874
40,0.0125,,1848.0,0.796,17.38,3.93,-5085.25,2.7806,1.9875,20.2941,,5.9578,84.6216,9.1585,0.3098,50.3138,3.6842,64.4425,122.4028,1.131,3.0429,1.2867,8.1671,5.9343,32.0013,20.4473,4.8304,4.7899,19.34,0.89,8.7395,0.3393,4.7138,1.1895,27.8426,4.2202,0.0189,159.304
41,0.0186,0.1584,72.0,0.402,18.21,6.14,-5626.25,3.1004,1.987,24.2952,0.0448,10.1341,85.0724,8.6074,0.1103,50.5378,3.9363,64.0172,117.8088,1.0398,3.0729,1.9298,3.7213,7.3418,26.2688,15.7423,5.2913,10.6766,,,,,,,25.7179,2.2226,0.0219,141.8544
42,0.0171,,2867.0,0.192,12.85,4.94,-6033.25,2.5999,1.97,24.2952,,6.8452,85.6626,9.1502,0.0671,50.2288,2.8088,64.1871,119.3708,1.0398,3.0729,1.7789,1.7599,7.9705,19.9216,11.7079,4.4178,3.8558,18.31,0.99,8.0919,0.4719,4.4748,1.2186,16.997,3.5751,0.0173,142.1581
43,0.0136,,723.0,0.793,16.06,15.93,-5415.75,2.3474,2.0063,20.4695,,5.915,84.1874,10.6376,0.2551,50.6882,2.7397,64.7132,118.8356,0.424,2.7358,1.3993,8.3426,5.87,56.7309,21.6098,4.0099,11.2823,19.07,1.88,8.7849,0.6949,4.6847,2.376,,3.8966,0.0365,167.402
44,0.0173,,7569.0,0.323,23.16,3.49,-4731.0,4.0153,1.3322,18.9326,,10.6642,84.6216,9.1585,0.0986,50.3138,7.5132,64.4425,122.4028,0.8501,2.4602,1.7925,3.0055,7.8156,19.4796,29.2477,6.9621,7.1237,21.2,1.01,9.2965,0.4944,5.2008,1.3801,,3.7648,0.0149,139.1271
45,0.0168,,299.0,0.449,21.82,10.53,-5546.5,3.976,1.9992,18.9326,,10.1112,84.1874,10.6376,0.123,50.6882,8.1616,64.7132,118.8356,0.8501,2.4602,1.7323,4.0825,11.8626,19.0472,26.1277,6.9295,4.7717,20.24,0.7,8.2986,0.3207,5.0054,0.9743,20.0533,2.9727,0.0137,132.9324
46,0.0129,,7600.0,0.346,21.91,6.81,-3281.0,3.8427,0.8885,18.9326,,11.0873,84.0432,8.7487,0.0923,50.2849,4.9113,64.3732,118.7784,0.7601,2.4602,1.3234,3.2174,7.7587,25.4083,9.78,6.6657,8.82,19.34,1.09,7.845,0.5296,4.7426,1.4605,,4.0631,0.0227,143.179
47,0.0213,,7653.0,1.019,18.15,9.47,-4667.25,2.6422,1.3305,18.9326,,6.7794,85.0922,9.2007,0.2889,50.1899,7.2145,64.2199,118.2566,0.7601,2.4602,2.2069,10.0267,4.7941,49.7653,18.4388,4.5069,4.8548,20.03,1.73,9.8115,0.7807,4.907,2.1793,,3.6023,0.0149,155.7899
48,0.0145,,109.0,0.28,21.28,9.5,-5300.25,3.7145,2.0105,20.8461,,5.6056,101.9072,23.3453,0.098,57.6663,5.5701,74.7081,126.5662,0.8497,2.7979,1.4986,2.6712,4.1046,69.586,36.8704,6.3972,3.8073,20.23,0.67,8.9451,0.28,5.0414,0.9068,17.5247,2.5312,0.0246,155.8521
49,0.0148,,760.0,0.288,12.39,6.68,-5553.0,2.7385,2.0433,20.4695,,10.5917,84.3585,8.7495,0.0907,50.4362,6.1598,64.2234,117.7078,0.8501,2.7358,1.525,2.7678,7.4755,34.1144,27.3414,4.6927,4.3595,16.73,1.34,8.2142,0.633,4.0859,1.6419,,2.3127,0.0296,146.2789
50,0.0159,,157.0,0.373,22.08,5.09,-5394.0,4.2139,2.0032,18.5335,,10.5646,101.9072,23.3453,0.0951,57.6663,5.261,74.7081,126.5662,0.8501,2.4943,1.6462,3.5637,8.9455,37.7838,8.4811,7.224,4.3259,,,,,,,,2.3055,,147.5378
51,0.0183,,5391.0,0.407,13.48,5.57,-2575.5,4.3934,0.892,20.1408,,6.5515,84.0432,8.7487,0.1107,50.2849,3.4552,64.3732,118.7784,1.3416,2.6506,1.8979,3.7849,7.164,25.0882,10.2747,7.443,6.8045,19.82,0.66,8.9152,0.2623,4.9037,0.8284,12.0158,3.2968,0.0245,143.341
52,0.0146,,785.0,0.165,24.07,18.99,-5175.5,2.6724,2.0,18.9326,,5.1302,84.1874,10.6376,0.0528,50.6882,4.982,64.7132,118.8356,1.3416,2.4602,1.5114,1.4896,12.9409,43.0024,53.9517,4.5557,10.5823,19.63,0.92,8.6258,0.3592,4.863,1.2808,,2.5006,0.0358,139.9654
53,0.0117,,444.0,0.324,8.34,5.62,-5545.0,4.2871,1.9772,18.5335,,6.7101,85.6591,8.8249,0.093,50.3878,3.5459,64.1536,118.3554,0.7601,2.4943,1.2029,3.027,7.7033,19.8739,15.2503,7.3053,6.4865,,,,,,,9.2984,3.1643,,148.2014
54,0.0123,,7657.0,0.313,15.21,9.7,-4520.75,4.4631,1.3458,20.1408,,10.5399,85.1197,9.1784,0.1013,50.2165,3.7022,64.229,118.771,0.7601,2.6506,1.2708,2.9013,8.2032,44.7657,20.0194,7.5376,13.8755,18.5,0.41,7.7125,0.1734,4.62,0.5573,22.7018,2.7718,0.0247,141.5786
55,0.0196,,540.0,0.338,17.58,9.27,-5683.75,2.5649,1.9597,18.9326,,10.6396,85.1197,9.1784,0.0924,50.2165,9.3454,64.229,118.771,0.7601,2.4602,2.0277,3.2193,7.1568,39.1888,13.6513,4.4039,6.2397,23.05,2.05,10.294,0.9567,5.6415,2.5894,,2.9084,0.0097,144.2286
56,0.0116,,682.0,0.328,13.79,4.99,-5460.5,3.1095,2.031,23.3248,,6.5963,85.794,8.7599,0.1024,50.3802,3.11,63.9715,117.6882,1.5117,3.2721,1.1893,3.0952,4.2375,25.6694,12.7209,5.2615,12.9859,22.89,1.76,10.5738,0.8272,5.5566,2.1222,14.1737,2.7639,0.012,147.5579
57,0.0165,,5475.0,0.175,26.55,13.67,-1368.75,3.2904,0.4425,20.3731,,10.5768,84.0432,8.7487,0.0556,50.2849,15.1838,64.3732,118.7784,1.3416,2.5272,1.6997,1.587,15.5496,25.4693,26.5792,5.6104,5.7479,17.09,0.31,7.5999,0.1324,4.1722,0.4185,11.7924,3.0902,0.0201,126.866
58,0.0145,,7709.0,1.322,13.73,6.08,-4490.5,2.3459,1.3438,21.3523,,6.2104,85.1197,9.1784,0.3653,50.2165,4.4217,64.229,118.771,0.9207,3.0623,1.4902,13.0074,8.8195,19.135,25.6666,4.1913,5.2418,15.45,0.47,6.2498,0.2144,3.8721,0.6519,26.7783,2.8877,0.0207,153.9723
59,0.0146,,817.0,0.269,16.31,5.21,-5433.25,4.3243,2.0187,27.2402,,10.4884,84.9052,9.7997,0.0848,50.6596,4.2902,64.2828,118.1188,1.0968,3.345,1.4987,2.5446,7.7944,28.3775,11.4323,7.4224,4.7227,,,,,,,26.4033,2.1994,0.0285,146.7279
60,0.0095,,571.0,0.278,21.67,8.16,-5493.75,3.2252,1.9828,23.3248,,10.3384,84.1874,10.6376,0.0859,50.6882,6.4855,64.7132,118.8356,0.7814,3.2721,0.9742,2.5436,12.9861,23.841,22.1802,5.452,7.0304,16.78,1.21,8.0448,0.4863,4.1975,1.4828,29.6115,2.6533,0.0201,136.2492
61,0.0076,,5477.0,0.839,19.73,12.86,-2597.0,4.1038,0.891,16.1845,,5.8927,85.6039,8.7588,0.2402,50.179,4.4861,64.1668,118.6704,1.4345,2.0355,0.7779,8.6976,4.5435,46.9959,17.365,6.8878,5.8406,14.63,0.44,7.0388,0.1665,3.6716,0.6105,31.9154,3.6728,0.0183,162.0324
62,0.0037,,662.0,0.293,11.61,3.75,-5507.5,2.3288,1.9905,23.3248,,5.727,85.794,8.7599,0.0917,50.3802,4.1377,63.9715,117.6882,1.4345,3.2721,0.376,2.7431,7.5116,15.8463,11.9686,4.0078,9.0456,21.77,2.11,10.192,0.9372,5.3963,2.5656,19.4405,2.3288,0.0194,145.6322
63,0.0169,,1213.0,0.191,19.75,4.28,-5667.5,4.9963,2.012,39.8882,,10.8535,85.8965,9.2405,0.0502,50.157,3.4273,64.0502,119.2274,1.1698,4.7897,1.7486,1.8023,7.7593,23.4308,9.0669,8.7073,4.8248,17.81,1.7,7.9932,0.7387,4.3485,2.0804,14.0343,2.3507,0.0296,140.4719
64,0.0079,,599.0,0.366,6.73,4.49,-5501.75,2.6554,2.0062,15.1427,,5.1001,84.3585,8.7495,0.1015,50.4362,4.4945,64.2234,117.7078,1.482,1.8514,0.8118,3.3468,10.0731,9.349,9.6388,4.7819,9.5491,17.56,1.22,8.0411,0.4869,4.2998,1.6967,9.895,3.2033,0.0297,131.1704
65,0.0076,,984.0,0.378,14.53,6.08,-5382.5,5.2175,2.01,19.6939,,6.4213,84.3585,8.7495,0.1131,50.4362,4.5547,64.2234,117.7078,1.1366,2.5605,0.7839,3.5232,6.2039,20.8641,12.2365,9.0887,9.7396,,,,,,,13.0412,2.0163,0.0343,140.2144
66,0.0073,0.0292,148.0,0.368,9.52,3.3,-5659.25,2.2402,2.0077,19.6939,0.0083,5.4362,85.0856,8.6324,0.116,50.0906,2.0647,64.1658,117.802,1.1366,2.5605,0.7478,3.4916,5.4215,14.249,15.1961,3.8713,5.5276,16.27,1.29,6.78,0.5564,3.9443,1.7562,11.9501,2.1543,0.0139,147.6201
67,0.0107,,489.0,0.188,20.42,7.02,-5349.0,5.5617,1.9663,19.6939,,7.1443,83.8746,9.2658,0.0565,50.2261,11.4179,64.3328,119.104,1.1366,2.5605,1.1005,1.7526,6.2822,26.6698,35.7037,9.406,10.652,15.78,1.11,7.7092,0.4874,3.868,1.471,21.3906,3.522,,145.164
68,0.0097,,548.0,0.936,18.45,14.93,-5597.0,4.4487,1.9752,39.8882,,6.1475,83.9737,8.8033,0.325,50.3329,3.8234,64.485,118.6328,1.1366,4.7897,0.9988,9.4569,4.9918,52.8369,10.402,7.4778,5.0792,23.38,1.14,10.2012,0.4889,5.6531,1.4027,11.5117,2.8332,0.011,154.2768
69,0.0169,,833.0,0.478,15.6,2.39,-5440.5,2.8423,2.0045,16.1845,,6.3737,85.794,8.7599,0.1466,50.3802,23.7781,63.9715,117.6882,1.1366,2.0355,1.7578,4.5225,5.24,21.2516,24.9216,4.7336,4.4378,20.81,1.0,9.2279,0.3839,5.0683,1.2588,10.0219,3.8913,0.0192,117.3392
70,0.0183,,594.0,0.345,10.41,3.93,-5614.25,5.0317,1.9745,39.8882,,5.2038,85.324,9.6272,0.1285,50.4945,3.3989,64.1596,117.796,1.1366,4.7897,1.9036,3.2784,6.3911,17.605,11.9669,8.7399,6.1141,20.35,2.41,8.3023,1.0946,5.0554,2.9289,25.5555,2.4106,0.0108,154.1445
71,0.0087,,308.0,0.333,19.5,4.31,-5534.5,3.5801,2.018,24.1213,,6.4765,85.794,8.7599,0.1019,50.3802,5.0502,63.9715,117.6882,1.2895,3.2122,0.8943,3.1888,6.1553,25.7066,36.503,6.321,6.3573,24.04,0.83,10.9205,0.2982,6.0105,1.1382,26.1674,2.6025,,146.5414
72,0.0117,,5684.0,0.528,13.24,3.75,-2649.25,2.267,0.8882,24.1213,,6.0925,84.0432,8.7487,0.1469,50.2849,3.6936,64.3732,118.7784,1.1227,3.2122,1.1992,4.8942,7.2089,23.1843,12.3478,3.9075,7.9544,19.76,0.97,9.3539,0.4014,4.8745,1.1885,,3.4964,0.0354,138.0046
73,0.0108,,268.0,0.332,19.73,5.12,-5554.25,2.6624,2.021,16.1845,,10.0825,84.7166,8.8388,0.108,50.3916,4.8974,64.1968,111.7128,1.2895,2.0355,1.1099,3.1065,10.1134,27.9029,8.3426,4.5129,4.1422,17.37,1.29,7.2308,0.6356,4.2314,1.6482,26.9849,1.7611,0.0266,152.7358
74,0.0153,,663.0,0.488,14.79,5.61,-6566.0,2.2436,1.8762,26.9809,,4.3992,85.2575,9.094,0.1498,50.249,,64.235,119.6672,1.3384,3.5829,1.5858,4.6044,5.0228,30.9357,32.3052,3.8602,8.5189,,,,,,,40.0618,2.0122,,
75,0.0109,,386.0,0.349,10.46,3.32,-5613.75,2.6264,1.99,24.1213,,5.7594,85.6039,8.7588,0.1046,50.179,4.32,64.1668,118.6704,1.1227,3.2122,1.1157,3.2965,8.7825,11.5519,11.7465,4.3754,8.0996,12.49,0.95,5.529,0.443,3.1239,1.326,3.2504,3.3993,0.0059,153.8518
76,0.0165,,502.0,0.351,9.16,16.39,-6546.5,4.4574,1.8822,17.4657,,4.654,85.2575,9.094,0.1123,50.249,,64.235,119.6672,1.3384,2.1434,1.7021,3.3258,6.3593,75.6008,13.5315,7.9544,6.1242,22.75,0.99,10.2852,0.3951,5.6134,1.3355,12.9919,3.7784,,
77,0.0154,,423.0,0.988,22.53,15.49,-5652.0,4.949,1.9457,24.1213,,6.4111,85.1197,9.1784,0.3475,50.2165,8.7534,64.229,118.771,1.3384,3.2122,1.5905,10.053,5.7722,58.2841,22.5208,8.6413,9.2031,16.73,1.09,7.7201,0.5092,4.1795,1.3441,22.0523,2.5902,0.0461,155.4081
78,0.0113,,2170.0,0.954,16.41,4.53,-6656.75,2.2309,1.7797,17.4657,,6.0475,84.6216,9.1585,0.2963,50.3138,4.3039,64.4425,122.4028,1.1227,2.1434,1.1592,9.6957,5.6422,19.1428,18.3156,3.7429,7.0039,14.05,1.6,6.6771,0.6613,3.4571,2.0007,15.2685,3.5456,0.0155,151.2071
79,0.0226,,504.0,1.243,11.72,4.27,-5681.5,5.3135,1.9998,39.8882,,6.6742,84.3585,8.7495,0.3494,50.4362,8.5863,64.2234,117.7078,1.2895,4.7897,2.3661,11.7693,8.5027,28.8153,23.3872,9.2274,5.8582,20.41,1.54,8.8729,0.6066,5.0012,1.8712,,3.6913,0.0165,145.9794
